Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1093,37453003,156020,126110,270259,52618,134058
30,56,Directed,30_56,,,16,702597,568,414,76556,3934,779
1,20,Directed,1_20,,,1,34000,166,165,0,620,96
21,17,Directed,21_17,,,15180,351759901,852467,656566,82232479,125977,821624
8,51,Directed,8_51,,,5060,238538142,782455,682470,667418,277121,865339
24,28,Directed,24_28,,,4,114412,396,347,0,3268,506
18,44,Directed,18_44,,,5,235949,797,481,0,3937,471
4,30,Directed,4_30,,,489,24571238,79321,71322,0,79069,61035
25,13,Directed,25_13,,,5701,215029810,850876,744893,1665135,137370,786487
47,24,Directed,47_24,,,2987,155273979,353529,269907,43198639,75405,259875
20,32,Directed,20_32,,,520,17750400,77973,70067,10159,36482,72471
45,21,Directed,45_21,,,573,58874218,8518,7007,31953687,30553,33590
16,22,Directed,16_22,,,2,87378,324,266,0,3249,371
23,29,Directed,23_29,,,1,21803,80,65,0,1096,162
49,51,Directed,49_51,,,682,31483533,116648,105161,10354,62843,144055
35,22,Directed,35_22,,,3,137179,135,99,36493,2785,352
26,8,Directed,26_8,,,4185,139148148,535073,482161,310173,247150,661289
32,35,Directed,32_35,,,1695,57787900,242691,176829,315413,17010,109055
39,48,Directed,39_48,,,7903,223020844,833591,683720,476795,310123,1162878
2,48,Directed,2_48,,,1115,243602743,40699,37599,195530528,307112,79450
42,49,Directed,42_49,,,692,27539223,102271,85155,104407,84521,184784
50,34,Directed,50_34,,,1167,17421851,73949,62077,3225,8927,65455
24,49,Directed,24_49,,,1044,40362961,159142,142766,329219,80195,271240
13,44,Directed,13_44,,,1022,33614653,148384,128418,118022,30702,116145
33,47,Directed,33_47,,,530,70842420,249,202,36989725,39269,87196
56,41,Directed,56_41,,,1,40000,138,130,0,912,126
12,16,Directed,12_16,,,1,43699,162,121,0,2191,282
24,27,Directed,24_27,,,1216,45164305,183365,145686,30597,68337,165443
49,41,Directed,49_41,,,4551,127897879,485700,405917,488910,125359,409769
37,72,Directed,37_72,,,973,81163108,157782,143389,10427531,91516,177574
33,37,Directed,33_37,,,486,10089397,37600,33969,76076,30424,59609
26,6,Directed,26_6,,,4202,234362191,835127,754129,2845813,354900,1118917
36,35,Directed,36_35,,,332,12426216,49801,38502,963,27380,84031
41,17,Directed,41_17,,,3287,125550135,506200,459279,1135312,264365,678331
40,12,Directed,40_12,,,225,13893515,36983,31182,16970,50720,29802
44,18,Directed,44_18,,,241,15676149,1254,667,5942173,15686,25178
37,33,Directed,37_33,,,487,9938072,37694,32803,1846,26366,48542
17,47,Directed,17_47,,,14874,390605724,1005144,815323,87907036,189210,1015340
36,26,Directed,36_26,,,17876,353950937,1403694,1098244,2729352,313327,1301086
29,34,Directed,29_34,,,3563,56408829,251406,195804,194139,83061,447229
21,50,Directed,21_50,,,1,21502,76,76,0,702,136
19,54,Directed,19_54,,,2,86898,248,197,0,1448,166
2,41,Directed,2_41,,,1093,43517292,168806,133030,869424,96120,210581
26,9,Directed,26_9,,,1660,45506915,185832,147118,20463,59292,121245
21,19,Directed,21_19,,,338,31555114,210,183,22208878,18203,22229
27,38,Directed,27_38,,,11011,175469693,661273,536490,658102,101145,673713
19,42,Directed,19_42,,,156,18864991,478,370,9902069,19061,19025
23,17,Directed,23_17,,,1279,20654374,84017,71652,7272,44935,174378
10,33,Directed,10_33,,,1,37400,150,120,0,342,50
23,27,Directed,23_27,,,2,121065,358,234,7391,2330,323
27,13,Directed,27_13,,,5447,221775416,862321,734766,1105795,143790,645169
39,22,Directed,39_22,,,135,2597316,9669,7354,152079,38963,19236
29,9,Directed,29_9,,,1,34600,143,99,0,957,174
39,33,Directed,39_33,,,112,1343476,5867,4136,0,8089,8296
36,34,Directed,36_34,,,7705,105071735,322202,256675,7468807,80034,396817
37,21,Directed,37_21,,,9661,275079177,534725,430412,64194433,117422,574314
25,54,Directed,25_54,,,1,1320,6,2,0,497,102
29,33,Directed,29_33,,,8,416621,560,16,113562,7249,873
45,49,Directed,45_49,,,1,32700,124,85,0,1840,251
5,6,Directed,5_6,,,416,8363908,31868,23581,145139,31952,76841
9,16,Directed,9_16,,,1,125000,168,144,0,2192,314
29,40,Directed,29_40,,,1206,42599045,164280,113369,1402003,27705,75422
35,42,Directed,35_42,,,1,51700,187,177,0,1747,206
31,1,Directed,31_1,,,2,69600,299,101,25,1452,198
26,1,Directed,26_1,,,1513,20919880,76503,59680,330156,45669,135171
46,29,Directed,46_29,,,5,363573,152,116,59029,786,265
1,18,Directed,1_18,,,3,87624,370,346,0,1412,226
24,35,Directed,24_35,,,560,20092400,82743,74019,221853,38410,130043
18,27,Directed,18_27,,,3139,100714906,232421,188570,24359103,91344,257493
22,24,Directed,22_24,,,890,30731126,127436,104651,162668,35946,113335
39,25,Directed,39_25,,,2433,38432653,171423,130975,1522,54707,203263
35,17,Directed,35_17,,,1728,43457906,171285,149674,125683,77042,243399
39,38,Directed,39_38,,,2,47100,193,168,0,1788,266
36,33,Directed,36_33,,,1805,19697354,65133,46854,1116314,19862,89170
53,13,Directed,53_13,,,2528,141324525,489371,455513,6634730,206652,626262
2,32,Directed,2_32,,,157,6365661,24691,20929,18092,41472,43382
10,8,Directed,10_8,,,142,14860000,24408,21940,0,15410,31525
15,2,Directed,15_2,,,392,18261065,60807,55364,367495,89827,129310
35,51,Directed,35_51,,,64,2188995,9428,6725,3085,13024,11659
6,18,Directed,6_18,,,3599,400675000,154127,122001,212586912,542047,753193
72,54,Directed,72_54,,,1,42500,173,57,0,1670,225
21,5,Directed,21_5,,,535,27365364,14119,9166,17743257,21007,41538
29,49,Directed,29_49,,,1664,45322769,174427,136883,207865,101700,249126
30,13,Directed,30_13,,,204,8233408,31441,27166,2603,59429,40863
48,56,Directed,48_56,,,284,11840802,43066,35466,695,24619,43095
17,6,Directed,17_6,,,29743,1249536997,4514901,4047668,67904243,1407088,7050891
34,23,Directed,34_23,,,1374,20393381,86180,75003,32161,15732,74202
18,20,Directed,18_20,,,5,174028,252,200,55202,2920,506
37,1,Directed,37_1,,,6422,104728149,371792,293538,61327,61386,414618
15,32,Directed,15_32,,,1261,139823581,341306,306363,3674619,129377,390126
35,18,Directed,35_18,,,2,141267,143,140,1646,2322,312
41,6,Directed,41_6,,,33374,916387616,3389555,2797454,34273476,602236,3137119
4,8,Directed,4_8,,,12874,413904162,1589912,1385774,1809921,255091,1033727
19,38,Directed,19_38,,,3,87848,344,298,0,1177,187
6,6,Directed,6_6,,,298841,7464431254,26888862,20373888,406230554,1421831,15753727
13,8,Directed,13_8,,,6169,247304075,894998,795362,1363190,253107,1054597
53,53,Directed,53_53,,,56793,668122416,2398083,1773458,40778236,178625,1941755
9,25,Directed,9_25,,,76,1919372,3113,2490,225218,7914,3085
6,17,Directed,6_17,,,30005,1240721448,4598402,4118624,56193500,1387018,6317373
44,54,Directed,44_54,,,1,34000,166,104,0,633,96
48,18,Directed,48_18,,,6193,241502706,514523,419450,68685524,320087,668549
23,51,Directed,23_51,,,2751,55878125,170707,142182,7437,66624,252871
30,47,Directed,30_47,,,803,57753605,150,122,19771818,53768,127871
8,8,Directed,8_8,,,30539,487619636,1816523,1260349,9957938,127218,1073891
34,50,Directed,34_50,,,1158,17478613,73921,60757,56204,8666,60569
53,34,Directed,53_34,,,1692,69599901,278242,251677,1611316,235172,470589
36,55,Directed,36_55,,,3222,80748589,317424,215377,122959,118548,367624
34,35,Directed,34_35,,,5,196406,779,738,2152,9025,1296
1,16,Directed,1_16,,,2,88238,324,291,0,3866,508
27,21,Directed,27_21,,,3978,140529107,204664,167156,42284244,103519,332849
34,28,Directed,34_28,,,7,163015,595,486,0,7067,1119
18,29,Directed,18_29,,,1214,75994449,106212,79192,32738142,50789,81352
28,34,Directed,28_34,,,4,114412,396,344,0,3861,551
36,78,Directed,36_78,,,553,28136880,97264,79694,109023,37355,111739
21,1,Directed,21_1,,,267,26404123,967,885,19907559,8538,13209
51,50,Directed,51_50,,,2079,37993466,135244,113793,5133,39609,144971
19,31,Directed,19_31,,,20,810217,1458,1244,69400,4272,1104
29,1,Directed,29_1,,,16,485110,2049,1618,3061,5678,1361
54,6,Directed,54_6,,,1,2000,8,2,0,2059,313
17,27,Directed,17_27,,,18872,461501437,1752362,1480307,10390757,208714,1152399
34,18,Directed,34_18,,,3142,166512682,135054,104155,69205278,77491,315622
51,46,Directed,51_46,,,3,70420,346,336,495,3470,306
16,38,Directed,16_38,,,1,21502,76,55,0,779,186
45,47,Directed,45_47,,,1240,67770723,73723,58343,20409948,38560,85553
55,39,Directed,55_39,,,1172,19918724,58974,43111,1897090,25771,61023
26,42,Directed,26_42,,,10597,221101200,821707,644193,105481,160436,606190
42,31,Directed,42_31,,,9,286488,1081,676,1282,8201,1422
8,12,Directed,8_12,,,7642,322790053,1174357,1059710,749289,641731,1432092
5,26,Directed,5_26,,,522,9087890,34726,25896,298929,42623,51565
35,23,Directed,35_23,,,1,2448,9,3,0,2095,249
42,17,Directed,42_17,,,20080,543140692,2014352,1609577,17162514,350651,1853516
19,5,Directed,19_5,,,6,103790,399,309,0,2980,752
45,1,Directed,45_1,,,6,120045,472,426,250,2446,529
46,13,Directed,46_13,,,377,6379434,26560,22627,0,31908,45611
22,45,Directed,22_45,,,9,201289,764,562,3484,5025,900
51,49,Directed,51_49,,,682,34812987,123638,108236,15488,51868,174196
54,27,Directed,54_27,,,1,44562,162,90,0,823,121
55,32,Directed,55_32,,,1219,43352990,181290,164156,177836,74183,255029
26,49,Directed,26_49,,,1484,63095868,235701,214687,189530,82936,307463
30,49,Directed,30_49,,,8045,125442555,474210,388257,83591,105642,505407
8,15,Directed,8_15,,,690,37997221,140597,117603,245800,177682,290580
50,12,Directed,50_12,,,95,5233000,16029,13177,0,18720,15313
20,55,Directed,20_55,,,3,118500,100,90,15010,1762,311
31,8,Directed,31_8,,,7034,126144321,512046,407539,176559,106573,486162
26,39,Directed,26_39,,,6842,117675795,348072,286545,12100872,47611,215595
23,18,Directed,23_18,,,5,171620,155,9,57349,3568,515
41,34,Directed,41_34,,,505,18501939,77448,70103,201122,133870,142199
4,2,Directed,4_2,,,429,16223098,60449,49530,145612,76560,140815
17,32,Directed,17_32,,,7887,295257404,1218852,1096408,2051419,323388,1642246
13,22,Directed,13_22,,,14387,350730425,1343440,1117552,1688857,155097,1041391
21,22,Directed,21_22,,,776,43457876,16748,13439,22056407,65807,74618
46,18,Directed,46_18,,,5,90541,362,263,0,3456,568
54,20,Directed,54_20,,,8,318567,760,565,0,6788,1048
30,37,Directed,30_37,,,1,51700,187,181,0,1615,196
27,44,Directed,27_44,,,183,3891661,14110,10940,0,20106,24971
31,42,Directed,31_42,,,11,275348,1069,680,926,9020,1600
32,39,Directed,32_39,,,1469,63845901,224476,204507,889391,156306,306530
47,56,Directed,47_56,,,268,20736543,50,47,12156790,26988,37727
45,5,Directed,45_5,,,2,24700,100,92,0,1400,326
