Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
14711,14100,Directed,14711_14100,,,1623,24678298,69177,48773,3551,3825,63901
11298,10980,Directed,11298_10980,,,664,7549520,31472,25919,1483,16680,61953
13487,13230,Directed,13487_13230,,,4,87262,354,307,436,3592,590
15304,14771,Directed,15304_14771,,,1,40170,160,63,0,2393,301
12889,11423,Directed,12889_11423,,,586,20180684,89094,81920,11767,51072,85548
16091,11995,Directed,16091_11995,,,1,28772,60,60,0,465,80
10721,15024,Directed,10721_15024,,,201,7517400,30150,26562,25838,15237,42337
14747,14252,Directed,14747_14252,,,1746,31078800,132696,103302,85176,2064,68753
15370,14696,Directed,15370_14696,,,1,15200,76,45,0,640,133
12266,13871,Directed,12266_13871,,,1760,19873536,92069,78439,65527,38269,193069
10683,11274,Directed,10683_11274,,,1,6400,30,26,0,311,90
12855,14234,Directed,12855_14234,,,10,11850,57,13,0,558,476
10279,14107,Directed,10279_14107,,,2,92900,351,346,2024,1204,186
12807,12769,Directed,12807_12769,,,362,825600,2647,954,46248,2992,11579
13871,13930,Directed,13871_13930,,,3767,66594987,268504,217347,21174,59072,249075
10590,11140,Directed,10590_11140,,,13,453744,1530,1230,0,14638,1790
14474,15478,Directed,14474_15478,,,3,8350,24,10,0,340,195
12953,11775,Directed,12953_11775,,,1,38170,160,85,27,1186,207
13983,14761,Directed,13983_14761,,,121,6220600,20449,18316,0,13414,11606
12945,10423,Directed,12945_10423,,,1,34700,68,46,0,922,136
12992,11049,Directed,12992_11049,,,2,20000,100,89,0,748,195
14709,11833,Directed,14709_11833,,,3,13500,37,3,1179,528,215
15502,14574,Directed,15502_14574,,,2,57206,198,192,0,1218,163
15376,13476,Directed,15376_13476,,,1,17940,66,63,0,695,159
14704,14098,Directed,14704_14098,,,4,37450,161,124,0,396,126
11298,14685,Directed,11298_14685,,,1048,12927900,52417,42881,2465,22200,122371
10241,12719,Directed,10241_12719,,,7,8100,39,14,617,159,181
16479,16498,Directed,16479_16498,,,1,6000,8,2,0,201,54
10551,13369,Directed,10551_13369,,,1148,2246300,6968,2563,116429,6975,42469
11278,11057,Directed,11278_11057,,,3455,110371059,383812,312082,261664,30121,204442
