Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
30140,33244,Directed,30140_33244,,,285,31781658,0,0,11559449,31086,32996
31453,33502,Directed,31453_33502,,,126,2468034,10542,8834,269,18540,17486
32575,33851,Directed,32575_33851,,,1093,20098548,75888,50935,22719,47387,154407
33105,30194,Directed,33105_30194,,,2962,65160472,158572,124894,14854281,54383,370393
33044,33667,Directed,33044_33667,,,9,599126,223,163,143299,3186,823
32769,35478,Directed,32769_35478,,,48,94250,138,47,3380,2060,2451
30397,31641,Directed,30397_31641,,,2066,34708970,137720,102840,5369,13902,104765
30559,32134,Directed,30559_32134,,,1535,95747766,323174,291365,6749464,141884,524688
33244,30599,Directed,33244_30599,,,464,21163398,283,260,11337248,5697,18771
31650,30849,Directed,31650_30849,,,891,29579112,115195,94194,78644,46322,111911
32195,32831,Directed,32195_32831,,,5,19200,36,12,740,516,248
32467,34492,Directed,32467_34492,,,1864,66529063,251309,201930,291214,60420,186297
33570,30852,Directed,33570_30852,,,1965,77182757,317498,286987,423185,217646,515082
33195,31871,Directed,33195_31871,,,180,12743988,30492,26124,31368,12989,12858
30666,31588,Directed,30666_31588,,,425,834031,1405,22,152387,486,4745
32467,30255,Directed,32467_30255,,,2,81960,329,327,384,1432,249
32457,33198,Directed,32457_33198,,,1252,28247881,110571,96076,357370,74700,223088
32324,32134,Directed,32324_32134,,,1,480900,0,0,29130,4476,559
32337,34131,Directed,32337_34131,,,182,637000,0,0,378444,3132,15505
30397,30852,Directed,30397_30852,,,16846,581821272,2349114,1884169,1534266,227622,1328699
30792,35096,Directed,30792_35096,,,200,16394531,165,162,6842812,2261,5333
34102,34125,Directed,34102_34125,,,80,350600,966,334,17174,3752,3004
30928,33198,Directed,30928_33198,,,60,4635100,2155,1321,636279,5766,1966
31714,30325,Directed,31714_30325,,,327,15651098,49105,43945,28741,56245,74060
30299,31512,Directed,30299_31512,,,1,47000,0,0,41036,454,84
34062,31619,Directed,34062_31619,,,2,3700,12,0,69,86,35
30397,34512,Directed,30397_34512,,,17,1356617,0,0,877567,1929,1565
32457,30423,Directed,32457_30423,,,3356,103030346,417341,343646,525401,226089,604504
32610,32171,Directed,32610_32171,,,4,6750,24,14,8,380,185
31986,32337,Directed,31986_32337,,,206,21361184,189,142,11773731,4440,8425
30325,31267,Directed,30325_31267,,,728,18778575,76641,68475,13176,49910,93787
30317,33198,Directed,30317_33198,,,1,30000,0,0,5569,575,80
32982,32457,Directed,32982_32457,,,795,36669807,139103,118658,5170,98258,225356
30721,32457,Directed,30721_32457,,,4512,177695990,731836,648824,1531351,270140,1646428
34057,30423,Directed,34057_30423,,,65,2260019,9328,8583,5759,8575,13547
30299,31411,Directed,30299_31411,,,1,5500,16,2,3038,518,124
33970,32807,Directed,33970_32807,,,1,47000,0,0,206,335,72
30299,33105,Directed,30299_33105,,,968,268251171,0,0,234492842,186600,324197
30785,34100,Directed,30785_34100,,,1822,41478577,115134,95832,1198,16080,120553
31517,30559,Directed,31517_30559,,,1157,48441262,185244,148027,153112,78183,217847
30559,34614,Directed,30559_34614,,,3584,152711688,563915,459909,1337440,104749,320391
32705,30556,Directed,32705_30556,,,1,1392,5,1,206,8,21
30299,35478,Directed,30299_35478,,,960,11362126,18097,7886,1447681,38514,81795
30693,35249,Directed,30693_35249,,,1,62428,0,0,2452,417,57
34474,32214,Directed,34474_32214,,,4,14700,27,7,422,288,108
31295,34057,Directed,31295_34057,,,310,14419762,53705,48068,22495,48825,80934
31123,31057,Directed,31123_31057,,,2082,57313448,205567,171885,40044,35075,171090
34252,31470,Directed,34252_31470,,,2,6900,0,0,3506,188,70
30113,35257,Directed,30113_35257,,,915,1352650,5282,1927,96697,2997,20139
35991,30299,Directed,35991_30299,,,10,173281,379,268,18539,2238,755
31007,31517,Directed,31007_31517,,,67,283295,549,99,8787,3633,3656
32784,34273,Directed,32784_34273,,,21,57275,185,53,766,836,648
31337,31898,Directed,31337_31898,,,3,40500,0,0,5874,738,176
33792,30157,Directed,33792_30157,,,7,44715,150,100,3000,398,224
31454,31295,Directed,31454_31295,,,2981,146899379,562394,503587,237161,89958,384366
34738,34167,Directed,34738_34167,,,1,1200,6,2,15,48,24
35887,33579,Directed,35887_33579,,,4,13600,36,25,52,204,110
30194,34524,Directed,30194_34524,,,1011,38415288,141361,113270,52909,19686,142281
30852,35412,Directed,30852_35412,,,1772,22794783,88844,59503,105261,17647,124108
34986,32467,Directed,34986_32467,,,7,257489,1058,926,81,1234,327
32575,30285,Directed,32575_30285,,,2,79691,79,62,30146,1233,212
32467,30198,Directed,32467_30198,,,1221,27338587,110656,88286,57787,51131,167685
33198,30397,Directed,33198_30397,,,3850,141575158,581726,479849,340518,61588,353457
32467,30158,Directed,32467_30158,,,910,31062300,155576,138475,62,23448,114530
35709,33873,Directed,35709_33873,,,491,1561900,4159,1301,41355,12971,18345
34100,32467,Directed,34100_32467,,,4711,200115045,737557,610521,845383,146281,666299
30247,30299,Directed,30247_30299,,,2,50000,9,6,22000,970,238
34627,35257,Directed,34627_35257,,,6,14750,48,23,194,245,117
35887,33710,Directed,35887_33710,,,142,287850,979,314,4890,1617,2480
34819,30647,Directed,34819_30647,,,45,1825620,7014,6584,627,22068,11042
30693,30852,Directed,30693_30852,,,5466,131442507,518602,372877,577744,75041,433938
34919,34738,Directed,34919_34738,,,3,17486,28,7,583,790,256
34574,30599,Directed,34574_30599,,,1,62950,0,0,20994,462,69
31453,30469,Directed,31453_30469,,,1,162000,247,4,4989,1005,119
34467,34489,Directed,34467_34489,,,2,6900,0,0,2740,262,90
31464,33873,Directed,31464_33873,,,3,5250,27,1,289,666,240
32337,32457,Directed,32337_32457,,,1173,127769948,44674,36215,65926192,170258,297890
33105,31295,Directed,33105_31295,,,1997,31289281,120277,91937,21232,18311,92319
34819,30994,Directed,34819_30994,,,1,49500,176,171,646,1323,173
33198,30620,Directed,33198_30620,,,1,61956,0,0,11850,835,120
32365,32070,Directed,32365_32070,,,323,1135650,37,34,518353,949,10153
34696,33244,Directed,34696_33244,,,254,16644637,0,0,6817961,6012,19880
30325,30194,Directed,30325_30194,,,7817,285698363,992425,892199,7896197,142277,677897
30783,33806,Directed,30783_33806,,,1,800,3,2,100,146,81
34492,34027,Directed,34492_34027,,,5,237000,593,557,6130,2552,592
30436,30397,Directed,30436_30397,,,689,27377038,111062,99934,44777,38525,124788
30643,30194,Directed,30643_30194,,,152,5186100,21675,15117,16433,5248,8188
31550,31517,Directed,31550_31517,,,11,272370,9,2,26920,3162,1493
32211,31721,Directed,32211_31721,,,364,12650490,52249,45839,4407,27728,73408
31823,30298,Directed,31823_30298,,,1,45000,0,0,13184,511,72
30599,32896,Directed,30599_32896,,,1,34600,143,135,393,868,158
32365,34100,Directed,32365_34100,,,970,8401900,35942,24611,204,1819,39002
34524,31986,Directed,34524_31986,,,3,129079,100,96,55249,1140,326
33970,33806,Directed,33970_33806,,,299,959300,2304,869,130284,10385,16116
30977,32441,Directed,30977_32441,,,338,12579926,51028,40943,3980,19754,54323
31198,33964,Directed,31198_33964,,,2,6900,0,0,2938,178,96
36645,34119,Directed,36645_34119,,,7,16800,59,12,2925,504,242
31612,31057,Directed,31612_31057,,,252,3084480,12600,9228,2561,1242,17005
34492,34614,Directed,34492_34614,,,295,11854487,45831,40082,8423,32814,74193
35124,33381,Directed,35124_33381,,,8,18844,71,45,12,269,179
31454,34100,Directed,31454_34100,,,4600,222573028,783295,651640,920494,95571,546467
32195,35887,Directed,32195_35887,,,20,66800,180,45,497,585,515
30424,32547,Directed,30424_32547,,,1,3500,0,0,895,153,53
31833,35504,Directed,31833_35504,,,2,54000,0,0,6739,478,141
30397,30980,Directed,30397_30980,,,2833,47971304,187249,159104,11391,6360,66449
31267,33038,Directed,31267_33038,,,2,36381,0,0,6335,2440,419
31517,31859,Directed,31517_31859,,,27,197140,941,666,177,3354,1898
30559,33570,Directed,30559_33570,,,3915,140364088,555282,471089,426985,90306,537620
33244,33342,Directed,33244_33342,,,530,56587844,402,345,38095944,25622,41199
34512,31703,Directed,34512_31703,,,220,19316060,224,200,8812000,15112,22480
31057,34092,Directed,31057_34092,,,1599,18797030,79157,58348,15362,6902,67110
33244,32206,Directed,33244_32206,,,256,34391586,0,0,20755123,16720,25901
31136,31057,Directed,31136_31057,,,2789,91058200,325096,277742,156589,25912,161169
33970,33111,Directed,33970_33111,,,44,140950,380,64,25043,4482,2532
30198,30980,Directed,30198_30980,,,2,57870,272,238,150,928,223
30158,31295,Directed,30158_31295,,,137,3981436,19379,16658,31,8946,11731
33198,34100,Directed,33198_34100,,,910,19448460,69899,58535,237,40482,123163
30194,32575,Directed,30194_32575,,,14744,679575782,2137169,1870024,57398289,342069,2471421
31885,30299,Directed,31885_30299,,,1,27000,0,0,145,245,72
30070,30015,Directed,30070_30015,,,5,6960,18,11,80,216,255
32195,30113,Directed,32195_30113,,,1174,3804600,9739,3587,28216,13005,66198
30255,30299,Directed,30255_30299,,,1,300060,0,0,11023,3283,410
33342,30852,Directed,33342_30852,,,2303,71702478,305548,218858,212308,42993,203881
32370,31007,Directed,32370_31007,,,4,10415,36,10,336,171,89
31619,32171,Directed,31619_32171,,,9,11900,45,10,181,161,140
35250,31517,Directed,35250_31517,,,2,3200,16,2,1000,281,177
35249,30136,Directed,35249_30136,,,2,20180,88,64,1,1832,338
30397,35249,Directed,30397_35249,,,2258,55962263,228944,178937,203334,17840,89301
30194,30189,Directed,30194_30189,,,1678,61372178,223929,183436,99246,19576,149225
30466,30928,Directed,30466_30928,,,121,5724470,19603,18373,2954,23130,13000
34027,30529,Directed,34027_30529,,,364,11379200,44636,38578,9580,16995,52539
32857,31401,Directed,32857_31401,,,72,92157,437,189,815,799,1705
30640,30923,Directed,30640_30923,,,1,5600,0,0,902,23,11
31454,32896,Directed,31454_32896,,,2,83900,327,309,5,2532,380
34922,32457,Directed,34922_32457,,,1522,10472775,38116,25798,278432,2104,38431
35472,30299,Directed,35472_30299,,,4,24480,96,39,400,2284,502
33198,32457,Directed,33198_32457,,,1255,28520177,112067,93023,240372,85157,258887
33434,33369,Directed,33434_33369,,,69,111750,429,207,4288,1120,1965
32214,32868,Directed,32214_32868,,,56,166400,493,154,4837,1890,1381
32211,33044,Directed,32211_33044,,,659,43375341,53607,45732,12483260,56840,123988
32134,33244,Directed,32134_33244,,,75,15685042,0,0,4372619,62613,32791
31703,30257,Directed,31703_30257,,,1598,15698574,53849,42767,600631,7998,67241
31003,31267,Directed,31003_31267,,,2,87500,173,105,9000,830,126
31453,33277,Directed,31453_33277,,,6,183570,822,702,414,3338,573
31545,32523,Directed,31545_32523,,,340,618930,2002,616,22310,1920,13106
33044,32575,Directed,33044_32575,,,1867,249051742,169,139,155523338,210489,438711
34905,30561,Directed,34905_30561,,,2,32103,99,54,894,174,56
30852,30397,Directed,30852_30397,,,16870,580279631,2347059,1899607,1154421,227084,1434298
30977,33244,Directed,30977_33244,,,4850,203109033,277613,225011,82369801,91051,382123
33486,31884,Directed,33486_31884,,,4,61184,152,144,2034,676,182
32457,31454,Directed,32457_31454,,,867,35053569,144921,131001,105277,136963,242014
31136,30647,Directed,31136_30647,,,2,66928,293,160,4655,1506,205
34100,30577,Directed,34100_30577,,,1128,9768600,41788,31323,3708,2158,53744
32704,30640,Directed,32704_30640,,,7,21500,28,10,12100,360,223
30928,31123,Directed,30928_31123,,,8,205644,877,575,79,3136,526
30666,32134,Directed,30666_32134,,,241,10004440,39785,34512,771,43440,85255
32841,30082,Directed,32841_30082,,,928,1518900,7257,2253,11391,494,6783
34321,33667,Directed,34321_33667,,,4,79654,286,260,3300,2240,562
35478,32807,Directed,35478_32807,,,24,451110,94,53,62646,2533,1015
34512,34275,Directed,34512_34275,,,3,51443,0,0,13916,584,172
32134,34057,Directed,32134_34057,,,734,54700354,168680,150494,2621117,91105,218926
33485,31066,Directed,33485_31066,,,6,218903,130,92,25690,1200,371
31295,33244,Directed,31295_33244,,,1577,130924215,77106,61955,55329823,70748,144368
33940,35236,Directed,33940_35236,,,9,9700,36,9,160,123,574
31453,34100,Directed,31453_34100,,,2456,76670320,297865,236196,365050,147152,411914
31921,31003,Directed,31921_31003,,,1,62835,0,0,13377,904,113
32772,30070,Directed,32772_30070,,,917,1212093,4616,1865,7738,1027,10784
35934,30299,Directed,35934_30299,,,68,67500,297,114,9502,901,2194
33198,31003,Directed,33198_31003,,,3,111812,205,75,5170,714,124
32323,31295,Directed,32323_31295,,,1,45000,0,0,13705,629,96
30559,30852,Directed,30559_30852,,,2006,81016552,325383,297651,881922,219954,536157
30721,30158,Directed,30721_30158,,,206,6226105,29466,21742,31,10278,10750
32807,30113,Directed,32807_30113,,,209,492075,1606,735,14016,6363,9910
32600,30852,Directed,32600_30852,,,459,14209482,57620,43118,140741,27192,53210
30325,30423,Directed,30325_30423,,,3124,102652277,389416,341201,164828,113925,316753
31703,33667,Directed,31703_33667,,,3791,56796091,225813,149737,1940,48789,208076
30349,35725,Directed,30349_35725,,,5,8972,33,0,943,655,270
30852,34614,Directed,30852_34614,,,1724,75081188,282423,250770,344707,128275,444931
30245,35853,Directed,30245_35853,,,150,297000,1175,209,15361,364,834
33873,31535,Directed,33873_31535,,,570,1714325,4657,1716,111041,9120,19963
