Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
34877,34512,Directed,34877_34512,,,1,5999,0,0,2181,508,80
30140,33244,Directed,30140_33244,,,554,40466224,150,45,22890802,35796,64464
30627,30559,Directed,30627_30559,,,3,94110,336,319,11342,3041,544
31503,30325,Directed,31503_30325,,,1841,25975940,103537,66614,15,3720,69556
30559,30397,Directed,30559_30397,,,2550,152201770,511891,460534,7324777,82912,640508
33105,30194,Directed,33105_30194,,,3159,45365580,187775,133011,9107,83645,386656
34057,31703,Directed,34057_31703,,,1301,46844377,201410,174172,593890,127022,368222
32769,35478,Directed,32769_35478,,,17,38178,69,10,731,1040,767
30559,32134,Directed,30559_32134,,,1479,107228364,352128,315799,7916005,109757,495520
33244,30599,Directed,33244_30599,,,1644,39547523,83101,59652,11962858,16880,68084
34601,33676,Directed,34601_33676,,,61,84400,361,118,9,1320,749
31650,30849,Directed,31650_30849,,,874,29708300,117826,88089,185953,25346,112705
32195,32831,Directed,32195_32831,,,2,8400,9,4,290,258,95
31295,31067,Directed,31295_31067,,,712,5652105,24502,15618,27090,4454,55652
32467,34492,Directed,32467_34492,,,2310,66029183,217913,171981,3166677,50280,235326
32134,32174,Directed,32134_32174,,,313,1095500,2790,899,418,1792,17427
33570,30852,Directed,33570_30852,,,2169,85736914,326096,282687,344963,163184,568750
33214,30255,Directed,33214_30255,,,2,69600,284,210,18,1540,283
30666,31588,Directed,30666_31588,,,2170,3698900,8385,1418,334801,666,21626
36133,31396,Directed,36133_31396,,,1,5999,0,0,416,507,50
35165,32575,Directed,35165_32575,,,278,27843999,0,0,20859678,52659,70607
32457,33198,Directed,32457_33198,,,1217,42588090,160631,122538,1739159,92428,220377
31517,31555,Directed,31517_31555,,,5,44847,37,31,7780,1565,583
30397,30852,Directed,30397_30852,,,19590,635223134,2548589,1976508,2730457,166410,1549036
33830,33570,Directed,33830_33570,,,752,50551502,121863,102643,2815709,88935,222632
33667,33244,Directed,33667_33244,,,398,22131249,492,423,12019640,17204,46360
30640,30923,Directed,30640_30923,,,10,20376,78,30,39,184,105
34102,34125,Directed,34102_34125,,,84,152093,710,301,4512,3350,3628
30928,33198,Directed,30928_33198,,,7,269241,477,296,25476,1302,1656
30299,31512,Directed,30299_31512,,,2,30555,9,4,10216,908,284
31714,34027,Directed,31714_34027,,,236,15659463,0,0,2944678,1339,8080
31650,32129,Directed,31650_32129,,,710,5569950,24140,15130,6982,2088,30445
30397,34512,Directed,30397_34512,,,202,19218794,216,202,8215605,19933,18003
32457,30423,Directed,32457_30423,,,1394,55409217,208165,156651,283179,97090,253694
30299,33894,Directed,30299_33894,,,4,22467,0,0,20603,1533,489
34828,34270,Directed,34828_34270,,,88,86000,339,195,1084,1364,3495
31986,32337,Directed,31986_32337,,,204,16092704,100,12,10071365,3094,8541
30325,31267,Directed,30325_31267,,,1086,58327103,105728,82498,59766,52080,153964
31650,33486,Directed,31650_33486,,,666,17791375,72022,52200,127078,24312,98613
30721,32457,Directed,30721_32457,,,3445,157973474,597079,496481,1932707,188960,1242773
34057,30423,Directed,34057_30423,,,3,102038,460,456,13,5145,698
34130,30241,Directed,34130_30241,,,4,13650,6,1,3756,92,42
32337,34653,Directed,32337_34653,,,1,81213,0,0,18149,578,82
35124,35061,Directed,35124_35061,,,4,6058,24,7,858,416,137
34656,30257,Directed,34656_30257,,,42,1157727,0,0,672928,11506,3403
31295,31150,Directed,31295_31150,,,1,34800,142,104,1,675,145
30559,34614,Directed,30559_34614,,,3723,124487022,463439,372687,1210906,79942,343444
30397,31641,Directed,30397_31641,,,2140,21373200,106866,84561,1568,4303,104374
30049,31401,Directed,30049_31401,,,28,33600,168,3,1146,159,412
30299,35478,Directed,30299_35478,,,901,9318863,9019,4551,1438055,43904,83355
33244,31778,Directed,33244_31778,,,1047,9684720,40182,24725,9424,5976,61303
34474,32214,Directed,34474_32214,,,10,30676,98,26,4224,648,256
31295,34057,Directed,31295_34057,,,241,11291710,42786,37963,24465,27342,63441
31123,31057,Directed,31123_31057,,,2765,47346868,194465,146405,16999,39100,235818
30113,35257,Directed,30113_35257,,,765,1263839,5000,2271,142214,3672,13919
35412,30693,Directed,35412_30693,,,10,229462,703,532,12512,1520,519
30994,30423,Directed,30994_30423,,,2,24220,100,79,1,2112,357
33244,30424,Directed,33244_30424,,,224,3081600,0,0,1376780,8736,32384
31007,31517,Directed,31007_31517,,,105,233335,850,202,9858,8650,5888
32784,34273,Directed,32784_34273,,,35,101844,283,123,1111,1200,1157
33256,31396,Directed,33256_31396,,,1,15500,0,0,12870,979,191
33792,30157,Directed,33792_30157,,,700,12345301,51714,25981,65539,1717,21840
31454,31295,Directed,31454_31295,,,4826,186633116,768584,652278,231972,103367,644754
31703,33198,Directed,31703_33198,,,3095,62776480,231227,173871,78000,60387,497627
35887,33579,Directed,35887_33579,,,35,104568,274,65,4941,1474,905
30194,34524,Directed,30194_34524,,,1056,40273384,145500,117291,10045,17370,149375
31481,30397,Directed,31481_30397,,,2413,30583100,151798,110734,3041,10374,136663
31648,33486,Directed,31648_33486,,,437,7564710,28476,13650,39353,2619,12279
30852,35412,Directed,30852_35412,,,2287,26905982,115440,68480,3936,17303,153720
30194,34960,Directed,30194_34960,,,2168,16177520,74096,40285,23230,1695,69083
34288,32575,Directed,34288_32575,,,1,15500,0,0,7360,788,167
34704,30852,Directed,34704_30852,,,691,2418500,0,0,1052816,1020,25012
32467,30198,Directed,32467_30198,,,1258,35848461,140443,109011,151909,75253,174414
30020,33873,Directed,30020_33873,,,1,2850,9,0,4,213,74
33198,30397,Directed,33198_30397,,,4053,125315274,535355,431003,597422,47748,387264
32467,30158,Directed,32467_30158,,,845,25727392,127530,103139,37381,17607,108128
31464,33873,Directed,31464_33873,,,2,10600,1,1,460,444,112
34108,30620,Directed,34108_30620,,,3,63678,0,0,38305,1013,434
34100,32467,Directed,34100_32467,,,6140,241954647,921824,733541,535527,204767,849399
32575,33195,Directed,32575_33195,,,687,29345610,107991,85072,766353,51675,171457
34627,35257,Directed,34627_35257,,,5,10499,33,10,88,245,93
35887,33710,Directed,35887_33710,,,138,250018,851,258,12388,1500,1979
32337,31980,Directed,32337_31980,,,1,21436,0,0,16200,640,100
30721,31267,Directed,30721_31267,,,289,5373668,12287,9700,625779,22364,33017
30693,30852,Directed,30693_30852,,,6703,148510213,558730,391589,1424713,74256,537411
33851,34512,Directed,33851_34512,,,1,15500,0,0,3515,656,137
31066,30599,Directed,31066_30599,,,2,34592,70,61,1920,986,274
32337,32457,Directed,32337_32457,,,1006,121519006,23535,21018,70938023,158558,247194
33667,31995,Directed,33667_31995,,,2,27240,100,56,2,421,168
30325,30194,Directed,30325_30194,,,8777,432088616,1169535,870362,1296591,93060,774277
34492,34027,Directed,34492_34027,,,2,73502,305,251,2,1276,199
31884,33044,Directed,31884_33044,,,46,4383247,0,0,1663917,15525,8830
30436,30397,Directed,30436_30397,,,762,34242500,125120,107198,185893,29279,143275
33570,35165,Directed,33570_35165,,,3,160000,0,0,64525,3854,642
32855,35798,Directed,32855_35798,,,9,19602,42,17,415,144,99
34474,30184,Directed,34474_30184,,,3,9000,27,25,815,300,158
33214,30647,Directed,33214_30647,,,357,4493745,18466,15877,885,23579,57823
31423,32070,Directed,31423_32070,,,2,201411,0,0,88098,888,198
33970,31825,Directed,33970_31825,,,1,27000,0,0,581,398,113
30408,33105,Directed,30408_33105,,,888,10232500,44384,31075,1557,13974,63082
32365,34100,Directed,32365_34100,,,1557,14069400,60443,25325,8393,3096,61974
30620,33316,Directed,30620_33316,,,1,54657,0,0,13552,706,79
33970,33806,Directed,33970_33806,,,251,662472,2087,716,55334,11076,12680
36133,30476,Directed,36133_30476,,,4,37030,0,0,6906,2841,569
30245,30165,Directed,30245_30165,,,53,1710129,2642,949,390893,9140,6863
30977,32441,Directed,30977_32441,,,284,11766139,44609,35412,405,24413,45421
35096,32600,Directed,35096_32600,,,3,42239,140,105,7,3123,542
33024,34057,Directed,33024_34057,,,1687,11666975,41958,28706,925310,8880,106261
31650,32134,Directed,31650_32134,,,365,35404221,108643,97309,3256748,59580,176513
31454,34100,Directed,31454_34100,,,6988,284371842,1025677,804893,6543383,135177,860838
34057,30559,Directed,34057_30559,,,13746,181544679,615416,433120,9366156,22218,542692
30424,32547,Directed,30424_32547,,,60,221500,0,0,77195,1989,3380
32211,33342,Directed,32211_33342,,,1272,37483370,182243,152981,19723,35052,227169
31441,33032,Directed,31441_33032,,,11,47960,209,58,90,930,388
34102,31844,Directed,34102_31844,,,4,16200,58,56,31,1107,312
31517,31859,Directed,31517_31859,,,65,413750,1964,1179,4666,4644,4666
30559,33570,Directed,30559_33570,,,2667,98197174,381323,303547,458285,68290,373134
33244,33342,Directed,33244_33342,,,1720,88835461,121395,93423,39645463,45592,136570
34512,31703,Directed,34512_31703,,,421,39415144,0,0,21061969,30921,40996
31057,34092,Directed,31057_34092,,,1745,18799200,79502,46306,22878,7308,77825
33244,32206,Directed,33244_32206,,,441,30457771,0,0,19539412,31920,44832
35165,31057,Directed,35165_31057,,,7,300000,452,252,109776,2330,491
33970,33111,Directed,33970_33111,,,48,107050,407,99,11704,4290,2693
30255,31123,Directed,30255_31123,,,1,5439,0,0,2371,346,118
30529,34576,Directed,30529_34576,,,581,4215600,19594,5863,25987,4806,40272
31283,33198,Directed,31283_33198,,,333,1461960,6327,3047,615,3648,22093
32467,31058,Directed,32467_31058,,,1,15500,0,0,8000,984,215
33198,34100,Directed,33198_34100,,,1001,17564120,63917,53361,3732,41520,134100
31013,31986,Directed,31013_31986,,,149,515000,0,0,37461,1904,12040
30299,33697,Directed,30299_33697,,,2,485000,0,0,220960,7196,800
30157,32575,Directed,30157_32575,,,338,6016400,25228,19537,46320,6924,31894
30194,32575,Directed,30194_32575,,,14727,728388113,2039032,1719321,93122540,357205,2426515
35504,30299,Directed,35504_30299,,,2,94000,0,0,58040,706,144
34614,30436,Directed,34614_30436,,,1819,24809773,91542,72665,10054,12020,148199
32195,30113,Directed,32195_30113,,,1282,3550358,10435,3836,28196,14841,65148
33830,33347,Directed,33830_33347,,,1966,10291943,39702,24917,5427,1288,39473
33873,31464,Directed,33873_31464,,,10,380800,18,7,247894,444,503
33728,32324,Directed,33728_32324,,,13,445662,0,0,102613,7117,1136
31049,30194,Directed,31049_30194,,,1437,10743090,49168,34067,1338,4398,66285
34877,31295,Directed,34877_31295,,,5,83223,0,0,37371,3900,527
34685,35570,Directed,34685_35570,,,11,2461660,346,219,373648,8372,590
35794,30640,Directed,35794_30640,,,2,7239,8,3,786,222,74
33342,30852,Directed,33342_30852,,,2820,60134559,222186,163493,250590,30534,257078
32370,31007,Directed,32370_31007,,,6,11014,48,11,591,285,140
31834,30599,Directed,31834_30599,,,7,162280,636,441,47,3248,615
30476,31335,Directed,30476_31335,,,1,21500,0,0,3858,472,68
33244,30466,Directed,33244_30466,,,1775,129886143,114256,90973,66727209,112302,303773
31650,30994,Directed,31650_30994,,,26,338000,1250,1058,7500,8696,3659
31825,31517,Directed,31825_31517,,,1,3000,9,4,1600,245,86
30397,35249,Directed,30397_35249,,,2574,50264640,220645,182331,336537,13380,97643
30194,30189,Directed,30194_30189,,,1986,75527080,273873,213866,1796,10656,173871
30466,30928,Directed,30466_30928,,,723,11767252,46881,36030,21285,23460,79599
34027,30529,Directed,34027_30529,,,352,13236460,51462,41670,57681,21527,52119
30721,32945,Directed,30721_32945,,,4,100070,391,184,257,3078,483
35165,30559,Directed,35165_30559,,,254,25056000,0,0,16751684,44229,66000
31703,32932,Directed,31703_32932,,,1203,5881300,27751,9523,384,4842,73081
33196,32676,Directed,33196_32676,,,9,13200,57,17,500,846,474
34922,32457,Directed,34922_32457,,,2751,19225258,71162,46210,413418,2081,65743
34656,30647,Directed,34656_30647,,,2,41122,0,0,9696,399,150
31525,34614,Directed,31525_34614,,,1794,13532142,53820,28159,13851,2400,83441
33198,32457,Directed,33198_32457,,,1215,41172079,163150,125104,780778,88092,245681
30194,31337,Directed,30194_31337,,,1,81333,0,0,5096,993,116
33434,33369,Directed,33434_33369,,,71,88146,416,173,2412,1197,2008
32214,32868,Directed,32214_32868,,,22,74726,327,156,1176,1104,547
30476,30928,Directed,30476_30928,,,14,754718,242,228,248873,1239,890
31823,31453,Directed,31823_31453,,,7,325500,0,0,180389,6636,922
32448,33038,Directed,32448_33038,,,1,15500,0,0,5765,645,143
32134,33244,Directed,32134_33244,,,2,368052,0,0,100865,8348,834
33038,33389,Directed,33038_33389,,,1,5439,0,0,300,1031,145
31453,31775,Directed,31453_31775,,,3,76350,300,255,154,2823,463
31703,30257,Directed,31703_30257,,,3991,35235417,144164,84848,423380,13698,164733
35862,32653,Directed,35862_32653,,,1,1200,6,0,4,192,86
31453,33277,Directed,31453_33277,,,691,7453199,28500,19635,2864,18836,52984
31986,30423,Directed,31986_30423,,,1,12000,50,44,2,1103,169
31545,32523,Directed,31545_32523,,,167,301450,984,277,7179,1216,12319
34027,31453,Directed,34027_31453,,,1388,30815756,138941,119658,42443,68816,196696
33044,32575,Directed,33044_32575,,,1814,232847258,294,130,128655808,295001,414450
30070,31445,Directed,30070_31445,,,22,123593,0,0,75835,3642,3300
30852,30397,Directed,30852_30397,,,19489,633822657,2539999,1980167,1829385,169564,1668807
34895,33434,Directed,34895_33434,,,5,7115,33,15,500,550,247
30977,33244,Directed,30977_33244,,,4985,194969964,290302,201779,86247268,85914,384233
33486,31884,Directed,33486_31884,,,3,36200,74,73,5520,507,266
32457,31454,Directed,32457_31454,,,362,17764440,65946,58375,47371,31785,101297
30868,31453,Directed,30868_31453,,,922,11065734,45606,33437,4,22838,126318
34100,30577,Directed,34100_30577,,,1913,22216966,85558,52069,15163,4950,79699
30299,33198,Directed,30299_33198,,,1,239000,0,0,185040,2762,354
32841,30082,Directed,32841_30082,,,1518,1674195,7583,2327,26862,513,16202
31003,33851,Directed,31003_33851,,,3,33580,144,116,2,1647,370
33825,33316,Directed,33825_33316,,,149,521500,0,0,256205,744,5241
33342,31423,Directed,33342_31423,,,1192,7638600,35484,22938,28988,7464,75068
32337,31267,Directed,32337_31267,,,4,102180,150,105,14899,440,113
33316,30194,Directed,33316_30194,,,1691,64840700,232858,182226,336,8160,147079
35478,32807,Directed,35478_32807,,,50,758653,111,14,97609,2980,2644
33342,31714,Directed,33342_31714,,,368,10430180,52137,41732,188,15379,56397
34512,34275,Directed,34512_34275,,,106,886088,3032,1453,5222,5256,7052
35096,30198,Directed,35096_30198,,,842,6891648,30604,17064,2462,8649,63330
33264,31198,Directed,33264_31198,,,2,6975,0,0,468,296,112
31295,33244,Directed,31295_33244,,,3512,212226607,320381,244575,67442988,88446,325173
33158,30615,Directed,33158_30615,,,309,11474400,42186,22354,23931,6396,11869
34275,31396,Directed,34275_31396,,,1,15500,0,0,3489,437,65
33302,30977,Directed,33302_30977,,,2,31000,0,0,5600,190,94
31453,34100,Directed,31453_34100,,,3896,106635875,453144,363475,1143239,135312,676163
32772,30070,Directed,32772_30070,,,1054,1430957,5545,1835,6672,1344,10576
36340,32252,Directed,36340_32252,,,12,14400,72,0,396,140,213
33459,33038,Directed,33459_33038,,,4,86500,0,0,33132,5820,1627
33044,32211,Directed,33044_32211,,,586,32440239,50155,42891,9719608,74704,129724
32807,30113,Directed,32807_30113,,,184,406136,1249,562,41324,6969,7599
30325,30423,Directed,30325_30423,,,2745,144821497,300288,218051,180126,79825,284730
32945,33105,Directed,32945_33105,,,2006,24806438,98587,79043,5791,4480,54561
30349,35725,Directed,30349_35725,,,9,11928,37,7,2073,798,423
30852,34614,Directed,30852_34614,,,1723,75140210,274262,222690,418343,135172,441435
30666,36101,Directed,30666_36101,,,1,17800,76,65,50,180,62
30245,35853,Directed,30245_35853,,,476,597888,2520,558,19862,429,4164
33873,31535,Directed,33873_31535,,,591,1454258,4682,1536,112377,9785,20082
31650,32600,Directed,31650_32600,,,352,4794795,18543,10108,25,11951,34079
35478,30304,Directed,35478_30304,,,3,38619,47,10,7127,492,135
30198,32211,Directed,30198_32211,,,1369,54520576,206300,180877,326654,66850,350843
30070,31555,Directed,30070_31555,,,26,245363,554,497,48447,4000,1404
32600,30255,Directed,32600_30255,,,2,43370,192,187,37,620,197
31517,31327,Directed,31517_31327,,,35,42000,173,27,9097,1162,1660
30559,30852,Directed,30559_30852,,,1899,87383586,305054,263565,3590113,175915,500808
32324,34524,Directed,32324_34524,,,252,9439116,0,0,3477123,5250,12356
32575,32337,Directed,32575_32337,,,2137,214522639,67466,60484,118189497,220360,441000
30721,34231,Directed,30721_34231,,,958,6863800,32198,15564,2766,6972,82408
32853,31336,Directed,32853_31336,,,10,21675,84,29,10,896,477
30299,32294,Directed,30299_32294,,,37,113800,325,277,8921,3120,2329
30647,32571,Directed,30647_32571,,,1,15500,0,0,9103,379,89
32211,31638,Directed,32211_31638,,,2435,35821771,143404,106449,7135,14448,153494
31844,34856,Directed,31844_34856,,,1,4000,19,18,498,129,28
31057,30431,Directed,31057_30431,,,2904,34007874,137068,97162,147392,5336,72635
33851,30325,Directed,33851_30325,,,3160,84958156,293264,216007,134760,54450,237931
33244,31921,Directed,33244_31921,,,27,1457055,120,80,665534,9540,3891
30194,33316,Directed,30194_33316,,,1698,65133570,233756,181145,72438,9330,139566
30423,36133,Directed,30423_36133,,,1,30225,0,0,870,1219,150
33873,32774,Directed,33873_32774,,,88,238033,767,177,17034,2178,2104
30241,33369,Directed,30241_33369,,,3,10350,5,0,1539,216,85
