Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1220,43419356,168687,147253,542368,126588,156806
30,56,Directed,30_56,,,380,2434242,7454,1607,74534,3749,11502
1,20,Directed,1_20,,,2,72110,298,279,0,1457,204
49,51,Directed,49_51,,,1003,44825719,163166,123808,196031,77310,214477
55,30,Directed,55_30,,,2,205870,0,0,91078,2076,256
8,51,Directed,8_51,,,4605,286244051,759637,655971,4961041,185486,785701
24,28,Directed,24_28,,,721,26680094,98569,50560,211515,29766,92714
18,44,Directed,18_44,,,5,236650,772,524,0,3933,575
4,30,Directed,4_30,,,44,1378968,6240,5193,0,13119,5412
25,13,Directed,25_13,,,5977,216222508,851926,717756,4464626,105907,828673
47,24,Directed,47_24,,,4272,186019224,447528,325900,47439580,80732,376497
20,32,Directed,20_32,,,424,14357279,63183,50207,0,32115,60342
45,21,Directed,45_21,,,5120,113951923,214003,161877,35019006,89025,363853
16,22,Directed,16_22,,,2,142400,332,246,0,3074,413
51,2,Directed,51_2,,,2,297400,200,193,111333,6851,867
21,17,Directed,21_17,,,15090,341266021,986634,684037,57691733,123814,821864
26,8,Directed,26_8,,,3750,183746051,461105,391547,282266,145284,598576
16,12,Directed,16_12,,,1,35000,120,60,0,2092,253
39,48,Directed,39_48,,,13415,436096314,1038524,840265,103453219,533867,1951545
2,48,Directed,2_48,,,2361,475838845,69202,62331,376211233,537886,272171
42,49,Directed,42_49,,,978,41651661,152642,137645,641394,88684,248779
45,47,Directed,45_47,,,3106,70546241,121718,85508,22487597,47046,246057
24,49,Directed,24_49,,,723,30439067,111387,93827,347371,70826,187804
13,44,Directed,13_44,,,1477,22571975,104509,89489,114115,40635,170908
33,47,Directed,33_47,,,565,57104221,374,249,37027635,36212,91122
56,41,Directed,56_41,,,2,69561,182,181,5763,1764,284
24,27,Directed,24_27,,,1060,39085535,153981,135834,309236,38385,147866
23,18,Directed,23_18,,,5,325498,100,40,192528,4303,794
37,72,Directed,37_72,,,952,57392548,144787,124409,13961473,87893,176599
44,33,Directed,44_33,,,9,369933,437,176,65188,504,351
33,37,Directed,33_37,,,1018,29772882,116374,90178,31647,52394,122784
26,6,Directed,26_6,,,4142,173898738,680508,621773,1344551,244550,1109707
13,78,Directed,13_78,,,459,21723740,79262,62120,340667,40443,88546
41,17,Directed,41_17,,,3274,127614711,475982,416158,1842569,126927,678696
40,12,Directed,40_12,,,13,431756,1843,1501,0,12506,2136
44,18,Directed,44_18,,,72,3962989,585,388,1576574,10113,9500
37,33,Directed,37_33,,,1026,30036024,117443,88772,68928,53671,104688
17,47,Directed,17_47,,,16834,439574298,1155976,820099,96904486,196902,1135171
36,26,Directed,36_26,,,17548,390588950,1563992,1213754,1200321,243291,1362464
29,34,Directed,29_34,,,4655,55230253,235449,167886,25932,66728,611107
49,16,Directed,49_16,,,16149,239577623,691505,468016,28754340,79578,751441
2,41,Directed,2_41,,,579,22837305,89684,72459,563184,54086,112600
50,33,Directed,50_33,,,4,22500,50,28,2737,394,191
26,9,Directed,26_9,,,1682,47950130,191643,150208,100811,38911,126342
10,45,Directed,10_45,,,1,42500,173,142,0,422,60
21,19,Directed,21_19,,,2744,68331340,109326,80060,20408067,57747,206926
39,10,Directed,39_10,,,2,143000,0,0,19031,821,134
27,38,Directed,27_38,,,8365,170470969,669993,425145,981761,90783,451018
19,42,Directed,19_42,,,64,6229058,644,430,4253032,12367,7758
23,17,Directed,23_17,,,1201,17789100,79170,67499,438237,22734,162814
40,23,Directed,40_23,,,1,2640,10,8,0,1646,0
46,22,Directed,46_22,,,2,44374,186,135,0,1827,224
23,27,Directed,23_27,,,119,1535100,5900,4545,0,9213,20046
27,13,Directed,27_13,,,6152,169367879,700671,552023,571835,149976,754127
39,22,Directed,39_22,,,1224,51068802,20505,16132,23446987,75967,138135
29,9,Directed,29_9,,,908,9490130,41268,32113,0,21266,114981
39,33,Directed,39_33,,,1671,36511900,120362,94880,94787,20856,128378
36,34,Directed,36_34,,,9586,133747432,369648,301873,8874327,78588,402279
37,21,Directed,37_21,,,13414,247929427,692565,511124,38004626,143477,845094
25,54,Directed,25_54,,,2,78000,118,61,0,577,167
5,6,Directed,5_6,,,439,8857508,29601,20371,988754,26750,79893
2,25,Directed,2_25,,,1,5999,18,10,0,3368,372
10,42,Directed,10_42,,,1,24062,50,42,0,23,26
29,40,Directed,29_40,,,5362,157071457,583711,388482,1329913,66916,302393
27,33,Directed,27_33,,,298,6977865,27906,22913,11282,20748,40000
35,42,Directed,35_42,,,4,162514,604,473,48,6988,804
39,13,Directed,39_13,,,15875,336023274,1266325,992247,26528223,183610,1260721
26,1,Directed,26_1,,,1718,24985069,96494,72998,54422,38465,150554
46,29,Directed,46_29,,,5,281892,335,120,78178,2548,426
1,18,Directed,1_18,,,6,113349,403,352,3730,2994,707
24,35,Directed,24_35,,,365,13399700,50005,46181,104828,25050,83711
18,27,Directed,18_27,,,2618,115500697,265480,204737,31056282,71152,212751
22,24,Directed,22_24,,,368,13521488,50319,40978,485685,25948,46452
39,25,Directed,39_25,,,4599,107143032,366172,268677,13454795,133267,398639
35,17,Directed,35_17,,,2029,63001440,230391,193212,279827,64618,286240
39,38,Directed,39_38,,,256,8662205,68,50,4067234,13556,30097
36,33,Directed,36_33,,,4451,35545280,141748,67715,1033804,23293,246714
53,13,Directed,53_13,,,2551,152253830,512075,460715,7325288,85118,640800
21,6,Directed,21_6,,,6552,552539771,551414,455208,229515018,636535,1608801
15,2,Directed,15_2,,,200,14758540,45977,35969,486271,55540,65764
35,51,Directed,35_51,,,360,11610040,44418,36772,46862,47376,70118
45,33,Directed,45_33,,,3,36500,100,98,0,1593,359
28,32,Directed,28_32,,,59,2006000,8850,6643,0,16184,12276
6,18,Directed,6_18,,,4030,401584499,94466,83678,239233310,489247,849516
21,5,Directed,21_5,,,2452,47735846,93351,67600,18304391,51885,204522
29,49,Directed,29_49,,,2673,60264262,226510,178586,521553,97346,409641
48,56,Directed,48_56,,,228,11454653,42632,31723,1036,12631,32808
56,54,Directed,56_54,,,1,90000,132,124,0,1283,227
17,6,Directed,17_6,,,34723,1703417406,5313756,4396571,151933919,1333851,8158648
34,23,Directed,34_23,,,1730,20530459,83258,69451,28807,19872,90240
18,20,Directed,18_20,,,2,42000,200,129,0,1137,180
37,1,Directed,37_1,,,6613,95686486,386844,263067,271044,57969,419762
48,49,Directed,48_49,,,8106,204752101,786215,633803,1217253,366903,1218241
35,18,Directed,35_18,,,2,96534,137,133,31544,2322,276
38,38,Directed,38_38,,,5012,24961393,68179,19301,3633993,38246,275602
4,8,Directed,4_8,,,15116,569422984,1649922,1324306,3798877,228132,1271340
32,24,Directed,32_24,,,1769,65403513,240096,213372,530692,101081,430933
19,37,Directed,19_37,,,2,57845,223,133,0,1752,234
6,6,Directed,6_6,,,402374,9728060457,31720813,21533865,599798627,1493826,20445255
2,35,Directed,2_35,,,1,245000,0,0,99686,2761,309
13,8,Directed,13_8,,,7209,353216800,1032399,845923,1592006,243236,1224521
53,53,Directed,53_53,,,87278,796501743,2753732,1905839,49269578,238912,2857022
9,25,Directed,9_25,,,104,2019037,4551,2881,243646,5767,3773
6,17,Directed,6_17,,,34525,1683821641,5279495,4357967,160496946,1433860,7286929
44,54,Directed,44_54,,,2,22500,100,74,0,1079,204
48,18,Directed,48_18,,,6500,213602429,504235,415637,57751227,284654,703369
23,51,Directed,23_51,,,2377,37861453,150952,114444,27134,35744,194694
30,47,Directed,30_47,,,841,50449268,132,132,18882509,53816,134584
8,8,Directed,8_8,,,47996,526557955,1988714,1414092,7825380,121432,1938682
55,54,Directed,55_54,,,1,55362,0,0,18833,511,74
34,50,Directed,34_50,,,1332,15819800,65066,52890,60463,6383,62937
53,34,Directed,53_34,,,2193,95207459,359066,307155,7762685,132054,572675
36,55,Directed,36_55,,,2042,47576479,162885,124540,290086,57972,233680
25,24,Directed,25_24,,,5463,116463987,496097,327737,234909,24766,361490
27,21,Directed,27_21,,,4188,106938844,225585,169093,38139448,95436,355613
25,39,Directed,25_39,,,4593,108842092,364585,263300,10303323,131706,458627
18,29,Directed,18_29,,,3110,99364773,193624,144352,36429833,56562,180411
28,34,Directed,28_34,,,113,1380817,5792,3495,160,6174,15763
36,78,Directed,36_78,,,384,19323310,71576,51331,255312,40653,76733
21,1,Directed,21_1,,,3798,86401959,235777,177681,21143836,54553,218720
51,50,Directed,51_50,,,2479,32617567,133442,102996,666,25421,173052
19,31,Directed,19_31,,,209,16884767,500,384,4566878,2580,5206
29,1,Directed,29_1,,,380,13923584,51671,41480,84621,15678,23662
17,27,Directed,17_27,,,18728,513466749,1939761,1468576,14142919,114847,1159161
34,18,Directed,34_18,,,2576,128523777,105773,74872,60649403,81302,255397
42,33,Directed,42_33,,,4687,149475076,452320,301379,11421573,47105,246013
16,38,Directed,16_38,,,2,73110,268,239,0,1746,274
50,34,Directed,50_34,,,1321,15695800,64429,52380,41807,6322,72758
55,39,Directed,55_39,,,5839,70524005,216225,141435,6131102,61454,335402
20,53,Directed,20_53,,,7,1362266,110,67,122176,4260,1427
26,42,Directed,26_42,,,12656,263899976,885411,677433,15893525,141728,729914
30,40,Directed,30_40,,,2,112158,0,0,20231,1838,226
51,44,Directed,51_44,,,3459,64514793,255518,180724,5773,43955,198623
8,12,Directed,8_12,,,8100,426600909,1183729,999572,1321136,302072,1530452
5,26,Directed,5_26,,,765,10314789,35068,25523,774920,46843,82625
35,23,Directed,35_23,,,1,47000,0,0,19000,2095,330
42,17,Directed,42_17,,,22175,641924915,2297762,1724959,25658542,338309,2100034
19,5,Directed,19_5,,,10,118150,494,392,10,4662,1120
32,78,Directed,32_78,,,1,48470,185,101,0,3281,370
45,1,Directed,45_1,,,19,329605,716,437,97346,5857,1555
46,13,Directed,46_13,,,336,3476610,16878,12172,2183,15466,41741
22,45,Directed,22_45,,,10,366142,1457,1043,0,6439,869
51,49,Directed,51_49,,,1003,44803145,163280,129249,70972,69959,254378
31,34,Directed,31_34,,,887,10754186,44792,34926,535,18148,129755
26,49,Directed,26_49,,,368,13761528,53499,44114,13302,50240,76899
30,49,Directed,30_49,,,11978,165771878,619242,463076,120779,69773,772842
38,51,Directed,38_51,,,3,299970,1044,1011,0,3363,403
8,15,Directed,8_15,,,510,42594860,139588,120231,1002178,123708,208485
50,12,Directed,50_12,,,1,37400,156,117,0,1195,201
20,55,Directed,20_55,,,2,28691,100,76,0,1113,165
31,8,Directed,31_8,,,8413,190285513,574291,422207,130531,82731,555130
26,39,Directed,26_39,,,13235,191992306,603040,399344,15458325,57432,434818
18,2,Directed,18_2,,,264,51358764,0,0,36284388,48320,96153
41,34,Directed,41_34,,,695,23163550,109202,99159,475478,65673,195507
4,2,Directed,4_2,,,355,13497144,46092,36727,424482,40816,115151
17,32,Directed,17_32,,,11196,428355767,1675474,1419846,1902136,311111,2310727
13,22,Directed,13_22,,,12682,230688469,1019807,784040,1112128,110330,913721
18,35,Directed,18_35,,,4,267129,300,276,108241,4562,678
21,22,Directed,21_22,,,1942,62498639,71020,51742,26588817,108199,192481
22,78,Directed,22_78,,,1,42500,173,152,0,1780,215
46,18,Directed,46_18,,,2,26000,100,74,0,1148,275
31,1,Directed,31_1,,,2,47400,187,67,0,1409,288
46,53,Directed,46_53,,,10,278149,293,161,92841,8279,2670
27,44,Directed,27_44,,,264,8313700,33769,27640,16860,20088,36627
31,42,Directed,31_42,,,14,261226,886,575,2738,12657,1970
2,1,Directed,2_1,,,1,264000,0,0,167200,3467,0
47,56,Directed,47_56,,,261,20647800,0,0,11900769,21777,36165
45,5,Directed,45_5,,,12,198357,764,561,1691,6699,1380
75,75,Directed,75_75,,,15966,87084242,358484,209977,3466072,21018,326098
29,56,Directed,29_56,,,6,176298,371,311,60848,3660,738
1,32,Directed,1_32,,,394,14395335,54414,47338,97978,40565,88111
30,13,Directed,30_13,,,81,3684560,13338,10581,313,26856,16439
37,51,Directed,37_51,,,31051,560147242,2141519,1437851,1444154,217804,1455756
13,25,Directed,13_25,,,5995,214219088,845822,714553,2385893,104685,742435
29,17,Directed,29_17,,,23827,689786984,2469325,1753290,20730897,152369,1265256
45,6,Directed,45_6,,,303,33236444,8,5,18053662,95615,85141
22,72,Directed,22_72,,,3,160102,608,466,1733,5319,608
36,19,Directed,36_19,,,404,3957860,16112,11208,75,29668,64259
24,12,Directed,24_12,,,16457,576947860,2230094,1616490,2532870,260124,1971566
21,35,Directed,21_35,,,1136,81767688,64138,46919,43856592,61287,184184
