Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
15339,11833,Directed,15339_11833,,,1,3379,19,15,0,229,58
12945,13930,Directed,12945_13930,,,1724,21057261,84066,57558,28702,14858,103718
13369,14234,Directed,13369_14234,,,71,100524,464,176,555,812,1368
14107,11603,Directed,14107_11603,,,2,102460,367,314,0,1904,246
14092,15016,Directed,14092_15016,,,1,42500,174,117,0,747,109
14893,10529,Directed,14893_10529,,,1,34000,150,50,0,2558,276
15769,13546,Directed,15769_13546,,,1,6800,30,26,0,862,155
14107,10171,Directed,14107_10171,,,1,21226,0,0,390,879,123
15919,12217,Directed,15919_12217,,,1,12500,50,26,0,439,108
11618,14843,Directed,11618_14843,,,985,49024765,183805,162804,514191,82008,194859
13061,13367,Directed,13061_13367,,,2,42452,0,0,26394,1085,289
12156,13487,Directed,12156_13487,,,359,7746899,27258,21223,0,13695,41945
14783,11905,Directed,14783_11905,,,1,11610,50,42,1,343,105
13577,13367,Directed,13577_13367,,,1,40271,162,128,0,830,125
11921,13487,Directed,11921_13487,,,6,254660,984,477,0,5280,666
15754,12815,Directed,15754_12815,,,1,1200,6,3,0,100,72
13873,14102,Directed,13873_14102,,,5,22000,95,30,0,538,331
13768,12214,Directed,13768_12214,,,18,59499,241,80,1862,1344,500
11961,12250,Directed,11961_12250,,,1,3300,8,4,0,95,72
12857,12815,Directed,12857_12815,,,48,59601,292,53,133,204,465
15070,11042,Directed,15070_11042,,,1,27280,124,121,0,402,87
11066,14683,Directed,11066_14683,,,1,36700,137,18,0,1140,166
14112,11042,Directed,14112_11042,,,2,79827,320,82,21420,1864,244
10529,10535,Directed,10529_10535,,,193,675500,0,0,87155,696,4986
12264,10158,Directed,12264_10158,,,18,564042,2081,713,0,1590,611
14869,10620,Directed,14869_10620,,,1671,23083071,85438,72409,3035,7740,94311
11399,11869,Directed,11399_11869,,,19,66500,361,226,0,320,951
14853,10629,Directed,14853_10629,,,16,622260,2278,1491,0,6424,1261
10304,10551,Directed,10304_10551,,,423,1419335,2800,1517,270958,8460,16464
14122,12265,Directed,14122_12265,,,1,32793,136,99,0,192,35
14046,14316,Directed,14046_14316,,,1,1230,6,2,0,43,17
11973,14524,Directed,11973_14524,,,3,115588,408,392,0,2496,326
13196,14718,Directed,13196_14718,,,2,3200,14,3,0,660,215
11057,11278,Directed,11057_11278,,,3858,119703650,408710,307978,89701,32769,210482
13230,11995,Directed,13230_11995,,,1,13500,50,49,0,332,56
10800,13851,Directed,10800_13851,,,1,38800,140,140,0,1181,183
10333,11013,Directed,10333_11013,,,93,688881,3162,1266,12,364,2370
10792,13495,Directed,10792_13495,,,1,37400,137,38,0,1097,161
13809,12992,Directed,13809_12992,,,4,234101,0,0,147942,2103,416
15894,15741,Directed,15894_15741,,,1,2200,10,7,0,39,24
14771,14489,Directed,14771_14489,,,768,10362043,38380,28634,0,6006,51451
13871,10713,Directed,13871_10713,,,49,5202478,0,0,2191506,12588,6908
11844,13873,Directed,11844_13873,,,29,225799,391,123,36602,3542,1822
10423,14831,Directed,10423_14831,,,693,24908625,89851,73243,18173,35448,143857
12264,15502,Directed,12264_15502,,,5,142000,670,260,0,3860,570
11764,13303,Directed,11764_13303,,,1,36674,68,52,0,1103,174
11003,15401,Directed,11003_15401,,,2,24700,100,99,0,1188,270
12641,15444,Directed,12641_15444,,,2,6875,18,9,0,180,84
13930,15024,Directed,13930_15024,,,40,1829400,6852,5869,0,16928,10029
10241,12855,Directed,10241_12855,,,227,282205,1329,412,7388,330,2463
