Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,904,33631045,118631,105113,463591,78845,114133
30,56,Directed,30_56,,,1363,6845589,27125,3546,115021,18313,61155
1,20,Directed,1_20,,,1,27000,130,113,0,663,102
49,51,Directed,49_51,,,703,32304496,118143,102843,252624,75387,150528
8,51,Directed,8_51,,,5150,229868218,845747,735202,5658778,217342,880662
24,28,Directed,24_28,,,605,22299471,82681,48100,63335,32322,77524
18,44,Directed,18_44,,,2,32536,136,32,0,1582,236
4,30,Directed,4_30,,,441,14968607,65893,58546,0,50161,55653
25,13,Directed,25_13,,,5428,222717794,850035,731421,2593203,102054,737482
47,24,Directed,47_24,,,3867,167877842,393823,293192,40017716,72778,344236
20,32,Directed,20_32,,,258,8758000,38660,35239,0,16158,36276
45,21,Directed,45_21,,,957,58719856,20975,13440,29926159,32594,56630
16,22,Directed,16_22,,,2,83216,324,247,0,3146,358
23,29,Directed,23_29,,,1,22000,76,15,0,1095,136
51,2,Directed,51_2,,,1,106000,253,231,11004,3356,452
21,17,Directed,21_17,,,15069,344586472,899780,623440,64066659,139751,823258
35,22,Directed,35_22,,,2,75100,277,257,1897,1772,351
26,8,Directed,26_8,,,4522,133254385,515027,447163,295021,197647,717601
16,12,Directed,16_12,,,1,35000,120,88,0,1854,220
39,48,Directed,39_48,,,9884,277228462,919573,746965,27592898,336943,1420789
2,48,Directed,2_48,,,1626,336677370,51662,45254,270364179,407663,134744
42,49,Directed,42_49,,,640,25737275,99332,89917,176210,47883,169550
45,47,Directed,45_47,,,718,42505607,9753,6860,19546685,27079,51959
24,49,Directed,24_49,,,1011,44598324,163387,141459,266045,76424,261565
13,44,Directed,13_44,,,1195,30893060,122037,103327,70636,41538,138020
33,47,Directed,33_47,,,560,62860980,259,56,38622565,39265,88467
24,27,Directed,24_27,,,1247,42261733,165663,139077,121513,69264,169581
23,18,Directed,23_18,,,4,67110,248,203,0,3344,736
37,72,Directed,37_72,,,1114,70622124,148581,132206,12544253,98888,204659
33,37,Directed,33_37,,,517,16209916,64058,48689,47,29583,61320
26,6,Directed,26_6,,,4453,197715669,735503,668796,2294833,334086,1191404
13,78,Directed,13_78,,,858,36190830,130003,108257,272612,67821,162591
41,17,Directed,41_17,,,2619,103408782,388160,352991,1090511,148039,541748
40,12,Directed,40_12,,,140,4612873,16424,10245,924,23541,18748
26,15,Directed,26_15,,,70,7215550,20860,16241,1178467,31325,38376
44,18,Directed,44_18,,,236,13362831,224,129,4722298,11078,24440
37,33,Directed,37_33,,,517,16272948,64216,44864,558,31139,52711
17,47,Directed,17_47,,,15735,391987936,997196,739346,90345364,228566,1066754
36,26,Directed,36_26,,,19401,346083190,1382250,1113447,526397,287877,1402466
29,34,Directed,29_34,,,3624,43459958,180453,134447,65685,38738,472585
26,5,Directed,26_5,,,1231,15194634,60934,41399,102059,54594,131886
2,41,Directed,2_41,,,706,26368965,108330,87282,821982,50886,137215
50,33,Directed,50_33,,,4,118377,247,102,10225,543,163
17,37,Directed,17_37,,,13138,335237375,1268780,1034976,878361,232362,1116998
21,19,Directed,21_19,,,564,38414916,5989,3982,22953839,26068,40600
39,10,Directed,39_10,,,3,313908,7,1,9078,1323,198
27,38,Directed,27_38,,,9371,151606692,587324,386325,588728,99294,516010
19,42,Directed,19_42,,,161,16375482,797,426,10064134,19262,19317
23,17,Directed,23_17,,,1208,22329970,80594,71992,227723,33690,161445
10,33,Directed,10_33,,,1,36000,168,119,0,342,48
23,27,Directed,23_27,,,1,2000,9,2,0,1212,164
27,13,Directed,27_13,,,5465,218478190,847124,700519,728243,118242,661555
39,22,Directed,39_22,,,302,3768018,15184,11836,49558,32433,40530
29,9,Directed,29_9,,,5,143592,511,431,0,4997,761
39,33,Directed,39_33,,,1162,13968886,58187,45070,2013,7699,85802
36,34,Directed,36_34,,,8218,122565945,421383,315969,5817539,63374,420203
37,21,Directed,37_21,,,9994,283749795,549358,413584,60823933,134497,597823
25,54,Directed,25_54,,,1,5300,7,6,0,613,102
5,6,Directed,5_6,,,117,4066239,16119,15041,291438,26704,21871
29,40,Directed,29_40,,,2179,76196916,279863,200528,463281,40058,132570
27,33,Directed,27_33,,,1,16500,50,29,0,1076,145
35,42,Directed,35_42,,,2,67240,257,127,0,3233,427
39,13,Directed,39_13,,,14381,339390196,1338386,1080633,7951827,190612,1119199
26,1,Directed,26_1,,,2039,25866294,103052,74894,16884,57131,180046
1,18,Directed,1_18,,,14,248875,743,544,1300,5135,1406
24,35,Directed,24_35,,,558,20476380,76386,68401,155945,43409,128251
18,27,Directed,18_27,,,2555,91322050,222295,173918,24778697,89690,205426
22,24,Directed,22_24,,,994,32504452,129140,113341,441978,49924,128161
39,25,Directed,39_25,,,2787,46181045,200912,155997,324927,73802,238020
35,17,Directed,35_17,,,1839,55775822,206441,172618,239665,81435,258257
39,38,Directed,39_38,,,2,39654,126,115,650,1804,261
36,33,Directed,36_33,,,1869,14951611,50636,23258,1165679,10284,105167
53,13,Directed,53_13,,,2837,151334965,523897,481950,7043166,131044,714239
2,32,Directed,2_32,,,3,75910,333,99,0,6685,535
15,2,Directed,15_2,,,325,14526348,50240,46899,195122,58388,108614
35,51,Directed,35_51,,,355,12386100,48816,37257,2918,37453,67581
28,32,Directed,28_32,,,2,54000,260,117,0,2800,390
16,36,Directed,16_36,,,1,2300,8,1,0,1909,288
6,18,Directed,6_18,,,2583,303743662,42816,36220,192645373,397085,533363
21,5,Directed,21_5,,,1101,35382929,42926,24983,16623687,47430,90960
29,49,Directed,29_49,,,1978,48721790,180221,153467,171325,90647,294116
48,56,Directed,48_56,,,522,14417818,55188,39451,13432,26172,63361
17,6,Directed,17_6,,,27190,1276366950,4340137,3813266,72611554,1082985,6423603
34,23,Directed,34_23,,,1401,25554198,101460,79623,289279,11261,83425
18,20,Directed,18_20,,,2,39000,180,154,0,1256,174
37,1,Directed,37_1,,,5929,94399647,342187,259237,97541,49708,373336
48,49,Directed,48_49,,,7689,196937911,745043,626781,630922,325660,1162895
35,18,Directed,35_18,,,1,36700,137,137,270,1161,150
38,38,Directed,38_38,,,4710,23126631,60229,17904,4415177,38159,284328
4,8,Directed,4_8,,,13681,395142352,1516389,1230943,1304199,231106,1148335
32,24,Directed,32_24,,,1200,43996576,164351,147008,594172,35788,295596
6,6,Directed,6_6,,,312020,8040161867,27160943,19260868,366539727,1336753,15843995
13,8,Directed,13_8,,,7053,256992847,985132,830106,1279326,231897,1196572
53,53,Directed,53_53,,,77209,766048008,2708997,1768275,38076904,228519,2497470
9,25,Directed,9_25,,,46,1350749,3410,2703,91924,3870,1711
6,17,Directed,6_17,,,27479,1283900566,4370703,3808082,80887493,1236678,5733584
44,54,Directed,44_54,,,2,34600,174,111,0,1045,156
48,18,Directed,48_18,,,5575,196220637,433769,364985,54060066,228057,594998
23,51,Directed,23_51,,,2095,38395330,145986,110705,200,41793,169696
30,47,Directed,30_47,,,840,52970595,504,459,18856905,62538,133208
8,8,Directed,8_8,,,48557,722860594,2662083,1793245,8594538,132809,1629833
55,54,Directed,55_54,,,1,12000,50,26,0,473,74
34,50,Directed,34_50,,,1341,18556982,76525,58063,26421,6854,66359
53,34,Directed,53_34,,,1946,79435964,313669,281636,2542959,117648,542777
36,55,Directed,36_55,,,3123,80431680,329866,271097,76662,87232,359685
34,35,Directed,34_35,,,6,203280,900,841,2621,10874,1587
27,21,Directed,27_21,,,3942,137263075,203580,160091,46710155,119861,336566
25,39,Directed,25_39,,,2781,48480373,202080,155171,225556,80266,265336
18,29,Directed,18_29,,,1400,79242987,105561,72455,34824737,31510,84299
28,34,Directed,28_34,,,4,93000,440,258,0,3856,497
13,35,Directed,13_35,,,1040,41565787,162421,136880,211091,37961,180277
21,1,Directed,21_1,,,893,50928362,84836,50510,20374454,20929,45968
51,50,Directed,51_50,,,2065,35685058,135982,103313,442,35215,142053
19,31,Directed,19_31,,,21,1043951,794,497,148390,2115,719
29,1,Directed,29_1,,,373,13650530,50687,33457,21572,16448,23433
17,27,Directed,17_27,,,19776,511082319,1824548,1343957,12669494,155998,1198151
34,18,Directed,34_18,,,2582,105727324,96979,74920,55918758,53894,257264
51,46,Directed,51_46,,,10,434244,1502,1456,4970,9165,1570
16,38,Directed,16_38,,,2,83863,324,184,0,1762,216
50,34,Directed,50_34,,,1339,18526872,76477,63371,3671,6372,71491
55,39,Directed,55_39,,,5146,61212594,242375,164192,360549,53041,286307
