Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
33304,30590,Directed,33304_30590,,,4,164573,648,630,0,4528,641
35041,32457,Directed,35041_32457,,,1,3000,12,11,0,587,91
31295,30300,Directed,31295_30300,,,1,24000,105,33,0,536,90
31503,30325,Directed,31503_30325,,,1172,23792830,90590,52955,0,3720,36564
30559,30397,Directed,30559_30397,,,2836,151255115,523635,481743,7030337,128738,713965
33105,30194,Directed,33105_30194,,,3341,66559215,172913,133612,13383514,79556,407246
35411,30476,Directed,35411_30476,,,1,10520,44,33,123,92,21
31453,32390,Directed,31453_32390,,,1,37400,150,146,0,1101,130
30980,31905,Directed,30980_31905,,,1,12350,50,32,2,577,116
35412,33495,Directed,35412_33495,,,1,20036,86,52,0,541,80
34113,34004,Directed,34113_34004,,,1,6500,28,18,0,583,128
32769,35478,Directed,32769_35478,,,46,73112,114,62,3272,1456,2274
30397,31641,Directed,30397_31641,,,2994,41401660,150370,118221,1000,5296,150589
32945,31995,Directed,32945_31995,,,1,24062,50,16,0,290,97
31123,31979,Directed,31123_31979,,,1,42500,174,117,0,1714,250
30416,32779,Directed,30416_32779,,,1,2556,9,4,0,192,69
30559,32134,Directed,30559_32134,,,1646,101888456,339658,305919,6244705,107083,563657
34100,30434,Directed,34100_30434,,,2016,33241794,91024,66051,9377,4830,58982
34601,33676,Directed,34601_33676,,,12,14400,60,11,917,440,123
31650,30849,Directed,31650_30849,,,886,23227267,89452,72827,40545,31464,113887
32195,32831,Directed,32195_32831,,,2,3000,15,7,0,258,97
30247,30299,Directed,30247_30299,,,3,11782,22,18,4214,1455,338
32467,34492,Directed,32467_34492,,,1969,75416074,250403,197996,1575685,63140,196774
33570,30852,Directed,33570_30852,,,1867,76873379,289471,259906,258499,120081,489769
33214,30255,Directed,33214_30255,,,1,33370,142,138,0,770,149
33195,31871,Directed,33195_31871,,,200,6787328,29964,27297,0,6262,14141
31650,32888,Directed,31650_32888,,,2,62018,232,171,0,1352,237
31267,30135,Directed,31267_30135,,,2,24240,100,55,0,934,255
30666,31588,Directed,30666_31588,,,2139,3592300,8376,756,290126,612,20818
31123,34288,Directed,31123_34288,,,1,37400,137,133,273,766,132
33495,30852,Directed,33495_30852,,,3342,87475863,353734,278860,428997,129325,424303
30599,31834,Directed,30599_31834,,,3,80700,328,309,0,922,224
30325,35843,Directed,30325_35843,,,151,679500,2869,920,0,3300,12255
30977,32441,Directed,30977_32441,,,432,18262406,69076,48417,553,31374,69287
35165,32575,Directed,35165_32575,,,254,24970000,15,8,16772963,56463,65021
32457,33198,Directed,32457_33198,,,1068,29584451,106520,92688,148543,98603,190721
30559,31895,Directed,30559_31895,,,722,12900253,55016,35564,254911,8192,57911
31517,31555,Directed,31517_31555,,,5,19648,96,84,50,1565,575
30590,31122,Directed,30590_31122,,,5,180816,758,702,0,3445,472
30385,34057,Directed,30385_34057,,,737,1883495,6177,1311,0,1095,19994
31503,30540,Directed,31503_30540,,,1,2300,13,4,0,1857,298
30397,30852,Directed,30397_30852,,,18480,614153047,2497384,1943269,1748435,187036,1464845
33244,32474,Directed,33244_32474,,,1024,11654478,47584,35039,338,5184,54292
30599,30928,Directed,30599_30928,,,1,27000,130,113,0,663,102
30640,30923,Directed,30640_30923,,,5,19050,27,7,5002,92,54
34102,34125,Directed,34102_34125,,,136,427372,1440,445,21271,3886,6700
30009,30036,Directed,30009_30036,,,329,394800,1974,496,696,418,2961
30928,33198,Directed,30928_33198,,,17,305855,1210,1022,1384,2046,669
32467,30977,Directed,32467_30977,,,7170,318129573,1155080,991027,8439476,175627,1189953
31714,30325,Directed,31714_30325,,,173,5566360,23500,20068,0,24105,39335
30158,30994,Directed,30158_30994,,,5,135300,630,584,0,2725,402
30590,30693,Directed,30590_30693,,,6,169000,800,592,0,9390,1134
34524,31267,Directed,34524_31267,,,1,12000,50,49,0,408,65
30643,30977,Directed,30643_30977,,,55,535200,2270,892,0,1864,4478
34524,31764,Directed,34524_31764,,,2,24000,100,47,0,306,107
35374,34711,Directed,35374_34711,,,1,12000,50,29,0,751,95
32457,30423,Directed,32457_30423,,,2041,63111861,235117,195147,189967,129971,370661
30713,31563,Directed,30713_31563,,,2,60000,300,265,0,452,46
32610,32171,Directed,32610_32171,,,2,4000,14,11,66,190,76
34828,34270,Directed,34828_34270,,,80,82000,330,167,0,1116,3142
32068,31703,Directed,32068_31703,,,1,5300,7,1,0,584,96
31986,32337,Directed,31986_32337,,,218,16867671,448,191,10200548,5083,8944
33282,30852,Directed,33282_30852,,,558,4017600,18936,9583,0,1680,22191
31650,33486,Directed,31650_33486,,,674,13500545,51675,42024,259,16208,99287
30721,32457,Directed,30721_32457,,,4022,175644183,648186,549959,1343334,302540,1461409
30466,31995,Directed,30466_31995,,,3,127900,470,443,62,5475,725
34057,30423,Directed,34057_30423,,,4,147350,605,574,26,6860,970
31961,34100,Directed,31961_34100,,,1,1780,9,5,0,196,0
34027,31986,Directed,34027_31986,,,1,35700,144,28,0,1158,175
30540,34492,Directed,30540_34492,,,4,131200,464,371,0,2428,389
32323,35502,Directed,32323_35502,,,6,191744,812,372,0,4260,645
33970,32807,Directed,33970_32807,,,1,3705,19,19,0,335,73
30466,31454,Directed,30466_31454,,,1066,48896649,176224,153351,359962,75768,233803
32720,31511,Directed,32720_31511,,,5,6879,33,17,35,330,133
32337,34653,Directed,32337_34653,,,73,4222892,122,119,2458183,5202,6027
35124,35061,Directed,35124_35061,,,3,7739,27,19,230,208,129
34092,34653,Directed,34092_34653,,,1,16500,50,48,0,1037,147
34574,30529,Directed,34574_30529,,,1,12000,50,33,0,502,69
30785,34100,Directed,30785_34100,,,1804,37794570,123241,96202,2371,16464,119949
31315,34745,Directed,31315_34745,,,304,1966000,9065,1381,0,1365,6942
32134,35167,Directed,32134_35167,,,1,3000,14,4,0,4966,539
31563,33342,Directed,31563_33342,,,8,240000,1200,1168,0,9464,1203
32348,33105,Directed,32348_33105,,,1,12000,50,48,0,308,63
30559,34614,Directed,30559_34614,,,3836,131300394,483152,388554,942113,88201,352465
33244,33076,Directed,33244_33076,,,2,25000,100,82,0,1226,300
32211,34761,Directed,32211_34761,,,2,68000,300,171,0,2034,492
30299,35478,Directed,30299_35478,,,867,9557938,13194,6145,1872546,40376,74686
33244,31778,Directed,33244_31778,,,1033,11450389,47122,31636,250,5727,49705
30654,30540,Directed,30654_30540,,,1,5300,7,6,0,613,90
30693,35249,Directed,30693_35249,,,1,36000,168,78,0,417,62
32822,30299,Directed,32822_30299,,,2,4800,18,7,0,1174,250
34474,32214,Directed,34474_32214,,,14,37715,117,20,2977,936,405
31295,34057,Directed,31295_34057,,,222,8849535,33691,30390,16258,41013,57989
31123,31057,Directed,31123_31057,,,2071,51734064,200697,164156,46314,60375,173350
30113,35257,Directed,30113_35257,,,876,1115534,4964,1574,124333,3240,19644
32211,33127,Directed,32211_33127,,,1,37400,150,120,0,717,108
35991,30299,Directed,35991_30299,,,27,435934,691,136,85492,5580,2257
34273,32748,Directed,34273_32748,,,2,6000,18,16,0,442,97
32853,32195,Directed,32853_32195,,,1,1200,6,2,0,190,85
30194,31233,Directed,30194_31233,,,292,2982440,12944,7422,868,8556,30555
31559,31517,Directed,31559_31517,,,6,12325,55,30,148,246,157
32784,34273,Directed,32784_34273,,,23,77693,203,92,275,975,774
32211,30172,Directed,32211_30172,,,2,27476,238,54,1750,4198,470
33768,30184,Directed,33768_30184,,,3,9400,27,26,0,600,237
33316,30928,Directed,33316_30928,,,3,62400,240,210,0,795,246
33968,31588,Directed,33968_31588,,,1680,2008800,8376,213,0,216,16320
31504,32265,Directed,31504_32265,,,5,163965,680,292,0,966,625
30107,35478,Directed,30107_35478,,,1,1000,3,1,0,524,236
34783,36133,Directed,34783_36133,,,1,36700,137,117,0,735,87
31267,31481,Directed,31267_31481,,,1,34000,150,58,0,678,90
31454,31295,Directed,31454_31295,,,3518,156328799,605599,530922,165897,108141,462791
31703,33198,Directed,31703_33198,,,3775,64986001,252467,183637,61466,107233,604824
35887,33579,Directed,35887_33579,,,23,64811,207,57,1126,804,663
30194,34524,Directed,30194_34524,,,1045,39740698,145996,116675,95955,18519,149257
34992,31136,Directed,34992_31136,,,5,132940,512,448,0,4140,1091
30424,34574,Directed,30424_34574,,,1,12000,50,24,0,721,104
31648,33486,Directed,31648_33486,,,14,310170,1330,540,14322,1261,355
30852,35412,Directed,30852_35412,,,1922,23645333,96538,55399,261875,18860,129354
34986,32467,Directed,34986_32467,,,2,92100,336,260,50,356,58
32575,30285,Directed,32575_30285,,,1,13500,50,49,0,639,122
34761,30216,Directed,34761_30216,,,1,11486,50,43,0,377,57
34288,32575,Directed,34288_32575,,,1,2000,8,2,0,823,135
33342,34492,Directed,33342_34492,,,483,9232852,36548,27447,0,8268,46846
31986,30255,Directed,31986_30255,,,1,13500,50,42,0,572,162
31123,30540,Directed,31123_30540,,,1,12000,50,35,0,1050,133
31703,30519,Directed,31703_30519,,,1,5300,7,7,0,1077,180
32467,30198,Directed,32467_30198,,,999,20871150,91961,83728,5693,45015,136379
33432,35478,Directed,33432_35478,,,1,1142,6,1,0,68,37
30020,33873,Directed,30020_33873,,,8,41350,13,4,1587,1065,558
33198,30397,Directed,33198_30397,,,3728,119486450,503891,408204,741435,61577,358367
30158,34092,Directed,30158_34092,,,8,204100,1010,445,0,1525,407
35709,33873,Directed,35709_33873,,,502,1314159,4320,1359,10838,10900,19390
30559,33772,Directed,30559_33772,,,6,11100,36,23,0,156,80
31295,31067,Directed,31295_31067,,,486,5235977,21808,11412,12,6234,28655
32575,33195,Directed,32575_33195,,,336,13361626,51769,46975,421611,51745,82346
34627,35257,Directed,34627_35257,,,6,8606,33,13,105,245,135
35887,33710,Directed,35887_33710,,,102,169695,681,240,4801,1290,1625
31834,33495,Directed,31834_33495,,,1,51300,188,153,0,493,71
31057,32951,Directed,31057_32951,,,1,12000,50,49,0,730,117
30561,31921,Directed,30561_31921,,,1,13500,50,50,0,634,106
30693,30852,Directed,30693_30852,,,5991,130434560,484054,350719,693061,77094,486800
31453,31905,Directed,31453_31905,,,2,24700,100,77,0,384,138
30925,34745,Directed,30925_34745,,,1,6500,30,2,0,341,147
30928,34952,Directed,30928_34952,,,1,12350,50,48,0,445,83
31066,30599,Directed,31066_30599,,,2,175046,137,62,116560,973,266
33244,31150,Directed,33244_31150,,,143,537844,162,133,32523,3380,16146
34119,34167,Directed,34119_34167,,,2,4768,14,1,7,314,132
32709,30416,Directed,32709_30416,,,3,6507,24,21,0,324,199
32337,32457,Directed,32337_32457,,,670,83722521,805,494,58026472,104318,167374
31603,30627,Directed,31603_30627,,,1,30475,56,48,0,1103,122
34819,30994,Directed,34819_30994,,,1,51700,183,183,50,1323,252
30198,34761,Directed,30198_34761,,,1,42500,174,167,0,810,110
30397,31517,Directed,30397_31517,,,1,102190,278,207,13158,3372,502
31703,30630,Directed,31703_30630,,,1,2000,8,2,0,1627,310
32467,31481,Directed,32467_31481,,,1,3980,19,9,0,442,125
30325,30194,Directed,30325_30194,,,7655,263229607,971207,741647,4841843,104493,672555
32896,34842,Directed,32896_34842,,,1,15000,66,53,0,177,60
30189,30615,Directed,30189_30615,,,2,70000,240,168,0,489,157
32255,30325,Directed,32255_30325,,,1231,5539500,23389,8416,0,3564,92561
31423,30325,Directed,31423_30325,,,1787,43425774,165553,133798,30494,41300,162160
34945,35167,Directed,34945_35167,,,1,5300,7,2,0,1642,276
30436,30397,Directed,30436_30397,,,699,33053349,120580,107939,87251,36984,127934
31550,31517,Directed,31550_31517,,,4,36105,34,24,2410,2104,610
32855,35798,Directed,32855_35798,,,5,4850,15,6,189,96,74
34474,30184,Directed,34474_30184,,,1,2600,9,6,0,150,57
30216,30781,Directed,30216_30781,,,1,12000,50,31,0,515,90
31725,33211,Directed,31725_33211,,,368,2689164,12512,2343,0,360,6634
33214,30647,Directed,33214_30647,,,2,38994,108,84,2880,2482,291
31295,31905,Directed,31295_31905,,,1,12000,50,47,0,921,191
33184,31453,Directed,33184_31453,,,88,2483600,10420,4267,0,9120,12759
32719,30241,Directed,32719_30241,,,9,13530,46,28,901,424,231
32365,34100,Directed,32365_34100,,,951,8280300,35447,22451,1029,2580,38688
31057,31049,Directed,31057_31049,,,1,22500,86,83,0,950,142
30721,34761,Directed,30721_34761,,,2,61700,272,199,0,2217,311
33970,33806,Directed,33970_33806,,,383,1067761,3153,1223,78689,12168,21062
31703,31986,Directed,31703_31986,,,865,10972943,45674,30929,5999,28775,82933
34027,35502,Directed,34027_35502,,,5,174844,736,324,0,4105,601
30529,31637,Directed,30529_31637,,,1,38270,150,139,0,1237,212
30185,31905,Directed,30185_31905,,,2,24700,100,49,0,294,182
31952,35282,Directed,31952_35282,,,1,2800,9,2,0,163,65
31066,35249,Directed,31066_35249,,,1,16500,50,36,0,666,100
30590,31295,Directed,30590_31295,,,8,223000,1060,899,0,12222,1650
35124,33381,Directed,35124_33381,,,4,7505,31,11,1614,180,82
32214,34474,Directed,32214_34474,,,7,22340,60,12,1492,432,211
31454,34100,Directed,31454_34100,,,5879,238922567,884733,720198,749562,117957,708921
34057,30559,Directed,34057_30559,,,12982,205811551,665250,482581,7016284,14640,502457
30661,34744,Directed,30661_34744,,,3,3600,14,10,0,567,238
30325,34252,Directed,30325_34252,,,1041,15515870,57442,49006,0,20448,127218
30397,30980,Directed,30397_30980,,,3308,42303706,158231,119413,0,4558,78279
33873,34013,Directed,33873_34013,,,1,2400,9,3,0,550,105
34856,32868,Directed,34856_32868,,,1,1142,6,4,0,109,55
30977,35356,Directed,30977_35356,,,1,12000,50,26,0,692,96
32149,30599,Directed,32149_30599,,,2,63726,172,138,17020,680,99
34102,31844,Directed,34102_31844,,,2,6516,25,17,0,738,214
31517,31859,Directed,31517_31859,,,47,277493,1633,891,605,4128,3188
30559,33570,Directed,30559_33570,,,2384,91766003,355333,314641,356333,64105,333330
33244,33342,Directed,33244_33342,,,1560,70366655,51504,46173,37646513,39476,125710
32951,31982,Directed,32951_31982,,,1,12350,50,11,0,353,81
31057,34092,Directed,31057_34092,,,1707,20310690,84038,61002,25912,6699,67022
30647,33244,Directed,30647_33244,,,1420,60240029,48208,37915,30843209,28612,132460
33970,33111,Directed,33970_33111,,,69,171688,641,118,26644,5940,3751
31537,34761,Directed,31537_34761,,,113,3842000,16950,15614,0,11448,14532
30325,32131,Directed,30325_32131,,,1,19092,70,52,0,397,92
32704,34805,Directed,32704_34805,,,2,4800,18,18,0,336,96
31834,33127,Directed,31834_33127,,,1,24000,76,38,0,1364,203
30397,30540,Directed,30397_30540,,,5,168273,337,224,0,4690,613
30158,31295,Directed,30158_31295,,,178,5121700,25430,19898,0,7962,14325
31650,34520,Directed,31650_34520,,,1035,7789419,36116,22209,13,2850,45019
33873,32195,Directed,33873_32195,,,2,10000,38,36,0,208,93
33198,34100,Directed,33198_34100,,,950,20543886,64616,53573,2588,44629,132157
34131,30792,Directed,34131_30792,,,1,37400,150,122,0,285,39
30299,30852,Directed,30299_30852,,,1,24400,13,1,0,3356,0
31399,34081,Directed,31399_34081,,,54,189000,1026,566,0,654,3066
33034,32134,Directed,33034_32134,,,2499,16707230,75694,43370,16694,2263,60015
34524,34100,Directed,34524_34100,,,2559,61750106,125056,86836,4698338,16830,112852
30194,32575,Directed,30194_32575,,,13941,632150249,2049210,1745919,45671988,294953,2326622
31823,30693,Directed,31823_30693,,,1,12500,50,46,0,344,88
30070,30015,Directed,30070_30015,,,4,4253,12,9,0,216,215
32195,30113,Directed,32195_30113,,,1206,3412475,10650,3445,17867,17289,63311
33316,33195,Directed,33316_33195,,,27,768767,2673,1593,0,7140,4070
33830,33347,Directed,33830_33347,,,1984,7992393,27109,16526,0,1656,42605
34477,31979,Directed,34477_31979,,,1,3000,9,4,0,96,123
34100,30590,Directed,34100_30590,,,1,27000,130,90,0,2166,270
33347,33109,Directed,33347_33109,,,579,2026500,5211,884,0,108,2316
30504,36419,Directed,30504_36419,,,1,3450,8,5,0,674,186
31295,35048,Directed,31295_35048,,,3,36938,150,133,0,2004,395
34794,32131,Directed,34794_32131,,,1,7543,30,17,0,296,95
35626,33743,Directed,35626_33743,,,1476,2656800,11760,9673,4225,65,8856
31049,30194,Directed,31049_30194,,,1061,13182560,56082,32919,2657,5242,41251
32087,35250,Directed,32087_35250,,,1,1200,5,1,0,131,65
31577,30647,Directed,31577_30647,,,1186,13141042,43882,35540,0,1176,34124
