Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1123,40567769,155283,130552,435141,103940,139677
30,56,Directed,30_56,,,376,2285100,8359,1500,141200,8276,19411
21,17,Directed,21_17,,,14638,334231203,951710,632876,50474252,130160,798037
8,51,Directed,8_51,,,4364,211849628,732681,637450,3752034,193309,742986
24,28,Directed,24_28,,,666,24446800,89975,53644,179921,29908,87678
54,50,Directed,54_50,,,1,53897,0,0,11180,644,111
25,13,Directed,25_13,,,6082,221189844,881119,732913,3671380,102083,857352
47,24,Directed,47_24,,,3984,176056331,410574,315378,41781605,77283,348603
20,32,Directed,20_32,,,267,9075107,39697,35655,19940,22010,39025
45,21,Directed,45_21,,,4036,104718640,167709,116007,33882616,86811,277593
23,29,Directed,23_29,,,1,30000,0,0,18490,1112,245
51,2,Directed,51_2,,,1,106000,258,246,21177,3356,415
35,51,Directed,35_51,,,367,11513720,45123,36169,4985,47295,70061
26,8,Directed,26_8,,,3582,115819120,433964,371657,238424,164717,577092
39,48,Directed,39_48,,,12250,400676703,990737,796374,79603633,481247,1792154
2,48,Directed,2_48,,,1955,392536648,60271,54152,305026486,452157,212932
42,49,Directed,42_49,,,888,40297970,147627,130370,443845,75819,231614
45,47,Directed,45_47,,,3024,73341937,123276,83499,23953907,44967,245722
24,49,Directed,24_49,,,726,30686020,112907,98255,319200,65240,190706
13,44,Directed,13_44,,,1382,17353470,85334,76746,3803,30702,157622
33,47,Directed,33_47,,,561,62390487,0,0,34944706,29156,91629
24,27,Directed,24_27,,,1068,38253980,149671,133810,280820,50490,148518
23,18,Directed,23_18,,,4,104380,198,180,27655,3301,714
37,72,Directed,37_72,,,884,47505760,145547,125263,7988636,77719,162438
44,33,Directed,44_33,,,8,339400,331,214,40865,588,204
33,37,Directed,33_37,,,974,29148972,116315,90729,23363,50330,117901
26,6,Directed,26_6,,,3870,165611463,640902,589362,1884191,224153,1047983
13,78,Directed,13_78,,,551,25771262,90877,76915,265876,50271,106611
41,17,Directed,41_17,,,3050,120496343,449423,379803,1638454,133834,632144
40,12,Directed,40_12,,,26,1024485,3785,2269,586,17727,3446
44,18,Directed,44_18,,,57,3182125,449,303,1167263,6232,7129
37,33,Directed,37_33,,,963,28797228,115112,86001,42793,53143,96747
17,47,Directed,17_47,,,16580,434489513,1153576,800485,88780518,215570,1138187
36,26,Directed,36_26,,,17338,380741776,1524041,1217560,669864,261201,1321824
29,34,Directed,29_34,,,5134,60668380,247696,171163,21068,78857,665591
26,5,Directed,26_5,,,726,9418311,36247,27713,34732,26890,79011
2,41,Directed,2_41,,,575,22158867,84770,71012,640382,45210,110460
45,40,Directed,45_40,,,7,450605,460,264,88099,5741,1170
17,37,Directed,17_37,,,12919,339535841,1294515,1002718,1385264,238424,1122634
21,19,Directed,21_19,,,2351,64789246,91231,64738,18735890,55941,185165
27,38,Directed,27_38,,,8748,174505744,676175,426981,887007,100960,468408
19,42,Directed,19_42,,,167,16787747,940,549,10933897,23724,20665
23,17,Directed,23_17,,,1193,17628401,78478,66836,381636,28195,163327
23,27,Directed,23_27,,,126,1643900,6548,5303,13196,10456,20918
27,13,Directed,27_13,,,6257,178953456,721875,596886,583538,168192,768636
39,22,Directed,39_22,,,1042,37071767,24121,17690,13773354,99812,122635
29,9,Directed,29_9,,,813,9251232,36465,26743,110,27432,101375
39,33,Directed,39_33,,,1336,18283426,76352,58756,104056,16202,98956
36,34,Directed,36_34,,,9735,136568059,419117,306757,7499521,78030,433103
37,21,Directed,37_21,,,12634,251669031,693568,496780,39198795,171675,790121
5,6,Directed,5_6,,,401,8789597,25266,16298,2054937,28190,76444
29,40,Directed,29_40,,,5088,147337442,554834,354487,1055911,62459,297881
27,33,Directed,27_33,,,267,6048718,20312,16758,3141,13088,35540
39,13,Directed,39_13,,,16111,341854295,1332843,1065795,23174377,192993,1282663
26,1,Directed,26_1,,,1736,24245825,91965,69706,3227,25417,153411
46,29,Directed,46_29,,,7,266483,412,247,45008,3363,495
24,35,Directed,24_35,,,549,20201500,75204,66919,211180,31730,127782
18,27,Directed,18_27,,,2809,115990402,269232,203262,29452727,67328,227073
22,24,Directed,22_24,,,391,14342245,53467,38491,535582,28942,49559
39,25,Directed,39_25,,,3867,99445037,288508,202722,20925188,106886,335033
35,17,Directed,35_17,,,1971,59388848,221285,185488,202429,70017,277768
