Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
15370,14696,Directed,15370_14696,,,1,12900,50,50,0,640,100
13931,14960,Directed,13931_14960,,,1,38400,140,109,0,1270,231
10279,14107,Directed,10279_14107,,,2,102400,137,132,11300,1202,6950
12992,10135,Directed,12992_10135,,,1,12000,50,32,0,1004,183
14704,14098,Directed,14704_14098,,,3,25950,111,43,0,297,84
10241,12719,Directed,10241_12719,,,4,7299,31,25,0,159,74
12266,12951,Directed,12266_12951,,,3333,36697157,150684,107123,185391,7437,131932
15589,11869,Directed,15589_11869,,,894,6079200,26820,23623,0,3096,32929
13931,10821,Directed,13931_10821,,,1692,62367920,231231,154285,428644,4929,62936
10408,12889,Directed,10408_12889,,,38,1292000,5700,5330,0,7550,8154
13930,13342,Directed,13930_13342,,,4082,50259191,208319,149338,135247,5494,80700
12892,11921,Directed,12892_11921,,,13,264615,984,705,1260,4592,1542
11057,11986,Directed,11057_11986,,,2,25220,100,65,0,1166,281
14880,10304,Directed,14880_10304,,,135,177675,790,211,8496,2844,4964
12720,15838,Directed,12720_15838,,,1,1800,9,6,0,210,63
14107,10918,Directed,14107_10918,,,10,43600,190,77,90,300,784
10590,14831,Directed,10590_14831,,,9,323228,1386,1148,0,3951,651
11097,12094,Directed,11097_12094,,,1,9000,37,31,0,293,149
13342,14457,Directed,13342_14457,,,5,59118,250,210,0,1530,615
14683,13232,Directed,14683_13232,,,704,25924740,95521,65551,235618,34188,95116
10599,13342,Directed,10599_13342,,,1,13500,50,39,0,650,126
12264,13303,Directed,12264_13303,,,1103,34096044,128334,103500,200499,37761,148456
13930,12278,Directed,13930_12278,,,2850,40886898,166409,111309,48860,47040,258796
15856,11588,Directed,15856_11588,,,2,3800,13,5,0,6,140
10559,10385,Directed,10559_10385,,,1,3000,9,5,0,121,39
14108,13543,Directed,14108_13543,,,1,12000,50,47,0,204,45
13232,11721,Directed,13232_11721,,,1,39800,199,51,0,221,39
14712,13476,Directed,14712_13476,,,2,1080,16,3,0,1198,1208
13342,15304,Directed,13342_15304,,,639,18117880,81002,63257,23032,29025,89594
12197,10322,Directed,12197_10322,,,1,5300,7,4,0,248,54
12892,10721,Directed,12892_10721,,,2426,119470469,430699,345569,4172483,198436,718169
13196,13676,Directed,13196_13676,,,375,466400,1929,301,7299,1248,6630
14895,13873,Directed,14895_13873,,,258,595329,2164,928,10706,9576,10495
11003,13342,Directed,11003_13342,,,3,34558,150,111,0,624,178
12339,14683,Directed,12339_14683,,,234,3030120,11708,8784,0,8874,33179
13851,13791,Directed,13851_13791,,,2,70000,240,175,0,2278,330
13198,14307,Directed,13198_14307,,,1,79550,262,121,0,1234,146
12831,12807,Directed,12831_12807,,,2,2400,12,2,0,172,87
12815,16346,Directed,12815_16346,,,5,6000,30,6,0,31,69
14570,13076,Directed,14570_13076,,,1,39800,199,88,0,1498,180
14282,12853,Directed,14282_12853,,,208,390650,1048,404,41080,1976,5375
11643,14816,Directed,11643_14816,,,1,3561,19,19,0,395,106
11292,14674,Directed,11292_14674,,,2,9000,38,4,0,303,156
13891,10821,Directed,13891_10821,,,1,41983,157,50,10583,2283,260
10299,14057,Directed,10299_14057,,,573,22088307,84502,70767,636176,43176,110203
14057,15370,Directed,14057_15370,,,3,353659,140,138,150434,4596,768
14679,12889,Directed,14679_12889,,,5805,210491300,782882,526155,691076,21156,296097
15041,14747,Directed,15041_14747,,,270,4806000,20366,13466,7242,5214,23530
11445,10809,Directed,11445_10809,,,2,3600,18,3,1061,22,35
11630,12807,Directed,11630_12807,,,2,6014,30,21,0,514,228
11066,13198,Directed,11066_13198,,,220,3923032,16820,8730,200,6330,22465
13204,10434,Directed,13204_10434,,,23,844100,3151,2727,0,8496,3488
10620,11470,Directed,10620_11470,,,1,17800,74,32,0,566,123
13290,11283,Directed,13290_11283,,,144,648000,2736,264,0,1218,7883
12184,10087,Directed,12184_10087,,,5,6500,25,9,415,62,124
15245,12774,Directed,15245_12774,,,27,72000,243,58,1449,240,157
14098,13204,Directed,14098_13204,,,357,8925000,41769,30143,0,7944,34685
15016,10185,Directed,15016_10185,,,1,11486,50,35,0,526,123
13931,12320,Directed,13931_12320,,,1,43802,162,40,0,195,43
10170,10041,Directed,10170_10041,,,1,730,4,1,0,80,38
12719,10313,Directed,12719_10313,,,2,3003,12,3,500,154,74
10551,11028,Directed,10551_11028,,,2,2284,12,2,0,290,129
15721,14856,Directed,15721_14856,,,4,14141,27,3,657,264,92
13467,12184,Directed,13467_12184,,,1,1300,5,2,0,122,58
13127,13796,Directed,13127_13796,,,1,48210,184,175,0,654,93
14683,10693,Directed,14683_10693,,,676,24996100,91844,57650,87589,23838,71850
13487,14524,Directed,13487_14524,,,467,6008090,23755,18507,4566,17460,58315
12206,10747,Directed,12206_10747,,,2,24000,100,77,0,52,26
15581,11643,Directed,15581_11643,,,2,4646,18,15,0,310,117
12348,13296,Directed,12348_13296,,,3,36000,150,116,0,1326,285
11298,15070,Directed,11298_15070,,,1,37200,140,112,0,1392,218
13342,10279,Directed,13342_10279,,,1,11720,50,2,0,912,183
14492,14635,Directed,14492_14635,,,2,48900,187,150,0,1334,305
14027,15024,Directed,14027_15024,,,1,2310,8,1,0,1123,314
11995,10136,Directed,11995_10136,,,1,11500,50,27,0,1156,178
10647,11267,Directed,10647_11267,,,1,36674,95,80,0,174,42
15376,15370,Directed,15376_15370,,,5,354059,206,183,158204,4530,651
15346,12478,Directed,15346_12478,,,768,1536000,6244,2204,0,144,7196
12889,10874,Directed,12889_10874,,,42,1449000,5754,4045,0,7384,8761
13930,11278,Directed,13930_11278,,,7027,236644460,906007,683433,95686,58140,579999
10781,12448,Directed,10781_12448,,,2,25800,100,88,0,276,88
10561,11109,Directed,10561_11109,,,1,13500,50,23,0,825,135
10551,10245,Directed,10551_10245,,,9,268765,21,16,15138,1392,582
11292,12758,Directed,11292_12758,,,43,2556480,8880,7808,7181,43277,17801
11057,13422,Directed,11057_13422,,,1010,12401752,50646,30595,9794,7890,81798
11298,12207,Directed,11298_12207,,,6,26160,114,36,0,1605,465
11953,15919,Directed,11953_15919,,,3,71300,288,249,0,2496,360
10396,13767,Directed,10396_13767,,,1,3800,19,15,0,151,42
10620,11879,Directed,10620_11879,,,2,19111,38,2,0,201,200
11193,10434,Directed,11193_10434,,,621,6906183,28302,23122,5278,19461,44235
11292,13295,Directed,11292_13295,,,1,36674,68,35,0,895,138
10620,13433,Directed,10620_13433,,,2,70000,240,100,0,382,105
10874,11982,Directed,10874_11982,,,1,49300,188,153,0,1139,160
11512,11336,Directed,11512_11336,,,46,97461,306,83,2909,2080,2563
11697,13851,Directed,11697_13851,,,1,35940,156,156,0,1218,222
14689,14908,Directed,14689_14908,,,1,10520,44,9,0,124,40
11982,10423,Directed,11982_10423,,,2,50600,185,158,1,122,89
13264,11292,Directed,13264_11292,,,362,6308210,23556,20459,0,21208,44611
12184,15228,Directed,12184_15228,,,1,1300,5,4,0,191,113
15412,10216,Directed,15412_10216,,,2,26691,100,67,0,268,53
11550,15554,Directed,11550_15554,,,8,12569,54,37,400,376,322
11603,13264,Directed,11603_13264,,,207,3727183,15822,4418,3348,1586,6498
11259,12278,Directed,11259_12278,,,1,11720,50,50,0,333,61
15581,11007,Directed,15581_11007,,,41,90673,200,2,4039,1014,1144
14100,15167,Directed,14100_15167,,,1,5374,13,10,0,92,30
12195,11336,Directed,12195_11336,,,3,15000,57,56,0,942,213
10434,14122,Directed,10434_14122,,,2,38707,180,96,0,486,125
11292,14908,Directed,11292_14908,,,3303,130310539,477090,359506,46547,55836,397722
15839,14259,Directed,15839_14259,,,1,42500,173,120,0,1001,120
10185,15295,Directed,10185_15295,,,3,140000,500,49,0,1716,333
11540,10423,Directed,11540_10423,,,1400,57751141,181604,116264,2119479,30096,97899
14524,15323,Directed,14524_15323,,,5,153087,50,37,26789,1450,275
12709,10551,Directed,12709_10551,,,703,891715,4143,1644,18848,1072,8231
10241,11492,Directed,10241_11492,,,2,6800,6,6,226,110,47
