Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
30713,30397,Directed,30713_30397,,,40,1639300,6400,6083,3217,5514,8645
33304,30590,Directed,33304_30590,,,1,43600,162,157,0,1132,154
30140,33244,Directed,30140_33244,,,543,45461076,148,141,23550795,29202,63381
30781,31423,Directed,30781_31423,,,1,12000,50,48,0,771,108
30141,31471,Directed,30141_31471,,,1,7845,34,32,18,341,96
35228,30299,Directed,35228_30299,,,4,3600,20,7,300,80,201
31503,30325,Directed,31503_30325,,,1607,22512130,89840,52113,555,4320,61440
30559,30397,Directed,30559_30397,,,2569,146516714,506784,457177,6150749,87280,646694
33105,30194,Directed,33105_30194,,,3177,44836932,182454,132966,43018,77133,392579
34057,33964,Directed,34057_33964,,,1669,11310332,39881,28076,766073,6800,87499
31453,32390,Directed,31453_32390,,,1,31500,157,146,100,1095,144
31076,31295,Directed,31076_31295,,,1,7845,34,20,0,425,100
33942,31517,Directed,33942_31517,,,2,8600,38,37,0,802,186
32769,35478,Directed,32769_35478,,,28,35206,117,17,353,1456,1377
30397,31641,Directed,30397_31641,,,2147,21610000,108050,86878,87,5296,105950
33139,30990,Directed,33139_30990,,,2,21500,100,54,0,140,41
31453,33342,Directed,31453_33342,,,1636,19791894,82448,68363,38264,21690,215700
30559,32134,Directed,30559_32134,,,1641,111229700,369823,316970,8242543,120468,550025
30423,34492,Directed,30423_34492,,,229,8773400,31882,23250,2551,11620,33401
34601,33676,Directed,34601_33676,,,24,29600,124,28,775,660,200
31650,30849,Directed,31650_30849,,,876,29451093,117310,89300,209300,23598,112735
32467,34492,Directed,32467_34492,,,2306,78763687,263490,193730,2892365,63080,232084
32134,32174,Directed,32134_32174,,,244,854000,2187,389,10,1664,11718
33570,30852,Directed,33570_30852,,,2050,81065630,306839,265944,450037,144906,534736
33714,32653,Directed,33714_32653,,,1,800,5,2,0,46,26
33214,30255,Directed,33214_30255,,,4,342484,216,190,120927,2310,561
33195,31871,Directed,33195_31871,,,198,6740670,29674,27927,1016,7218,14177
33486,30620,Directed,33486_30620,,,15,103936,466,264,0,828,905
33121,34321,Directed,33121_34321,,,1,36199,68,45,0,662,90
30599,32448,Directed,30599_32448,,,3,83700,307,148,0,633,124
33214,34570,Directed,33214_34570,,,4,115000,540,516,0,5564,756
30977,35249,Directed,30977_35249,,,2,23310,100,94,0,1644,289
31057,31049,Directed,31057_31049,,,2,24500,100,84,0,1900,315
30325,35843,Directed,30325_35843,,,131,589500,2489,950,0,2310,11197
32467,30255,Directed,32467_30255,,,49,1560184,6592,4211,102899,5704,5230
35165,32575,Directed,35165_32575,,,258,25688500,173,122,19321888,56473,66430
32457,33198,Directed,32457_33198,,,1060,36450002,141048,96543,796926,88028,193407
32575,34877,Directed,32575_34877,,,1,5300,7,2,0,1202,162
31973,30728,Directed,31973_30728,,,1,12000,50,33,0,298,102
31517,31555,Directed,31517_31555,,,4,22740,109,62,985,1252,360
35249,32951,Directed,35249_32951,,,2,48110,50,45,2838,914,208
30590,31122,Directed,30590_31122,,,3,111019,462,414,0,2067,296
30385,34057,Directed,30385_34057,,,4,10900,36,11,0,146,125
31503,30540,Directed,31503_30540,,,1,2310,8,4,0,1857,398
30397,30852,Directed,30397_30852,,,20411,658923435,2672530,2032672,2093991,195314,1608366
30599,30928,Directed,30599_30928,,,2,61000,280,261,0,1326,192
33667,33244,Directed,33667_33244,,,606,23999216,11980,9611,10505195,17204,72160
31973,30868,Directed,31973_30868,,,3,66240,310,249,0,1578,258
34102,34125,Directed,34102_34125,,,110,256656,955,357,20989,3752,4808
30009,30036,Directed,30009_30036,,,143,171600,858,214,1535,247,1287
31511,35991,Directed,31511_35991,,,1,3400,19,17,0,640,132
30928,33198,Directed,30928_33198,,,11,257413,898,550,5679,1673,480
31714,30325,Directed,31714_30325,,,222,9596139,29668,27015,0,9642,52295
30535,35167,Directed,30535_35167,,,1,3300,8,6,0,54,30
31714,34027,Directed,31714_34027,,,242,16084614,663,623,2322570,1751,5481
32575,30781,Directed,32575_30781,,,1,40170,160,55,0,1609,221
30590,30693,Directed,30590_30693,,,2,68000,300,244,0,3130,372
34524,31267,Directed,34524_31267,,,3,35486,150,111,0,1224,264
32519,30141,Directed,32519_30141,,,108,847260,3672,421,10,618,2816
31650,32129,Directed,31650_32129,,,706,5538570,24004,13656,7042,2088,30111
32755,32748,Directed,32755_32748,,,3,9000,27,25,0,89,90
32457,30423,Directed,32457_30423,,,1797,62484252,233133,170610,187421,112174,327680
34570,30994,Directed,34570_30994,,,1,34000,150,141,0,2248,258
30713,31563,Directed,30713_31563,,,2,75600,378,352,0,452,70
30590,35096,Directed,30590_35096,,,2,68000,300,250,0,2118,498
34828,34270,Directed,34828_34270,,,85,82800,330,164,0,1178,3316
34614,34457,Directed,34614_34457,,,747,9371500,37382,27622,1159,6096,52460
31135,32320,Directed,31135_32320,,,1,5300,7,7,0,453,72
31986,32337,Directed,31986_32337,,,207,16391619,150,131,10186390,3536,9264
30325,31267,Directed,30325_31267,,,964,30439575,108218,89311,61336,40145,126521
32280,34674,Directed,32280_34674,,,1,12000,50,42,0,631,86
32982,32457,Directed,32982_32457,,,526,29453960,104055,87484,199,63672,151816
31577,30198,Directed,31577_30198,,,7,162153,446,296,0,436,351
