Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
30713,30397,Directed,30713_30397,,,40,1639300,6400,6083,3217,5514,8645
34877,34512,Directed,34877_34512,,,1,21226,0,0,4868,508,71
30140,33244,Directed,30140_33244,,,543,45461076,148,141,23550795,29202,63381
30141,31471,Directed,30141_31471,,,1,7845,34,32,18,341,96
32575,34162,Directed,32575_34162,,,3,10500,0,0,3570,59,167
35228,30299,Directed,35228_30299,,,4,3600,20,7,300,80,201
31503,30325,Directed,31503_30325,,,1607,22512130,89840,52113,555,4320,61440
30559,30397,Directed,30559_30397,,,2569,146516714,506784,457177,6150749,87280,646694
33105,30194,Directed,33105_30194,,,3177,44836932,182454,132966,43018,77133,392579
34057,33964,Directed,34057_33964,,,1669,11310332,39881,28076,766073,6800,87499
31453,32390,Directed,31453_32390,,,1,31500,157,146,100,1095,144
32769,35478,Directed,32769_35478,,,28,35206,117,17,353,1456,1377
30397,31641,Directed,30397_31641,,,2147,21610000,108050,86878,87,5296,105950
34027,34574,Directed,34027_34574,,,3,162000,0,0,15033,733,310
31453,33342,Directed,31453_33342,,,1636,19791894,82448,68363,38264,21690,215700
30559,32134,Directed,30559_32134,,,1641,111229700,369823,316970,8242543,120468,550025
30423,34492,Directed,30423_34492,,,229,8773400,31882,23250,2551,11620,33401
34601,33676,Directed,34601_33676,,,24,29600,124,28,775,660,200
31587,34520,Directed,31587_34520,,,1,3500,0,0,719,115,50
31650,30849,Directed,31650_30849,,,876,29451093,117310,89300,209300,23598,112735
32195,32831,Directed,32195_32831,,,6,33600,0,0,31649,258,264
30247,30299,Directed,30247_30299,,,1,47000,0,0,12120,485,84
32467,34492,Directed,32467_34492,,,2306,78763687,263490,193730,2892365,63080,232084
32134,32174,Directed,32134_32174,,,244,854000,2187,389,10,1664,11718
33570,30852,Directed,33570_30852,,,2050,81065630,306839,265944,450037,144906,534736
33214,30255,Directed,33214_30255,,,4,342484,216,190,120927,2310,561
33195,31871,Directed,33195_31871,,,198,6740670,29674,27927,1016,7218,14177
32467,30255,Directed,32467_30255,,,49,1560184,6592,4211,102899,5704,5230
35165,32575,Directed,35165_32575,,,258,25688500,173,122,19321888,56473,66430
32457,33198,Directed,32457_33198,,,1060,36450002,141048,96543,796926,88028,193407
31517,31555,Directed,31517_31555,,,4,22740,109,62,985,1252,360
35249,32951,Directed,35249_32951,,,2,48110,50,45,2838,914,208
30397,30852,Directed,30397_30852,,,20411,658923435,2672530,2032672,2093991,195314,1608366
32448,32951,Directed,32448_32951,,,305,12972723,0,0,1490392,5152,9905
33667,33244,Directed,33667_33244,,,606,23999216,11980,9611,10505195,17204,72160
34102,34125,Directed,34102_34125,,,110,256656,955,357,20989,3752,4808
30009,30036,Directed,30009_30036,,,143,171600,858,214,1535,247,1287
30928,33198,Directed,30928_33198,,,11,257413,898,550,5679,1673,480
31714,34027,Directed,31714_34027,,,242,16084614,663,623,2322570,1751,5481
32519,30141,Directed,32519_30141,,,108,847260,3672,421,10,618,2816
31650,32129,Directed,31650_32129,,,706,5538570,24004,13656,7042,2088,30111
30397,34512,Directed,30397_34512,,,200,18017801,0,0,7013669,17361,18080
32457,30423,Directed,32457_30423,,,1797,62484252,233133,170610,187421,112174,327680
34614,34457,Directed,34614_34457,,,747,9371500,37382,27622,1159,6096,52460
31986,32337,Directed,31986_32337,,,207,16391619,150,131,10186390,3536,9264
30325,31267,Directed,30325_31267,,,964,30439575,108218,89311,61336,40145,126521
32982,32457,Directed,32982_32457,,,526,29453960,104055,87484,199,63672,151816
30559,31895,Directed,30559_31895,,,728,13098830,55306,39067,277737,9215,58103
34685,35412,Directed,34685_35412,,,1,35684,0,0,12120,300,45
30466,31454,Directed,30466_31454,,,1040,40234500,154991,137737,316213,64680,227321
32337,34653,Directed,32337_34653,,,3,78439,290,256,5210,1734,288
31884,30721,Directed,31884_30721,,,1,42380,160,145,345,2274,232
30189,32474,Directed,30189_32474,,,134,4249592,0,0,474135,8762,11268
34254,31454,Directed,34254_31454,,,344,12540800,50150,42797,155,16520,53793
30559,34614,Directed,30559_34614,,,3776,129381139,485193,379974,1177852,83384,345260
30049,31401,Directed,30049_31401,,,27,32400,162,5,171,140,444
30299,35478,Directed,30299_35478,,,731,9686984,11355,5126,1496378,33712,66432
34614,31066,Directed,34614_31066,,,292,5895900,22182,18442,13,22935,52737
33244,31778,Directed,33244_31778,,,1038,10443135,42572,22566,8596,5976,58827
34474,32214,Directed,34474_32214,,,6,17616,53,6,3150,360,186
31295,34057,Directed,31295_34057,,,247,10652660,40890,37070,30707,23436,65274
31123,31057,Directed,31123_31057,,,2823,49621596,201346,156029,27628,51175,241908
34252,31470,Directed,34252_31470,,,4,42500,150,75,2060,376,115
30113,35257,Directed,30113_35257,,,699,958362,4071,1666,77668,3060,13518
35991,30299,Directed,35991_30299,,,84,486756,839,278,54683,5952,9080
33244,30424,Directed,33244_30424,,,204,2660000,0,0,1316690,8064,31012
31007,31517,Directed,31007_31517,,,87,187471,624,130,6949,6228,4931
32784,34273,Directed,32784_34273,,,28,89403,226,102,3516,1050,837
33316,30928,Directed,33316_30928,,,5,116840,480,378,319,1325,238
33049,32575,Directed,33049_32575,,,1,296384,0,0,3960,135,0
31703,33198,Directed,31703_33198,,,3114,56668240,211324,149584,46391,51772,508463
35887,33579,Directed,35887_33579,,,32,94246,261,90,6614,1139,802
30194,34524,Directed,30194_34524,,,1030,38771704,143404,104387,34718,18528,145213
31481,30397,Directed,31481_30397,,,2500,29692800,148430,109095,981,9139,138327
31648,33486,Directed,31648_33486,,,6,86800,278,245,900,485,149
30852,35412,Directed,30852_35412,,,1941,22978448,97567,55470,3022,16788,132800
34986,32467,Directed,34986_32467,,,451,6745360,29356,14505,14,2314,20705
32119,30257,Directed,32119_30257,,,1,5532,0,0,300,293,50
30685,31295,Directed,30685_31295,,,896,7029120,30464,19817,4645,3768,66959
33244,33377,Directed,33244_33377,,,1245,9050100,36720,16044,265654,4642,73762
34685,32467,Directed,34685_32467,,,360,5350830,23310,12853,200,5280,37674
30020,33873,Directed,30020_33873,,,9,39350,28,13,5172,1491,613
33198,30397,Directed,33198_30397,,,4119,120298996,521762,434387,882014,52592,395230
35709,33873,Directed,35709_33873,,,393,884079,3154,1111,10354,9374,14854
31295,31067,Directed,31295_31067,,,711,5669435,24527,15146,8696,4752,54748
32575,33195,Directed,32575_33195,,,519,21049870,81907,69216,441651,40885,129205
35887,33710,Directed,35887_33710,,,136,237108,874,218,8118,1320,1890
30721,31267,Directed,30721_31267,,,51,2813563,100,88,595189,9548,5203
30693,30852,Directed,30693_30852,,,6242,135593022,512778,367714,1043838,70068,497976
34614,34524,Directed,34614_34524,,,4,196950,712,521,390,7452,1014
30322,30888,Directed,30322_30888,,,1,3500,0,0,2350,53,24
31066,30599,Directed,31066_30599,,,3,97552,140,107,32029,973,442
31464,33873,Directed,31464_33873,,,1,5600,0,0,600,222,76
30397,33367,Directed,30397_33367,,,2552,43295500,205203,158090,42,20889,234005
34819,30994,Directed,34819_30994,,,1,264000,0,0,187000,1323,0
30397,31517,Directed,30397_31517,,,1,237600,0,0,99612,3372,0
30299,35389,Directed,30299_35389,,,1,52060,183,158,1416,1954,313
32365,32070,Directed,32365_32070,,,241,843500,0,0,473606,876,7314
34696,33244,Directed,34696_33244,,,252,14344825,0,0,6404400,6000,20366
31454,34992,Directed,31454_34992,,,1,81300,267,241,9281,1283,202
30325,30194,Directed,30325_30194,,,8247,302118051,1098838,860777,1580385,95544,721996
31884,33044,Directed,31884_33044,,,39,3900250,0,0,1105307,24150,7700
30436,30397,Directed,30436_30397,,,663,32746851,117308,104220,172699,36984,122100
34037,33715,Directed,34037_33715,,,1,1093,5,0,308,125,16
31550,31517,Directed,31550_31517,,,1,27000,0,0,3,526,117
32855,35798,Directed,32855_35798,,,11,22050,48,21,2311,216,131
31725,33211,Directed,31725_33211,,,876,6872220,29784,5889,2456,720,16194
33214,30647,Directed,33214_30647,,,231,2853000,11518,9924,1400,13651,37516
32615,32676,Directed,32615_32676,,,2,4200,15,5,435,214,91
31423,32070,Directed,31423_32070,,,4,233413,170,23,118473,2664,509
30408,33105,Directed,30408_33105,,,794,9628949,38514,27208,2025,14385,59011
32365,34100,Directed,32365_34100,,,1378,12013550,51473,23624,403,2580,55139
34819,31135,Directed,34819_31135,,,2,79000,300,293,254,2638,432
33970,33806,Directed,33970_33806,,,202,504629,1715,560,25908,11076,10380
36133,30476,Directed,36133_30476,,,2,11320,0,0,622,1894,270
30977,32441,Directed,30977_32441,,,449,18382913,69718,52718,271,27888,73143
30198,30136,Directed,30198_30136,,,2,36800,140,104,2,1214,373
35124,33381,Directed,35124_33381,,,10,18195,83,14,263,315,221
