Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
51,34,Directed,51_34,,,8015,112552429,442566,305805,7583459,71056,408687
40,21,Directed,40_21,,,286,28840794,268,192,12574396,25272,22594
32,41,Directed,32_41,,,3989,140894577,576011,478071,557079,101848,421635
30,55,Directed,30_55,,,3,45550,182,179,0,3397,512
1,27,Directed,1_27,,,306,5943444,22302,17632,0,19642,38082
18,45,Directed,18_45,,,438,26776566,4403,3888,14944385,15904,27240
4,37,Directed,4_37,,,3377,164408885,599825,530223,2273495,122620,702531
23,6,Directed,23_6,,,7,151328,504,365,0,19020,1766
25,12,Directed,25_12,,,13962,526211878,2072561,1746714,2076672,309931,2393960
47,25,Directed,47_25,,,1685,139327675,108504,85397,63987509,112367,223023
45,26,Directed,45_26,,,2851,42596671,179623,149478,247136,73449,262672
28,1,Directed,28_1,,,21,393062,1316,1060,4062,3522,944
39,47,Directed,39_47,,,4050,203822859,274980,214646,80100607,81865,305112
42,47,Directed,42_47,,,6237,317060264,301493,226059,128952422,216233,679930
42,48,Directed,42_48,,,11137,373100948,1401066,1160302,747810,503330,2013583
24,48,Directed,24_48,,,6133,223087901,886164,743698,1305560,290725,1119285
24,26,Directed,24_26,,,4575,156796671,650888,457620,643989,68974,326634
18,42,Directed,18_42,,,3046,144961256,143241,114044,53385145,91716,244070
42,37,Directed,42_37,,,16910,492467601,1697527,1341484,2372728,226942,1163765
21,34,Directed,21_34,,,4908,239764427,174181,108105,112422822,79478,440093
41,16,Directed,41_16,,,2202,42108035,178723,137204,228447,13648,127424
40,13,Directed,40_13,,,3547,87885220,372607,287289,103847,94983,328636
18,17,Directed,18_17,,,12314,230351372,635798,497590,29611903,58780,474039
49,5,Directed,49_5,,,4,119038,452,239,0,2008,499
37,34,Directed,37_34,,,8873,215762136,862595,712337,442340,109099,678011
20,47,Directed,20_47,,,414,25798930,343,318,10694486,9264,26775
17,46,Directed,17_46,,,2978,32289315,147831,118258,782,44366,238916
36,27,Directed,36_27,,,6755,184399302,710491,560880,582819,270830,973288
37,29,Directed,37_29,,,4321,130904841,480348,384660,335929,107668,464350
21,53,Directed,21_53,,,1188,115983152,35640,29887,65132226,152762,305561
34,56,Directed,34_56,,,22,616299,2623,2224,611,12792,5798
19,55,Directed,19_55,,,181,11199431,290,200,4068823,2964,5283
54,51,Directed,54_51,,,3944,32951413,145306,75742,32563,20017,201928
5,1,Directed,5_1,,,7,180700,697,629,678,2682,496
21,18,Directed,21_18,,,233,16237851,1463,938,7327364,6546,8410
42,53,Directed,42_53,,,1238,53195843,199951,168235,219672,123027,399484
19,45,Directed,19_45,,,2,25000,100,82,0,1410,308
49,40,Directed,49_40,,,1199,21165862,80063,63238,2,56382,135137
40,22,Directed,40_22,,,14,437930,1581,1265,0,6207,1001
46,47,Directed,46_47,,,561,35243783,50,18,17931202,8983,51736
21,33,Directed,21_33,,,491,57927187,7,3,37180479,22943,48748
56,30,Directed,56_30,,,4,209902,7,5,38451,1545,171
23,24,Directed,23_24,,,998,31527155,135123,108596,0,15344,74979
27,12,Directed,27_12,,,6853,284180792,1100555,919949,663893,488364,1153027
39,30,Directed,39_30,,,1,47010,182,158,0,1509,209
41,56,Directed,41_56,,,4,80343,340,317,62,3332,499
29,32,Directed,29_32,,,2819,98332139,411658,356276,1099851,107810,493947
19,29,Directed,19_29,,,663,1485751,5983,3396,62616,3238,36457
50,39,Directed,50_39,,,411,4145026,20550,15548,0,7824,32119
9,17,Directed,9_17,,,4294,108688378,371975,305339,4428941,143241,540979
29,41,Directed,29_41,,,362,12805069,50749,46658,405818,40466,74528
27,32,Directed,27_32,,,3417,150913652,582143,496980,437068,168748,581611
35,41,Directed,35_41,,,303,10471000,43313,36157,61640,19998,46573
48,9,Directed,48_9,,,1053,42172306,157615,124529,71196,32936,186177
21,26,Directed,21_26,,,7097,170617276,354278,263655,47166905,92794,370205
39,4,Directed,39_4,,,1461,53624043,201653,179750,412965,163572,339402
24,36,Directed,24_36,,,8054,245072731,1004586,759460,2222810,53029,378897
32,1,Directed,32_1,,,365,12577979,52052,43301,80647,27506,68998
22,27,Directed,22_27,,,693,16253279,63706,45333,7129,76611,98202
39,24,Directed,39_24,,,4926,133326238,571086,398967,465872,43390,286148
39,39,Directed,39_39,,,4480,76002805,194581,130013,10568595,31671,149697
36,32,Directed,36_32,,,5033,204289537,802108,681217,609268,270643,1504220
37,27,Directed,37_27,,,4254,123997028,458519,383304,143653,209642,597042
16,4,Directed,16_4,,,1348,47759090,179459,143036,64062,51040,134089
29,39,Directed,29_39,,,2840,47276623,205758,158125,353659,50998,226683
10,48,Directed,10_48,,,41,1605300,6727,5587,0,5213,7241
26,51,Directed,26_51,,,10976,207323731,794510,565687,23274,178315,750209
29,46,Directed,29_46,,,3,72347,288,240,0,1485,254
27,35,Directed,27_35,,,429,16340011,64879,52706,30471,32373,57358
25,31,Directed,25_31,,,5,132070,595,325,0,6677,966
18,21,Directed,18_21,,,238,17735939,1492,862,6561541,7398,9978
26,72,Directed,26_72,,,15,713453,2670,2540,8658,13510,3725
31,22,Directed,31_22,,,2,27940,116,111,0,1264,267
36,39,Directed,36_39,,,16158,218882227,882715,554578,1495289,188301,1144854
32,25,Directed,32_25,,,806,30307000,121205,105121,17418,30953,218777
53,15,Directed,53_15,,,4203,220947289,778025,695410,7987925,387539,1429100
26,34,Directed,26_34,,,4720,82271863,337133,258619,680611,103516,355522
47,1,Directed,47_1,,,1356,64001357,3831,2662,34836517,18871,63342
16,30,Directed,16_30,,,8,158829,282,232,38536,2146,411
9,24,Directed,9_24,,,2596,89384605,372587,278464,799983,11855,138274
6,16,Directed,6_16,,,4113,77341207,307964,237692,260578,99237,335109
17,2,Directed,17_2,,,2662,497143446,107212,88444,291227087,420352,346318
44,55,Directed,44_55,,,2,55900,225,202,1643,1692,274
37,5,Directed,37_5,,,2106,36046752,139031,107288,69670,48129,222851
48,19,Directed,48_19,,,4300,67967858,270410,217705,76239,88184,409726
55,55,Directed,55_55,,,1964,56201764,2353,1454,18330769,20913,100135
48,50,Directed,48_50,,,1,19092,70,70,0,1570,237
53,35,Directed,53_35,,,550,18653374,77624,64197,295516,33640,80441
36,54,Directed,36_54,,,135,1157910,4994,3597,675,4348,10113
1,17,Directed,1_17,,,2836,46297423,204081,147289,99944,49770,267359
27,26,Directed,27_26,,,9495,242503453,940633,697429,411827,184719,613776
34,29,Directed,34_29,,,3746,54657719,251400,193829,208260,68234,540225
18,5,Directed,18_5,,,5,212159,50,31,111294,2808,490
51,51,Directed,51_51,,,16655,266759144,766033,522419,12253697,76490,534346
28,48,Directed,28_48,,,7987,107119417,468618,361891,211291,114676,548527
19,32,Directed,19_32,,,445,15141400,71673,65707,1808,37716,76912
17,26,Directed,17_26,,,27258,436610862,1684929,1237000,8142896,164926,1166334
23,47,Directed,23_47,,,249,15500579,159,110,7615473,20092,42457
42,34,Directed,42_34,,,6804,88840278,338212,240404,875893,50406,300617
9,23,Directed,9_23,,,7,42174,143,114,0,1519,399
51,78,Directed,51_78,,,96,2543716,11328,10251,0,16060,19543
48,12,Directed,48_12,,,43892,1479000570,5689808,4720117,20270786,1152496,4978133
26,41,Directed,26_41,,,299,12155465,46544,41565,24217,44905,77669
30,41,Directed,30_41,,,454,8171252,34848,29415,8379,13004,45601
39,49,Directed,39_49,,,2,75970,303,205,1103,3056,429
55,40,Directed,55_40,,,6,115067,326,243,5,4446,825
12,6,Directed,12_6,,,11744,620953774,1943685,1688398,51876366,1115094,3583787
34,32,Directed,34_32,,,1999,78476300,321079,284702,211638,167040,597521
26,31,Directed,26_31,,,1240,21420351,83930,66406,25247,49358,122054
51,56,Directed,51_56,,,3,122480,488,462,0,4380,733
8,49,Directed,8_49,,,11466,267044212,972173,822841,7990549,129938,740986
17,21,Directed,17_21,,,15505,352602710,846707,578760,95762227,112937,728091
27,9,Directed,27_9,,,1327,34950102,139617,110077,20878,97650,170945
35,1,Directed,35_1,,,2,104320,360,350,22,2252,412
23,48,Directed,23_48,,,6,747768,15,5,464489,8985,0
22,44,Directed,22_44,,,1,104916,242,157,16235,1326,158
28,17,Directed,28_17,,,726,16800630,71962,51922,39725,41852,72495
8,24,Directed,8_24,,,2001,72518324,295812,250334,802886,137184,349999
55,33,Directed,55_33,,,1,43917,168,81,0,905,116
1,8,Directed,1_8,,,790,7930000,39618,33082,0,30821,126130
28,6,Directed,28_6,,,2,4000,16,9,0,3548,485
26,48,Directed,26_48,,,11297,277920430,1014164,813927,11148123,609346,1702075
54,40,Directed,54_40,,,6,211424,760,561,4067,5619,859
2,2,Directed,2_2,,,444036,2374514364,6389463,3188072,222709396,5833110,15839203
54,54,Directed,54_54,,,1165,7399385,38940,10510,0,800,14570
6,53,Directed,6_53,,,38009,1450890520,4973998,4205415,90078384,906874,4381202
41,37,Directed,41_37,,,228,9860434,37138,34562,253441,29666,60287
17,33,Directed,17_33,,,1673,47762396,196547,171712,84379,47063,171886
18,34,Directed,18_34,,,2698,122296978,126971,89551,52460645,54639,249360
46,19,Directed,46_19,,,14,857418,235,180,202831,2100,525
54,21,Directed,54_21,,,5,216120,458,346,30134,1118,222
47,9,Directed,47_9,,,569,62677887,479,321,39858384,29522,72799
55,34,Directed,55_34,,,1439,14770055,72583,55061,0,30813,151663
30,36,Directed,30_36,,,8,223101,604,319,0,9470,1774
4,53,Directed,4_53,,,6937,264407189,1031241,872478,1439245,321897,1063554
27,45,Directed,27_45,,,4,151080,533,498,2447,4100,712
55,47,Directed,55_47,,,1220,86627867,23504,16629,43123317,55517,105452
48,16,Directed,48_16,,,8,227778,913,754,273,10546,1624
29,51,Directed,29_51,,,5343,120039852,454977,345065,18104,155160,568185
54,18,Directed,54_18,,,55,3397198,222,101,638232,3382,2320
17,38,Directed,17_38,,,2227,24845819,111800,80832,3035,33879,197756
13,24,Directed,13_24,,,6958,242852993,1018910,781684,815815,82414,559382
26,29,Directed,26_29,,,4067,108388993,432912,327052,667896,173150,325867
29,16,Directed,29_16,,,2,30740,130,108,0,2253,414
21,24,Directed,21_24,,,2684,113229151,221966,157560,32823415,55263,184727
2,6,Directed,2_6,,,2969,546021621,120622,98282,376169567,525176,493986
24,13,Directed,24_13,,,6949,240475836,1013684,781357,596792,78848,615645
25,9,Directed,25_9,,,61,563837,1445,807,11737,7070,2962
55,26,Directed,55_26,,,9990,173299375,673501,507290,1464844,126648,536786
72,42,Directed,72_42,,,1188,71729500,221532,187951,910342,104016,252565
13,2,Directed,13_2,,,489,113061118,13619,12411,64301846,160599,31873
17,55,Directed,17_55,,,17271,209372134,849958,625482,916563,50446,518581
16,9,Directed,16_9,,,1,39659,162,77,0,2196,254
44,42,Directed,44_42,,,2536,57928010,176576,138710,98221,18598,147559
9,8,Directed,9_8,,,361,13194600,54045,47684,154655,31749,86292
2,8,Directed,2_8,,,768,26272061,115408,95120,371200,103802,220261
6,41,Directed,6_41,,,33427,888160661,3280772,2662418,37390127,590797,3098052
1,34,Directed,1_34,,,1,28603,99,98,0,789,98
72,17,Directed,72_17,,,541,21557472,82283,75231,70026,62167,150110
5,34,Directed,5_34,,,292,2961500,14738,8118,0,14703,42337
30,8,Directed,30_8,,,6841,146922156,457502,395114,11451998,139944,554617
26,20,Directed,26_20,,,10,159402,543,473,6616,6202,1439
19,20,Directed,19_20,,,6,207150,895,747,0,1516,304
36,13,Directed,36_13,,,21073,670010731,2663374,2213216,10128455,377671,2368026
22,30,Directed,22_30,,,1,34000,166,125,0,1303,174
28,23,Directed,28_23,,,1,28603,99,97,0,1236,182
25,49,Directed,25_49,,,610,24971864,97034,87199,327132,65255,177032
46,4,Directed,46_4,,,330,12200500,54174,49878,0,51695,45065
45,31,Directed,45_31,,,1,3491,9,6,0,941,0
72,27,Directed,72_27,,,64,2861113,10428,8534,0,31252,20966
12,78,Directed,12_78,,,1822,81245404,307932,265021,288254,56416,245373
32,17,Directed,32_17,,,8092,297655093,1225229,1088715,1573687,314728,1488254
33,12,Directed,33_12,,,1478,52905459,218113,194087,16066,80788,258987
15,48,Directed,15_48,,,1437,121129146,325407,293469,12538022,167522,594827
51,29,Directed,51_29,,,5669,125021875,474082,357467,123826,160457,690323
53,42,Directed,53_42,,,1244,53483246,200683,177251,725385,125374,345171
34,48,Directed,34_48,,,10324,411940526,1435288,1090614,16869180,583501,2069379
51,19,Directed,51_19,,,615,12066703,43756,32969,0,27147,84997
16,53,Directed,16_53,,,4913,91683698,380904,279600,985361,24230,307843
9,55,Directed,9_55,,,9,201032,815,661,0,6532,1443
25,29,Directed,25_29,,,1272,43730884,180713,136182,826192,58835,213649
32,33,Directed,32_33,,,70,2422000,10010,9689,4566,7068,19130
37,8,Directed,37_8,,,2489,112666965,422856,378364,351147,92469,479462
22,39,Directed,22_39,,,302,4147949,18567,13282,0,42114,37277
33,23,Directed,33_23,,,18,1017496,734,314,182464,970,452
72,28,Directed,72_28,,,2,77688,272,83,0,1666,447
44,27,Directed,44_27,,,249,4792075,18304,13532,1503,29003,40384
49,47,Directed,49_47,,,1927,140203874,126988,104240,66205896,144037,298168
49,29,Directed,49_29,,,1984,46165931,175776,148068,32291,105192,256587
48,38,Directed,48_38,,,318,4219415,16520,12899,6625,26603,42312
51,20,Directed,51_20,,,3,46500,195,163,0,3245,510
2,27,Directed,2_27,,,1105,56488334,199304,157627,2971703,100433,308636
41,38,Directed,41_38,,,1,34323,126,103,0,1212,154
34,41,Directed,34_41,,,565,19440438,81137,69795,161302,133870,186167
46,8,Directed,46_8,,,4742,71131643,297637,223495,6913,63170,339578
47,40,Directed,47_40,,,1256,90393783,25362,17521,54197301,40225,79570
51,16,Directed,51_16,,,3,367560,371,312,104467,6244,644
4,20,Directed,4_20,,,174,7004611,25707,23420,121479,49575,19437
34,33,Directed,34_33,,,1084,12480375,52221,42655,355563,10631,45437
13,37,Directed,13_37,,,31054,791053441,3116389,2491496,1659425,172992,1466273
41,21,Directed,41_21,,,509,64159117,173,170,33663423,60475,111470
23,32,Directed,23_32,,,4,132621,450,370,0,9850,605
55,12,Directed,55_12,,,3298,97622951,428419,343793,105146,184416,479410
49,48,Directed,49_48,,,7413,195702118,743249,633567,421298,361296,1008846
48,44,Directed,48_44,,,4,198247,476,334,13484,6442,886
38,46,Directed,38_46,,,73,4008778,1040,881,1023722,7038,3429
5,54,Directed,5_54,,,3,30062,80,32,0,2240,330
49,17,Directed,49_17,,,4243,91439395,356404,311257,401627,126248,658703
51,27,Directed,51_27,,,5318,138791821,541214,402976,137861,228887,741389
36,41,Directed,36_41,,,782,30965330,121783,107006,72459,68712,258877
16,1,Directed,16_1,,,2,149089,157,146,72047,3616,468
15,13,Directed,15_13,,,364,35442228,108013,100095,6199165,67530,175530
41,40,Directed,41_40,,,4,119934,474,279,0,6032,783
4,29,Directed,4_29,,,4568,160680329,608166,511849,1138217,194599,636720
56,56,Directed,56_56,,,3073,14781828,41995,15293,1654235,26475,170651
50,6,Directed,50_6,,,1,37400,150,77,0,2500,328
17,19,Directed,17_19,,,12016,160902569,660143,506216,108854,78874,563513
41,26,Directed,41_26,,,298,12163308,46595,43459,19389,41013,66789
6,4,Directed,6_4,,,62522,1853751893,6975444,5281547,51936323,645199,4215602
15,38,Directed,15_38,,,1,3000,14,2,0,3757,411
20,4,Directed,20_4,,,163,6756638,25242,23046,28650,41673,20408
6,22,Directed,6_22,,,1793,61643082,248435,204779,455287,299981,356157
13,15,Directed,13_15,,,366,35784245,108315,99467,3843261,72032,203328
49,27,Directed,49_27,,,2006,82844286,309998,268703,270047,87384,247651
10,12,Directed,10_12,,,127,5070193,21286,19263,0,13958,16024
19,6,Directed,19_6,,,332,31266863,3825,3234,16261705,104708,64347
34,8,Directed,34_8,,,2980,115511296,451299,390836,775974,199876,674436
8,35,Directed,8_35,,,6276,95553793,395864,297744,1222054,60412,371405
9,39,Directed,9_39,,,1090,12563551,54684,45572,56528,17108,94316
36,46,Directed,36_46,,,1,40770,160,139,0,1194,160
41,2,Directed,41_2,,,1075,49752368,157314,123317,2532156,116728,219872
34,25,Directed,34_25,,,6695,207727263,707801,543818,16655132,67162,289956
28,54,Directed,28_54,,,2,66003,249,196,0,1160,257
24,4,Directed,24_4,,,1718,63279400,245007,223502,653281,113897,471125
55,37,Directed,55_37,,,1627,37079419,87113,76095,863,23674,159261
25,40,Directed,25_40,,,10,409074,1452,1245,4244,14704,2335
17,12,Directed,17_12,,,26174,950064051,3693079,3152289,11996738,1012549,3624467
10,23,Directed,10_23,,,1,37400,150,127,0,496,71
12,20,Directed,12_20,,,6,192701,702,605,187,7265,1010
46,34,Directed,46_34,,,1,10000,50,22,0,1173,170
38,39,Directed,38_39,,,1,38879,150,127,0,891,109
37,10,Directed,37_10,,,9,382500,1551,665,0,1161,570
29,20,Directed,29_20,,,1153,27847801,10219,3233,6212136,13124,54820
48,24,Directed,48_24,,,6130,223862965,889182,728823,1983693,265770,954617
38,4,Directed,38_4,,,618,23908662,99916,91681,0,137504,98112
42,21,Directed,42_21,,,6747,287223837,286172,205130,115281585,136853,554393
27,78,Directed,27_78,,,17,780683,2688,2112,0,17143,4911
