Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
31401,32815,Directed,31401_32815,,,1277,1756839,7671,2584,56587,3459,32926
33105,33485,Directed,33105_33485,,,354,4726930,18584,14171,55,7087,21428
30397,34614,Directed,30397_34614,,,2660,156961333,543235,502375,5281825,124020,573863
30529,31295,Directed,30529_31295,,,1906,46118187,186685,134652,96425,68085,175962
30615,33244,Directed,30615_33244,,,589,103291217,0,0,50417093,45684,67706
30325,34653,Directed,30325_34653,,,2442,60395064,247003,172845,407926,55724,175936
31895,35977,Directed,31895_35977,,,1,6000,0,0,3187,132,93
33044,34524,Directed,33044_34524,,,275,29490762,186,46,18007841,10649,16513
31898,34108,Directed,31898_34108,,,2,96927,166,166,4908,1248,166
31013,34150,Directed,31013_34150,,,1,3500,0,0,305,49,20
32575,31066,Directed,32575_31066,,,353,14213061,54875,38198,89065,51868,80549
32982,32575,Directed,32982_32575,,,1457,71682903,263144,229154,24134,107220,431195
34828,34004,Directed,34828_34004,,,1,34900,144,53,4869,836,138
31335,31295,Directed,31335_31295,,,20,476721,0,0,107983,18410,3177
32855,30304,Directed,32855_30304,,,6,12200,42,17,77,252,226
30928,32211,Directed,30928_32211,,,425,14354660,65186,59130,1668,26622,58729
30423,34945,Directed,30423_34945,,,1,29237,118,100,1875,2208,253
31453,33342,Directed,31453_33342,,,1082,13929544,59655,52254,11171,38396,139993
31517,34559,Directed,31517_34559,,,174,300740,1435,243,42060,2867,6485
32575,34877,Directed,32575_34877,,,1,30000,0,0,9264,1202,149
33495,31703,Directed,33495_31703,,,4210,113623891,437381,339465,106544,201948,632689
33105,34570,Directed,33105_34570,,,1,40670,160,159,291,1870,294
30852,31504,Directed,30852_31504,,,359,6522022,17950,12768,400,15780,43526
34057,32211,Directed,34057_32211,,,2986,108236163,433205,360181,726404,66381,316201
34614,30299,Directed,34614_30299,,,332,17152420,60401,45403,111880,25500,87439
34819,30647,Directed,34819_30647,,,37,1324570,5639,5062,316,20229,9019
34512,33184,Directed,34512_33184,,,1,18500,0,0,9397,271,54
33570,30647,Directed,33570_30647,,,14,505346,2190,1902,179,10130,3242
31295,33044,Directed,31295_33044,,,2027,71414492,97949,74266,21393370,33918,108300
