Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
11298,10980,Directed,11298_10980,,,452,4844710,20384,14892,666,21545,41840
13487,13230,Directed,13487_13230,,,219,3468295,12914,10745,515,16164,24829
15304,14771,Directed,15304_14771,,,1,50100,188,153,315,2393,286
15249,14869,Directed,15249_14869,,,1,80550,262,243,0,1702,208
10247,15472,Directed,10247_15472,,,1,3000,9,8,0,86,36
11559,12807,Directed,11559_12807,,,1,3336,17,15,0,474,96
12598,12206,Directed,12598_12206,,,1,30000,0,0,8800,445,67
14747,14252,Directed,14747_14252,,,1967,35138981,149690,96176,144703,3612,78205
11411,13806,Directed,11411_13806,,,2,4300,14,7,0,344,142
12266,13871,Directed,12266_13871,,,2049,30313707,128210,108136,134722,41393,223188
12855,14234,Directed,12855_14234,,,1,1100,6,2,0,92,50
10279,14107,Directed,10279_14107,,,4,160160,580,531,1616,2404,366
12807,12769,Directed,12807_12769,,,69,88865,420,85,5700,1360,2560
13871,13930,Directed,13871_13930,,,3838,77392295,310196,249458,51888,49504,253558
10590,11140,Directed,10590_11140,,,5,142000,670,631,0,5635,660
13264,11921,Directed,13264_11921,,,2,31440,116,111,0,1570,296
10785,10434,Directed,10785_10434,,,1,24062,50,37,0,253,97
11433,12003,Directed,11433_12003,,,1,47880,182,182,0,1415,205
12992,11049,Directed,12992_11049,,,1,12500,50,50,0,374,93
15278,14805,Directed,15278_14805,,,9,22550,81,26,213,426,200
10821,14898,Directed,10821_14898,,,1,2000,8,2,0,2330,256
14709,11833,Directed,14709_11833,,,1,1306,9,3,0,264,85
15502,14574,Directed,15502_14574,,,4,108000,520,437,0,2436,312
12544,15295,Directed,12544_15295,,,5,60000,250,109,0,920,335
13871,13367,Directed,13871_13367,,,1,10520,44,35,0,280,47
10241,12719,Directed,10241_12719,,,2,2346,12,5,2,106,64
10551,13369,Directed,10551_13369,,,1206,2083438,7587,2530,189227,9525,40799
11278,11057,Directed,11278_11057,,,3545,102762556,373880,280997,112234,33431,211157
14570,13388,Directed,14570_13388,,,14,249200,1064,498,10,138,521
11921,11292,Directed,11921_11292,,,3245,40688145,161887,105625,31984,11236,157741
11588,14477,Directed,11588_14477,,,2,6800,0,0,700,24,16
10783,10247,Directed,10783_10247,,,177,459409,1584,476,30586,2635,6120
10559,15991,Directed,10559_15991,,,2,8578,34,10,1450,2176,595
13796,12324,Directed,13796_12324,,,2,179764,0,0,26839,2068,436
10721,14683,Directed,10721_14683,,,1,18660,54,32,0,1764,255
10721,15024,Directed,10721_15024,,,114,5730800,21183,17163,32553,11851,23578
12544,10194,Directed,12544_10194,,,21,252000,1050,621,0,3856,3284
11111,10713,Directed,11111_10713,,,1,36700,137,112,0,1289,191
11252,12348,Directed,11252_12348,,,4,48000,200,179,0,964,281
14524,11495,Directed,14524_11495,,,2,54500,224,87,0,2324,355
10693,12217,Directed,10693_12217,,,2,26400,100,62,0,204,69
14730,11995,Directed,14730_11995,,,206,21414939,0,0,13030599,8073,10040
14814,13198,Directed,14814_13198,,,1,30000,0,0,1914,475,61
12266,12951,Directed,12266_12951,,,3172,35151954,148864,93838,38477,5427,122394
14107,13476,Directed,14107_13476,,,782,10507810,40670,27894,2027,17940,77393
10423,14574,Directed,10423_14574,,,2,37000,132,103,0,2256,486
15589,11869,Directed,15589_11869,,,1055,7174000,31650,26027,0,4128,39483
12451,10868,Directed,12451_10868,,,27,2098841,443,304,229575,1440,1081
13931,10821,Directed,13931_10821,,,1554,57016029,210516,155984,364553,6042,59285
15070,10172,Directed,15070_10172,,,1,36000,168,50,0,237,45
14100,10620,Directed,14100_10620,,,1,38100,150,132,450,1727,249
10154,16353,Directed,10154_16353,,,3,10050,24,5,0,222,66
12992,10693,Directed,12992_10693,,,3,110800,411,298,863,981,141
14100,10868,Directed,14100_10868,,,1177,40074552,45486,26302,10957525,20880,95404
11470,14747,Directed,11470_14747,,,1133,20158500,85969,51229,6984,1386,38477
12451,10397,Directed,12451_10397,,,5647,237998380,900307,708635,451936,24030,282189
11697,10599,Directed,11697_10599,,,3,124060,488,354,500,1950,305
15412,11995,Directed,15412_11995,,,1,12240,50,41,0,228,116
10590,13277,Directed,10590_13277,,,1,27000,130,72,0,1629,174
10408,12889,Directed,10408_12889,,,142,4828000,21300,19756,0,18120,30192
12896,15376,Directed,12896_15376,,,70,7422972,0,0,3047172,2705,5398
14107,10792,Directed,14107_10792,,,365,13398563,50017,45101,37711,30592,80501
12390,14109,Directed,12390_14109,,,1,34000,150,127,0,727,120
13930,13342,Directed,13930_13342,,,4041,52432547,205715,147779,71070,5025,77757
11823,12896,Directed,11823_12896,,,1,11720,50,44,0,1043,188
12953,14704,Directed,12953_14704,,,2,17300,74,65,0,380,161
11823,12278,Directed,11823_12278,,,1,27000,130,121,0,694,96
13232,10590,Directed,13232_10590,,,2,61000,280,261,0,3034,408
