Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
23,6,Directed,23_6,,,8,612357,1052,667,234208,21940,2782
25,12,Directed,25_12,,,12144,452363151,1787466,1501596,1893047,372822,2077204
47,25,Directed,47_25,,,1736,106345941,70185,56372,55436742,62945,245431
45,26,Directed,45_26,,,2860,45599685,188447,135978,6652,50323,262893
28,1,Directed,28_1,,,392,3554943,15169,3530,5819,6921,9009
39,47,Directed,39_47,,,5615,242706963,313882,223125,95078642,121111,448441
42,47,Directed,42_47,,,6887,292764258,342804,268024,115812018,176677,765932
42,48,Directed,42_48,,,11554,346186542,1332208,1120891,987832,463753,2103621
24,48,Directed,24_48,,,6415,234470263,887290,757568,1092535,248044,1166224
24,26,Directed,24_26,,,3350,118067469,454104,341936,408237,45198,232817
18,42,Directed,18_42,,,3138,125849711,140189,103886,58126193,103772,252270
42,37,Directed,42_37,,,17708,539787985,1811456,1351099,11834542,267558,1188236
21,34,Directed,21_34,,,5025,209017833,207481,144440,85219861,94506,468587
41,16,Directed,41_16,,,2437,58350790,226483,150758,333105,21747,131371
40,13,Directed,40_13,,,4082,62271719,230464,189172,3530,64255,403286
18,17,Directed,18_17,,,13291,290030882,884301,605230,35050611,61588,514347
37,34,Directed,37_34,,,9991,222379353,893669,679350,497154,159092,788093
20,47,Directed,20_47,,,1435,37782790,52144,41770,11129000,20339,97701
17,46,Directed,17_46,,,1862,27812320,105884,72511,83,41853,144601
36,27,Directed,36_27,,,5185,158978990,629929,478901,131976,167428,774556
37,29,Directed,37_29,,,4813,93511008,369227,296356,144051,151764,523219
21,53,Directed,21_53,,,1417,115998542,105731,93583,50526698,118788,369510
19,55,Directed,19_55,,,1048,17304147,46913,25354,952158,8596,50597
2,42,Directed,2_42,,,4,857100,0,0,668099,9739,1426
45,41,Directed,45_41,,,2,314314,200,144,20480,4643,648
54,51,Directed,54_51,,,4012,29115805,136260,65468,28691,15813,221619
21,18,Directed,21_18,,,4922,71481475,236392,169790,7514273,24184,149822
42,53,Directed,42_53,,,810,38995800,141002,114597,169325,61575,262534
49,40,Directed,49_40,,,1044,15587899,57494,48787,152158,47470,121681
40,22,Directed,40_22,,,20,340749,1302,772,267,7243,1467
46,21,Directed,46_21,,,449,29500513,9674,5801,15887796,19923,43065
21,33,Directed,21_33,,,496,49989501,400,365,34992204,26823,49204
36,36,Directed,36_36,,,53358,829278212,3006293,1943436,24295139,208368,2923264
