Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
34877,34512,Directed,34877_34512,,,1,86169,250,161,0,508,73
35124,30299,Directed,35124_30299,,,2,6619,22,14,0,570,144
34100,34314,Directed,34100_34314,,,1,34500,137,84,0,1920,272
30627,30559,Directed,30627_30559,,,1,60660,224,169,2178,1014,135
31295,31648,Directed,31295_31648,,,1,2000,8,2,0,1544,216
31503,30325,Directed,31503_30325,,,915,14178226,56291,36725,208,2400,35702
30559,30397,Directed,30559_30397,,,2561,140564155,471720,440095,8205591,106918,635800
33105,30194,Directed,33105_30194,,,3379,56178042,184260,140705,4965523,72261,424411
34057,33964,Directed,34057_33964,,,1186,6660011,18810,7365,735635,6290,66689
33304,30590,Directed,33304_30590,,,1,44113,168,158,0,1132,130
31453,32390,Directed,31453_32390,,,3,108514,475,448,125,3297,404
31076,31295,Directed,31076_31295,,,2,15690,68,38,0,850,217
32769,35478,Directed,32769_35478,,,25,34000,122,35,207,1352,1286
30397,31641,Directed,30397_31641,,,2820,38414920,141660,110950,49,4965,139858
33697,34259,Directed,33697_34259,,,3,127500,521,286,0,1953,247
30559,32134,Directed,30559_32134,,,1720,110053470,369139,325344,6537135,107083,580306
30423,34492,Directed,30423_34492,,,2,63228,251,237,3314,2324,415
34601,33676,Directed,34601_33676,,,1,1200,5,1,0,55,8
31123,30620,Directed,31123_30620,,,1,108800,0,0,38688,1048,129
31650,30849,Directed,31650_30849,,,874,22272760,88372,72254,63319,26220,113277
32195,32831,Directed,32195_32831,,,1,1200,6,3,0,129,67
30247,30299,Directed,30247_30299,,,1,5600,0,0,3600,485,114
32467,34492,Directed,32467_34492,,,1930,73056246,253299,187948,1103160,56260,193557
32134,32174,Directed,32134_32174,,,18,63000,153,12,50,256,869
33570,30852,Directed,33570_30852,,,1817,75443612,282855,256835,237774,136001,472494
33214,30255,Directed,33214_30255,,,1,18500,0,0,2214,770,120
33195,31871,Directed,33195_31871,,,229,7818460,34407,31036,0,7696,16312
30599,34570,Directed,30599_34570,,,2,54000,260,207,0,3742,528
31973,31481,Directed,31973_31481,,,1,13500,50,14,0,203,42
31123,34288,Directed,31123_34288,,,1,11118,50,46,0,766,140
33214,34570,Directed,33214_34570,,,3,81000,390,360,0,4173,582
33667,33987,Directed,33667_33987,,,2,10600,14,8,0,700,132
31057,31049,Directed,31057_31049,,,3,36000,150,129,0,1900,534
30325,35843,Directed,30325_35843,,,576,2592000,10944,3598,0,3960,47615
30744,33290,Directed,30744_33290,,,1,4500,19,2,0,315,112
30977,32441,Directed,30977_32441,,,443,18671370,70686,51054,1482,25564,71214
35165,32575,Directed,35165_32575,,,254,25312387,15,4,17021497,52649,65560
32457,33198,Directed,32457_33198,,,917,28432086,105117,86085,272954,86569,166398
32575,34877,Directed,32575_34877,,,2,44226,0,0,29650,2347,280
31517,31555,Directed,31517_31555,,,6,42590,192,168,3478,1878,435
30590,31122,Directed,30590_31122,,,5,198151,792,690,0,3445,469
30385,34057,Directed,30385_34057,,,765,2098250,6799,1631,0,730,19781
30397,30852,Directed,30397_30852,,,19292,641682297,2590238,1938346,1975394,194529,1509590
32448,32951,Directed,32448_32951,,,58,4547794,0,0,259675,2576,1917
30599,30928,Directed,30599_30928,,,2,44940,196,186,0,1326,247
33667,33244,Directed,33667_33244,,,563,33044599,200,134,15455162,15640,65488
31973,30868,Directed,31973_30868,,,15,439124,1590,1294,0,7890,1117
34102,34125,Directed,34102_34125,,,81,221657,768,249,10062,3752,3817
30009,30036,Directed,30009_30036,,,307,370000,1845,394,3035,399,2762
34125,30783,Directed,34125_30783,,,1,3000,9,4,0,352,116
34588,35620,Directed,34588_35620,,,2,70000,240,142,0,1062,267
31714,30325,Directed,31714_30325,,,25,837825,3400,2517,0,4821,5777
34576,33044,Directed,34576_33044,,,1,107246,0,0,47965,544,91
30852,32575,Directed,30852_32575,,,6786,305920963,1090451,926349,10897692,436555,2077350
32252,36345,Directed,32252_36345,,,1,1850,6,0,20,24,19
30590,30693,Directed,30590_30693,,,2,54000,260,247,0,3130,354
34524,31267,Directed,34524_31267,,,1,11118,50,42,0,408,76
30397,34512,Directed,30397_34512,,,200,16712738,1065,13,6503984,10288,17975
