id,label,timeset,Airport,City_name,State_name
13117,"LVK",,"LVK","Livermore CA","California"
15589,"VGT",,"VGT","Las Vegas NV","Nevada"
11764,"FRG",,"FRG","East Farmingdale NY","New York"
10333,"APN",,"APN","Alpena MI","Michigan"
12591,"JZM",,"JZM","Hog River AK","Alaska"
13868,"OLS",,"OLS","Nogales AZ","Arizona"
15830,"WQR",,"WQR","Naknek AK","Alaska"
14810,"SHN",,"SHN","Shelton WA","Washington"
12598,"JZT",,"JZT","Arlington TX","Texas"
13862,"OLF",,"OLF","Wolf Point MT","Montana"
10139,"ABL",,"ABL","Ambler AK","Alaska"
15401,"TXK",,"TXK","Texarkana AR","Arkansas"
10294,"AMW",,"AMW","Ames IA","Iowa"
15406,"TYE",,"TYE","Tyonek AK","Alaska"
11197,"CVN",,"CVN","Clovis NM","New Mexico"
11399,"DQS",,"DQS","Whitmore AZ","Arizona"
12841,"KVC",,"KVC","King Cove AK","Alaska"
12847,"KWF",,"KWF","Waterfall AK","Alaska"
12844,"KVL",,"KVL","Kivalina AK","Alaska"
11003,"CID",,"CID","Cedar Rapids/Iowa City IA","Iowa"
11002,"CIC",,"CIC","Chico CA","California"
14718,"SCM",,"SCM","Scammon Bay AK","Alaska"
12243,"HVC",,"HVC","Hopkinsville KY","Kentucky"
11007,"CIK",,"CIK","Chalkyitsik AK","Alaska"
14987,"SRV",,"SRV","Stony River AK","Alaska"
14524,"RIC",,"RIC","Richmond VA","Virginia"
15030,"SUA",,"SUA","Stuart FL","Florida"
11008,"CIL",,"CIL","Council AK","Alaska"
11122,"CPR",,"CPR","Casper WY","Wyoming"
12129,"HIB",,"HIB","Hibbing MN","Minnesota"
11617,"EWN",,"EWN","New Bern/Morehead/Beaufort NC","North Carolina"
11615,"EWB",,"EWB","New Bedford/Fall River MA","Massachusetts"
11612,"EVV",,"EVV","Evansville IN","Indiana"
15861,"WTK",,"WTK","Noatak AK","Alaska"
13034,"LNY",,"LNY","Lanai HI","Hawaii"
11618,"EWR",,"EWR","New York NY","New Jersey"
11619,"EXI",,"EXI","Excursion Inlet AK","Alaska"
10141,"ABR",,"ABR","Aberdeen SD","South Dakota"
10140,"ABQ",,"ABQ","Albuquerque NM","New Mexico"
15497,"UST",,"UST","St. Augustine FL","Florida"
11214,"CXF",,"CXF","Coldfoot AK","Alaska"
14037,"PCA",,"PCA","Portage Creek AK","Alaska"
10146,"ABY",,"ABY","Albany GA","Georgia"
14130,"PKA",,"PKA","Napaskiak AK","Alaska"
14131,"PKB",,"PKB","Parkersburg WV","West Virginia"
13536,"MVM",,"MVM","Kayenta AZ","Arizona"
10006,"06A",,"06A","Kizhuyak AK","Alaska"
10419,"AUO",,"AUO","Auburn AL","Alabama"
11941,"GLV",,"GLV","Golovin AK","Alaska"
14922,"SNS",,"SNS","Monterey CA","California"
10385,"AST",,"AST","Astoria/Seaside OR","Oregon"
14778,"SFZ",,"SFZ","Smithfield RI","Rhode Island"
10380,"ASN",,"ASN","Talladega AL","Alabama"
11227,"CYF",,"CYF","Chefornak AK","Alaska"
13795,"OAJ",,"OAJ","Jacksonville/Camp Lejeune NC","North Carolina"
12944,"LEW",,"LEW","Lewiston/Auburn ME","Maine"
10792,"BUF",,"BUF","Buffalo NY","New York"
15249,"TLH",,"TLH","Tallahassee FL","Florida"
15248,"TLF",,"TLF","Telida AK","Alaska"
13204,"MCO",,"MCO","Orlando FL","Florida"
13203,"MCN",,"MCN","Macon GA","Georgia"
15323,"TRI",,"TRI","Bristol/Johnson City/Kingsport TN","Tennessee"
13200,"MCK",,"MCK","McCook NE","Nebraska"
15245,"TLA",,"TLA","Teller AK","Alaska"
12448,"JAN",,"JAN","Jackson/Vicksburg MS","Mississippi"
10427,"AUZ",,"AUZ","Aurora IL","Illinois"
12235,"HUS",,"HUS","Hughes AK","Alaska"
15659,"VWN",,"VWN","Parker AZ","Arizona"
12236,"HUT",,"HUT","Hutchinson KS","Kansas"
12339,"IND",,"IND","Indianapolis IN","Indiana"
10157,"ACV",,"ACV","Arcata/Eureka CA","California"
12335,"IMT",,"IMT","Iron Mountain/Kingsfd MI","Michigan"
12336,"IN1",,"IN1","Auburn IN","Indiana"
14120,"PIR",,"PIR","Pierre SD","South Dakota"
11709,"FMH",,"FMH","Falmouth MA","Massachusetts"
14627,"RSH",,"RSH","Russian Mission AK","Alaska"
11756,"FQW",,"FQW","Fort Glenn AK","Alaska"
10008,"08A",,"08A","Elizabeth Island AK","Alaska"
16101,"YKM",,"YKM","Yakima WA","Washington"
13493,"MSV",,"MSV","Monticello NY","New York"
14628,"RSJ",,"RSJ","Rosario WA","Washington"
15862,"WTL",,"WTL","Tuntutuliak AK","Alaska"
15656,"VWK",,"VWK","Saratoga Springs NY","New York"
10562,"BFM",,"BFM","Mobile AL","Alabama"
10561,"BFL",,"BFL","Bakersfield CA","California"
12621,"KBC",,"KBC","Birch Creek AK","Alaska"
15448,"UGS",,"UGS","Ugashik AK","Alaska"
10243,"AKK",,"AKK","Akhiok AK","Alaska"
10569,"BFT",,"BFT","Beaufort SC","South Carolina"
10241,"AKI",,"AKI","Akiak AK","Alaska"
10247,"AKP",,"AKP","Anaktuvuk Pass AK","Alaska"
10245,"AKN",,"AKN","King Salmon AK","Alaska"
15532,"UXR",,"UXR","Monument Valley UT","Utah"
13884,"ONH",,"ONH","Oneonta NY","New York"
13768,"NUL",,"NUL","Nulato AK","Alaska"
10096,"A83",,"A83","Petrof Point AK","Alaska"
16422,"GUF",,"GUF","Gulf Shores AL","Alabama"
10849,"BZN",,"BZN","Bozeman MT","Montana"
11531,"ELD",,"ELD","El Dorado AR","Arkansas"
13767,"NUI",,"NUI","Nuiqsut AK","Alaska"
11537,"ELM",,"ELM","Elmira/Corning NY","New York"
11535,"ELI",,"ELI","Elim AK","Alaska"
13763,"NTU",,"NTU","Oceana VA","Virginia"
14816,"SHX",,"SHX","Shageluk AK","Alaska"
13111,"LUR",,"LUR","Cape Lisburne AK","Alaska"
14814,"SHV",,"SHV","Shreveport LA","Louisiana"
11865,"GCC",,"GCC","Gillette WY","Wyoming"
14812,"SHR",,"SHR","Sheridan WY","Wyoming"
11867,"GCK",,"GCK","Garden City KS","Kansas"
12007,"GTR",,"GTR","Columbus MS","Mississippi"
11869,"GCN",,"GCN","Grand Canyon AZ","Arizona"
14819,"SIG",,"SIG","San Juan PR","Puerto Rico"
13055,"LPS",,"LPS","Lopez Island WA","Washington"
13450,"MPV",,"MPV","Montpelier/Barre VT","Vermont"
15654,"VWI",,"VWI","California City CA","California"
13176,"MAZ",,"MAZ","Mayaguez PR","Puerto Rico"
12511,"JLN",,"JLN","Joplin MO","Missouri"
14711,"SCE",,"SCE","State College PA","Pennsylvania"
14712,"SCF",,"SCF","Phoenix AZ","Arizona"
14713,"SCH",,"SCH","Schenectady NY","New York"
12055,"GYY",,"GYY","Chicago IL","Indiana"
14715,"SCJ",,"SCJ","Smith Cove AK","Alaska"
14716,"SCK",,"SCK","Stockton CA","California"
12191,"HOU",,"HOU","Houston TX","Texas"
14493,"RDV",,"RDV","Red Devil AK","Alaska"
14492,"RDU",,"RDU","Raleigh/Durham NC","North Carolina"
13502,"MTJ",,"MTJ","Montrose/Delta CO","Colorado"
13504,"MTM",,"MTM","Metlakatla AK","Alaska"
12195,"HPB",,"HPB","Hooper Bay AK","Alaska"
12945,"LEX",,"LEX","Lexington KY","Kentucky"
13507,"MTP",,"MTP","Montauk Point NY","New York"
16512,"NY8",,"NY8","Mattituck NY","New York"
12758,"KOA",,"KOA","Kona HI","Hawaii"
12947,"LFI",,"LFI","Norfolk VA","Virginia"
12755,"KNW",,"KNW","New Stuyahok AK","Alaska"
13505,"MTN",,"MTN","Washington DC","Maryland"
10938,"CEM",,"CEM","Central AK","Alaska"
13506,"MTO",,"MTO","Mattoon/Charleston IL","Illinois"
15838,"WQZ",,"WQZ","Chignik AK","Alaska"
12197,"HPN",,"HPN","New York NY","New York"
10930,"CEC",,"CEC","Crescent City CA","California"
10838,"BYH",,"BYH","Blytheville AR","Arkansas"
10933,"CEF",,"CEF","Chicopee Falls MA","Massachusetts"
15447,"UGN",,"UGN","Waukegan IL","Illinois"
13949,"OSH",,"OSH","Oshkosh WI","Wisconsin"
15444,"UGB",,"UGB","Pilot Point AK","Alaska"
12494,"JHW",,"JHW","Jamestown NY","New York"
12888,"LAR",,"LAR","Laramie WY","Wyoming"
12889,"LAS",,"LAS","Las Vegas NV","Nevada"
13940,"ORT",,"ORT","Northway AK","Alaska"
10053,"A40",,"A40","Cape Simpson AK","Alaska"
12884,"LAN",,"LAN","Lansing MI","Michigan"
12882,"LAL",,"LAL","Tampa FL","Florida"
13947,"OSC",,"OSC","Oscoda MI","Michigan"
10190,"AFK",,"AFK","Nebraska NE","Nebraska"
13476,"MRY",,"MRY","Monterey CA","California"
11044,"CLG",,"CLG","Coalinga CA","California"
12280,"IDA",,"IDA","Idaho Falls ID","Idaho"
15569,"VCT",,"VCT","Victoria TX","Texas"
11041,"CLD",,"CLD","Carlsbad CA","California"
13377,"MLU",,"MLU","Monroe LA","Louisiana"
13375,"MLS",,"MLS","Miles City MT","Montana"
16441,"CT1",,"CT1","Plainville CT","Connecticut"
16526,"MA4",,"MA4","Marshfield MA","Massachusetts"
11049,"CLL",,"CLL","College Station/Bryan TX","Texas"
