Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
10241,12719,Directed,10241_12719,,,5,10400,36,12,280,159,150
15841,10926,Directed,15841_10926,,,1,5600,0,0,39,549,107
12266,12951,Directed,12266_12951,,,2893,33665295,136796,101992,27788,6030,110583
13931,10821,Directed,13931_10821,,,1526,56282738,208298,154554,332872,5883,57679
13930,13342,Directed,13930_13342,,,4331,56119982,208435,152937,138914,3953,84762
12892,11921,Directed,12892_11921,,,99,3104195,13460,11934,985,13111,9094
14880,10304,Directed,14880_10304,,,162,243700,967,197,5291,2923,6513
14683,13232,Directed,14683_13232,,,702,25757774,95880,81879,291548,31080,94300
12324,13898,Directed,12324_13898,,,1,54000,0,0,1325,954,131
12264,13303,Directed,12264_13303,,,1660,47285086,179170,140381,323574,34077,226786
13930,12278,Directed,13930_12278,,,2607,32451869,129702,104034,3294,35280,234318
13342,15304,Directed,13342_15304,,,865,26877900,110455,89165,9629,47300,120458
12892,10721,Directed,12892_10721,,,3096,131444959,505368,443185,1687731,248045,921603
13196,13676,Directed,13196_13676,,,537,688300,2672,600,4340,1973,10170
14574,14783,Directed,14574_14783,,,4,228908,0,0,76340,2952,401
14895,13873,Directed,14895_13873,,,172,497480,1437,558,11653,10000,6863
13341,12953,Directed,13341_12953,,,1,27557,160,48,5591,1103,142
12339,14683,Directed,12339_14683,,,3,142765,118,67,37298,2958,556
12831,12807,Directed,12831_12807,,,2,2550,12,6,16,172,94
13244,12884,Directed,13244_12884,,,1,5600,0,0,1350,607,80
12184,10008,Directed,12184_10008,,,1,1300,5,2,235,36,23
14282,12853,Directed,14282_12853,,,224,359825,1165,376,29110,2111,6357
13891,10821,Directed,13891_10821,,,1,80450,262,54,12000,2283,242
10299,14057,Directed,10299_14057,,,800,31422683,121692,100152,668443,69390,154639
14679,12889,Directed,14679_12889,,,4437,160578209,607359,438210,451267,11610,225071
15041,14747,Directed,15041_14747,,,171,3043800,12996,8642,70,4745,15143
11066,13198,Directed,11066_13198,,,277,5320698,20070,10936,1042,13285,28255
14683,10819,Directed,14683_10819,,,1,5600,0,0,1584,864,105
10171,13230,Directed,10171_13230,,,1,21226,0,0,7941,1219,166
11267,12891,Directed,11267_12891,,,1,12350,50,46,2,863,169
15245,12774,Directed,15245_12774,,,1,1750,9,1,3,15,6
14120,14457,Directed,14120_14457,,,3,38230,50,50,10654,420,166
12719,10313,Directed,12719_10313,,,2,6950,6,1,7,154,67
12266,14112,Directed,12266_14112,,,1,35645,173,57,5343,779,95
10551,11028,Directed,10551_11028,,,51,109600,295,117,24769,2892,3447
15721,14856,Directed,15721_14856,,,5,20098,26,11,8811,333,126
14683,10693,Directed,14683_10693,,,677,24886000,92615,78141,198169,21372,72149
13487,14524,Directed,13487_14524,,,411,8888959,33338,26008,215,20370,50344
13930,12953,Directed,13930_12953,,,13702,441209231,1667788,1306133,363692,80630,1364627
13930,11278,Directed,13930_11278,,,7238,234223094,903911,702130,30785,56916,596232
11535,15478,Directed,11535_15478,,,139,487555,734,239,44552,3685,3630
10154,12250,Directed,10154_12250,,,14905,32460702,134145,82931,19279,1311,198340
10551,10245,Directed,10551_10245,,,6,193340,16,13,659,928,326
11292,12758,Directed,11292_12758,,,60,4341320,14145,12687,18521,46606,24755
11057,13422,Directed,11057_13422,,,1216,15690612,60909,39363,11691,10520,101045
10396,13767,Directed,10396_13767,,,1,5600,0,0,4400,151,52
11367,12252,Directed,11367_12252,,,7,12950,42,0,206,96,97
11193,10434,Directed,11193_10434,,,3,65874,165,148,2,1497,426
11292,13295,Directed,11292_13295,,,5,332169,0,0,38130,895,576
15581,11007,Directed,15581_11007,,,3,11422,37,12,487,228,90
11292,14908,Directed,11292_14908,,,4152,136198099,550273,456544,96390,72756,498225
12892,14877,Directed,12892_14877,,,2,55500,150,138,12600,2404,310
12709,10551,Directed,12709_10551,,,1449,1741100,7856,2760,2798,1221,19737
10423,12896,Directed,10423_12896,,,645,23737000,87246,52082,37363,12634,34354
13303,15024,Directed,13303_15024,,,920,46735510,173085,150385,254472,15498,123480
14275,12339,Directed,14275_12339,,,4,111450,310,153,5100,757,182
10423,11433,Directed,10423_11433,,,981,21975836,78851,68132,4366,48258,146062
13303,11278,Directed,13303_11278,,,3882,144245776,560265,450290,14600,34943,480098
11778,13244,Directed,11778_13244,,,969,12108225,48050,35107,56,4731,43454
13487,13029,Directed,13487_13029,,,1013,12559531,50914,37742,3307,7944,53929
14122,14711,Directed,14122_14711,,,833,2928500,50,37,1518601,1664,39152
10005,11630,Directed,10005_11630,,,6,122630,9,0,43803,955,337
14747,13232,Directed,14747_13232,,,978,35917570,134009,124520,847393,36393,206066
14635,11433,Directed,14635_11433,,,1918,82663735,323293,278754,26999,59649,282552
13487,12992,Directed,13487_12992,,,69,995269,3475,2934,2430,4213,7012
10529,11057,Directed,10529_11057,,,2044,67340305,263410,216393,68672,47656,209619
14736,13198,Directed,14736_13198,,,2,42452,0,0,9100,2656,332
11775,14120,Directed,11775_14120,,,295,1186150,700,185,414003,3145,20528
13890,11198,Directed,13890_11198,,,590,2035500,0,0,137330,912,10840
11445,10299,Directed,11445_10299,,,1729,11092463,39150,24101,846319,65716,278439
13204,15249,Directed,13204_15249,,,511,1835540,1862,564,740145,3184,39420
13303,11996,Directed,13303_11996,,,71,5710103,144,144,730520,7017,6373
10994,10581,Directed,10994_10581,,,30,7843000,0,0,5054645,8144,0
14027,13809,Directed,14027_13809,,,3,171243,0,0,66506,430,121
13204,14747,Directed,13204_14747,,,486,20597700,76539,68652,88723,33195,168707
10721,11066,Directed,10721_11066,,,1014,12025837,51290,32427,5,16640,109016
10171,11697,Directed,10171_11697,,,2,42452,0,0,5185,2220,319
10721,13871,Directed,10721_13871,,,3,127700,518,346,1614,3846,624
10194,13891,Directed,10194_13891,,,202,12385512,0,0,6178347,18736,31089
10397,11481,Directed,10397_11481,,,2857,52305110,207202,154719,17501,7680,116944
12191,11298,Directed,12191_11298,,,2352,27960922,114821,95574,22765,8398,111912
12478,13931,Directed,12478_13931,,,1684,20518344,84722,59258,4334,13025,90482
14747,10423,Directed,14747_10423,,,365,15608083,60461,55439,125689,51330,76296
10785,14100,Directed,10785_14100,,,1825,39005199,122425,92607,3699,16441,124090
14718,13369,Directed,14718_13369,,,14,33250,105,40,250,932,728
13791,13342,Directed,13791_13342,,,1,25586,160,53,6473,1741,199
10917,10237,Directed,10917_10237,,,1,5600,19,15,2943,514,119
15245,12642,Directed,15245_12642,,,1,5250,0,0,2270,330,57
13851,11292,Directed,13851_11292,,,3626,96217069,362321,293955,220109,71775,281285
11952,12831,Directed,11952_12831,,,1,1200,6,0,300,126,71
10423,10194,Directed,10423_10194,,,606,2648958,277,260,1048318,3096,43274
10967,14275,Directed,10967_14275,,,1,18500,0,0,3828,497,84
12841,10299,Directed,12841_10299,,,3,16828,19,8,3998,1838,378
15024,15626,Directed,15024_15626,,,7,78841,119,58,1927,148,120
10849,13487,Directed,10849_13487,,,859,24178534,90631,78350,10871,30590,97466
12012,11298,Directed,12012_11298,,,190,3805000,14318,9000,719,4068,16175
14524,12223,Directed,14524_12223,,,4,145172,100,96,47954,1168,281
13930,10868,Directed,13930_10868,,,958,12702532,48064,34639,4,17994,84900
12016,12173,Directed,12016_12173,,,364,31561546,97725,81719,2466476,49413,152454
14747,11292,Directed,14747_11292,,,5763,216357068,866142,764350,1847646,162817,739375
12889,10721,Directed,12889_10721,,,871,32653300,128400,110815,18275,78573,234616
11259,14057,Directed,11259_14057,,,2,40668,108,105,3900,1626,445
10693,14100,Directed,10693_14100,,,2072,49623703,172800,147756,245959,54000,199314
15370,13851,Directed,15370_13851,,,113,8469069,823,569,2552945,3996,2870
10170,12866,Directed,10170_12866,,,202,323855,989,490,63882,3700,8011
13061,13851,Directed,13061_13851,,,2,115036,0,0,48612,1104,141
11638,14057,Directed,11638_14057,,,364,6506800,27100,21711,30942,8764,35636
12191,12992,Directed,12191_12992,,,363,13504100,49641,34023,39385,11790,20852
10194,11292,Directed,10194_11292,,,205,15993619,0,0,10179893,13772,17724
12266,11122,Directed,12266_11122,,,1,21226,0,0,6660,1083,147
13434,13369,Directed,13434_13369,,,75,127900,477,201,2900,1129,2377
11941,13873,Directed,11941_13873,,,485,1449440,4075,1488,42976,6810,13579
12451,14122,Directed,12451_14122,,,4,166086,596,404,8000,2777,581
15016,11259,Directed,15016_11259,,,2811,103892941,383819,299083,907235,20202,231143
11996,11057,Directed,11996_11057,,,2726,47331627,140115,113955,27892,7425,72287
10397,11921,Directed,10397_11921,,,1,50660,184,177,1800,1390,271
13244,13422,Directed,13244_13422,,,810,10924380,40541,29711,35,4747,40509
12264,11042,Directed,12264_11042,,,1314,17798201,70705,55767,15622,7776,68779
12264,15304,Directed,12264_15304,,,1023,41785279,159530,129343,37330,35659,115575
10431,11618,Directed,10431_11618,,,380,4790622,19000,12013,4,6996,33303
10721,14771,Directed,10721_14771,,,3662,158115653,583424,509691,1161089,186576,1334895
12339,15304,Directed,12339_15304,,,1220,40075640,159616,131577,60866,43550,136344
10529,10994,Directed,10529_10994,,,1,32470,142,118,87,742,190
10783,13028,Directed,10783_13028,,,1,800,3,1,152,280,136
13796,13198,Directed,13796_13198,,,363,13533440,49620,41092,166313,43181,66072
10551,15554,Directed,10551_15554,,,1451,4347970,11973,5107,199442,14008,71745
13061,11003,Directed,13061_11003,,,3,101933,0,0,31037,3243,446
13487,11823,Directed,13487_11823,,,297,3711938,14850,10960,38,4880,20011
