Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1112,40882095,150435,125317,293174,71285,137618
30,56,Directed,30_56,,,342,2181498,7148,1044,75441,8417,15068
1,20,Directed,1_20,,,3,61500,202,62,0,1263,267
21,17,Directed,21_17,,,15513,361527999,904295,588197,72693720,138909,844194
55,30,Directed,55_30,,,4,348899,136,134,101730,4152,547
8,51,Directed,8_51,,,5409,210166461,815044,719185,1927278,233899,924288
24,28,Directed,24_28,,,502,18534000,68127,42841,85318,27530,65281
18,44,Directed,18_44,,,1,12500,50,30,0,769,120
4,30,Directed,4_30,,,514,17489892,77021,70199,0,57351,63130
25,13,Directed,25_13,,,5420,219891670,840476,716155,2354730,102987,750427
47,24,Directed,47_24,,,3768,167213162,377429,287883,43338200,99932,334229
20,32,Directed,20_32,,,257,8755680,38382,35179,45023,14837,36207
45,21,Directed,45_21,,,830,52424305,17424,11741,26086887,25361,48418
23,29,Directed,23_29,,,1,20036,86,4,0,1297,174
51,2,Directed,51_2,,,1,4840,12,9,0,3267,0
35,51,Directed,35_51,,,363,11883780,46877,38376,2841,40756,68308
26,8,Directed,26_8,,,4506,142208774,563593,501623,445864,231125,717860
39,48,Directed,39_48,,,9086,268645231,918751,711465,16880913,293231,1326788
2,48,Directed,2_48,,,1991,423589204,54938,49005,330649682,440554,175626
42,49,Directed,42_49,,,435,17532684,67702,60811,67265,49284,116537
45,47,Directed,45_47,,,1349,69177036,85898,65562,19232690,43277,88683
24,49,Directed,24_49,,,1037,43513506,162248,139801,219448,87630,269608
13,44,Directed,13_44,,,1024,34076440,145829,114771,166796,18060,117893
33,47,Directed,33_47,,,550,72486419,137,40,39264728,30396,88282
24,27,Directed,24_27,,,1446,45625049,178191,141238,118802,79519,198265
23,18,Directed,23_18,,,2,30374,82,35,0,1916,144
37,72,Directed,37_72,,,1174,75486981,165371,143978,12710257,104802,215895
44,33,Directed,44_33,,,2,67240,8,1,12674,243,58
33,37,Directed,33_37,,,373,8664981,34723,29304,0,23141,45830
26,6,Directed,26_6,,,4163,202868935,740358,665579,2155791,340067,1114461
36,35,Directed,36_35,,,1,50100,188,176,0,1826,338
41,17,Directed,41_17,,,2607,103284895,389802,359346,986645,132429,535199
40,12,Directed,40_12,,,26,992569,3672,1908,826,12404,3476
26,15,Directed,26_15,,,1,102205,298,282,30,4475,542
44,18,Directed,44_18,,,236,13511889,370,283,4581999,13257,24808
37,33,Directed,37_33,,,371,8631112,34526,27172,150,23223,37217
17,47,Directed,17_47,,,15456,377115312,958749,747882,87581955,206977,1058052
36,26,Directed,36_26,,,20623,373068765,1482493,1178380,785622,242540,1503544
29,34,Directed,29_34,,,4081,70481320,273081,198398,228892,82583,519127
26,5,Directed,26_5,,,1001,13310477,51915,33365,63536,58108,108402
2,41,Directed,2_41,,,800,31422683,121692,100152,668443,69390,154639
45,40,Directed,45_40,,,3,37600,50,35,12663,2695,437
26,9,Directed,26_9,,,1945,43408928,170884,138459,20465,66600,146236
21,19,Directed,21_19,,,487,37755763,1998,1586,21244731,24483,33364
27,38,Directed,27_38,,,10082,153176493,588727,420010,358578,96490,569694
19,42,Directed,19_42,,,157,16523874,508,446,9383374,18044,19184
23,17,Directed,23_17,,,1135,19685445,71488,62779,423583,48558,154195
46,22,Directed,46_22,,,1,34000,150,121,0,943,114
27,13,Directed,27_13,,,5676,231367788,901777,760250,636144,125189,675665
39,22,Directed,39_22,,,294,4172239,17035,12710,15625,42646,39992
29,9,Directed,29_9,,,2,38978,152,89,0,2126,345
39,33,Directed,39_33,,,921,11582412,46372,38965,85,12970,67530
36,34,Directed,36_34,,,8328,118363848,382785,277969,6561941,80684,449914
37,21,Directed,37_21,,,9849,278703024,531418,395162,62923061,117982,595744
25,54,Directed,25_54,,,1,1311,4,2,0,497,114
29,33,Directed,29_33,,,2,73400,274,256,10,2061,353
5,6,Directed,5_6,,,120,4042443,17139,16320,74257,24792,22659
19,1,Directed,19_1,,,3,44240,180,165,0,1878,395
29,40,Directed,29_40,,,2059,75968773,278479,205205,605605,41224,124117
35,42,Directed,35_42,,,5,210200,936,774,1517,8474,1012
39,13,Directed,39_13,,,13177,335600194,1369415,1116228,5155455,181366,1022180
26,1,Directed,26_1,,,1961,24925424,98284,71057,55816,48048,174405
1,18,Directed,1_18,,,7,200392,774,558,0,2999,737
24,35,Directed,24_35,,,578,21213799,79104,69356,188598,26720,134171
18,27,Directed,18_27,,,3165,91564480,236390,186933,21900742,87166,255130
22,24,Directed,22_24,,,1132,37416710,146893,118052,428160,46906,146326
39,25,Directed,39_25,,,2786,44453121,193097,143210,158773,59094,238081
35,17,Directed,35_17,,,1846,46301462,172931,148214,200404,74942,255323
39,38,Directed,39_38,,,2,48186,187,162,0,1789,257
36,33,Directed,36_33,,,1948,13603884,46475,24102,999317,10223,107839
53,13,Directed,53_13,,,2817,150961933,519819,480858,7716844,161892,704994
21,6,Directed,21_6,,,5669,576759158,255071,221128,283713819,666816,1406090
15,2,Directed,15_2,,,426,21471722,64280,59110,550958,72555,141762
45,33,Directed,45_33,,,1,1320,4,4,0,792,150
42,18,Directed,42_18,,,2722,135916934,154339,117178,55649761,91859,242380
6,18,Directed,6_18,,,2490,321509254,36066,29607,188252588,374020,512296
21,5,Directed,21_5,,,850,33565738,29455,15629,17312124,32462,71395
29,49,Directed,29_49,,,2183,49681951,182760,161763,112954,103236,330502
56,5,Directed,56_5,,,1,30475,56,36,0,832,104
48,56,Directed,48_56,,,550,13124412,50904,40310,7268,37069,65309
17,6,Directed,17_6,,,30156,1326943745,4578630,4009803,62612092,1153209,7167835
34,23,Directed,34_23,,,1334,24021569,96641,69983,169535,10966,73299
18,20,Directed,18_20,,,3,60400,290,228,0,1911,360
37,1,Directed,37_1,,,6277,101005093,376427,274010,116709,58640,404867
48,49,Directed,48_49,,,7744,200417556,755466,631145,584303,344720,1175779
35,18,Directed,35_18,,,2,173465,137,137,99959,2322,304
38,38,Directed,38_38,,,4162,19043507,40539,12842,4668871,34646,273532
4,8,Directed,4_8,,,13988,400888330,1563451,1294497,1595782,287717,1159937
19,38,Directed,19_38,,,2,82133,335,209,0,774,118
6,6,Directed,6_6,,,304126,7778565032,25982517,18911195,420826048,1345790,15586741
2,35,Directed,2_35,,,1,42500,173,107,0,2617,310
13,8,Directed,13_8,,,6816,245926807,953392,825220,1061875,235245,1168257
53,53,Directed,53_53,,,74023,729649580,2573489,1802645,37593614,207323,2417849
9,25,Directed,9_25,,,44,1002824,2933,2284,26562,4124,1538
6,17,Directed,6_17,,,30476,1326182205,4639151,4078987,57097867,1264807,6365077
48,18,Directed,48_18,,,5742,208887031,440493,366350,57997460,212911,609455
23,51,Directed,23_51,,,2091,38028732,145973,108625,362,46776,174515
30,47,Directed,30_47,,,841,52801456,486,410,18624205,61351,133311
8,8,Directed,8_8,,,48434,723649690,2657849,1734489,8803672,141815,1602916
55,54,Directed,55_54,,,3,59000,250,154,0,1065,308
34,50,Directed,34_50,,,1319,21621240,87056,59619,12350,6515,67881
53,34,Directed,53_34,,,1940,77484859,311430,276711,2295576,124903,542952
36,55,Directed,36_55,,,3052,83185006,359120,281664,28529,72876,347822
34,35,Directed,34_35,,,1,24562,114,99,0,1805,259
27,21,Directed,27_21,,,4373,149337745,221582,169568,46633410,134037,370451
25,39,Directed,25_39,,,2786,45882645,192951,141278,307664,61960,275105
18,29,Directed,18_29,,,1133,75922658,94861,71922,34375180,38439,73842
28,34,Directed,28_34,,,1,27000,130,89,0,930,108
36,78,Directed,36_78,,,322,16361750,59327,52560,159593,34083,66115
21,1,Directed,21_1,,,868,49819376,78045,49193,19545173,24471,45876
51,50,Directed,51_50,,,2047,36814341,147213,106464,0,28153,145547
19,31,Directed,19_31,,,34,1523416,1787,1100,153502,3878,1189
29,1,Directed,29_1,,,365,13428349,49744,35271,28230,14489,22552
17,27,Directed,17_27,,,19165,469179099,1696249,1287037,12012753,163535,1157555
34,18,Directed,34_18,,,2678,114850481,109496,78218,52899544,66153,270555
42,33,Directed,42_33,,,3737,112685271,331431,226687,7773698,29817,196720
16,38,Directed,16_38,,,3,127258,238,180,5075,2877,409
50,34,Directed,50_34,,,1316,21630312,86620,65936,6480,7313,73595
55,39,Directed,55_39,,,4862,61884919,247350,171976,192674,51910,273465
20,53,Directed,20_53,,,26,4480839,172,129,1704671,20171,5066
26,42,Directed,26_42,,,12555,230597886,854726,679052,154541,163065,714633
51,44,Directed,51_44,,,3519,66010849,250926,172072,1457,38652,211260
8,12,Directed,8_12,,,7204,268673164,1062272,944930,1094292,424887,1354731
5,26,Directed,5_26,,,1012,13499293,51522,33260,251062,63257,103091
26,30,Directed,26_30,,,1,40851,146,114,0,1401,238
42,17,Directed,42_17,,,21211,544657204,1966258,1614719,17415608,329015,2017737
19,5,Directed,19_5,,,4,50700,200,165,0,1792,388
45,1,Directed,45_1,,,12,239624,1012,499,0,3643,1321
