Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
12173,10731,Directed,12173_10731,,,1,8853,11,2,0,4704,0
14109,14122,Directed,14109_14122,,,6,79730,300,188,0,2412,631
13198,12228,Directed,13198_12228,,,1,53000,164,111,0,397,72
10279,14107,Directed,10279_14107,,,3,81600,304,287,0,1203,311
14704,14098,Directed,14704_14098,,,1,8650,37,30,0,99,26
10241,12719,Directed,10241_12719,,,5,10400,36,12,280,159,150
12266,12951,Directed,12266_12951,,,2893,33665295,136796,101992,27788,6030,110583
15589,11869,Directed,15589_11869,,,1328,6493600,31482,27090,0,4288,61032
13931,10821,Directed,13931_10821,,,1526,56282738,208298,154554,332872,5883,57679
10408,12889,Directed,10408_12889,,,114,3876000,17116,15616,0,18120,24114
13930,13342,Directed,13930_13342,,,4331,56119982,208435,152937,138914,3953,84762
12892,11921,Directed,12892_11921,,,99,3104195,13460,11934,985,13111,9094
11057,11986,Directed,11057_11986,,,2,24700,100,87,0,583,240
14880,10304,Directed,14880_10304,,,162,243700,967,197,5291,2923,6513
10590,14831,Directed,10590_14831,,,9,294734,1278,1086,0,3951,683
11996,14986,Directed,11996_14986,,,1,34000,150,142,0,517,78
13121,13931,Directed,13121_13931,,,1,12500,50,2,0,240,72
14683,13232,Directed,14683_13232,,,702,25757774,95880,81879,291548,31080,94300
12264,13303,Directed,12264_13303,,,1660,47285086,179170,140381,323574,34077,226786
13930,12278,Directed,13930_12278,,,2607,32451869,129702,104034,3294,35280,234318
10559,10385,Directed,10559_10385,,,2,4623,17,2,0,242,38
10559,10529,Directed,10559_10529,,,1,36674,68,55,0,2430,276
12197,13731,Directed,12197_13731,,,8,38550,64,25,0,780,282
12191,15167,Directed,12191_15167,,,1,3000,12,4,0,1421,174
10670,10154,Directed,10670_10154,,,2,6724,17,10,0,452,129
13342,15304,Directed,13342_15304,,,865,26877900,110455,89165,9629,47300,120458
12892,10721,Directed,12892_10721,,,3096,131444959,505368,443185,1687731,248045,921603
13196,13676,Directed,13196_13676,,,537,688300,2672,600,4340,1973,10170
14895,13873,Directed,14895_13873,,,172,497480,1437,558,11653,10000,6863
13341,12953,Directed,13341_12953,,,1,27557,160,48,5591,1103,142
12339,14683,Directed,12339_14683,,,3,142765,118,67,37298,2958,556
13198,14307,Directed,13198_14307,,,2,88086,294,149,0,2468,332
12831,12807,Directed,12831_12807,,,2,2550,12,6,16,172,94
12992,11973,Directed,12992_11973,,,3,110481,408,369,0,1050,157
12815,16346,Directed,12815_16346,,,10,12000,60,2,0,31,156
12184,10008,Directed,12184_10008,,,1,1300,5,2,235,36,23
14282,12853,Directed,14282_12853,,,224,359825,1165,376,29110,2111,6357
13891,10821,Directed,13891_10821,,,1,80450,262,54,12000,2283,242
10299,14057,Directed,10299_14057,,,800,31422683,121692,100152,668443,69390,154639
10599,11953,Directed,10599_11953,,,3,109370,447,393,0,1125,161
14679,12889,Directed,14679_12889,,,4437,160578209,607359,438210,451267,11610,225071
11638,12173,Directed,11638_12173,,,1,42520,162,113,0,2523,333
15041,14747,Directed,15041_14747,,,171,3043800,12996,8642,70,4745,15143
13796,15041,Directed,13796_15041,,,1,4974,13,6,0,576,78
12365,10693,Directed,12365_10693,,,1,16500,50,31,0,634,115
11630,12807,Directed,11630_12807,,,3,7862,44,34,0,1028,405
11066,13198,Directed,11066_13198,,,277,5320698,20070,10936,1042,13285,28255
13204,10434,Directed,13204_10434,,,17,623900,2329,1967,0,8496,2186
13230,10599,Directed,13230_10599,,,3,103500,411,407,0,717,328
11267,12891,Directed,11267_12891,,,1,12350,50,46,2,863,169
11563,13127,Directed,11563_13127,,,6,200000,900,763,0,2090,392
15245,12774,Directed,15245_12774,,,1,1750,9,1,3,15,6
14098,13204,Directed,14098_13204,,,351,8800000,41184,34548,0,7944,33716
14120,14457,Directed,14120_14457,,,3,38230,50,50,10654,420,166
15016,10185,Directed,15016_10185,,,1,12646,50,44,0,526,84
12719,10313,Directed,12719_10313,,,2,6950,6,1,7,154,67
12266,14112,Directed,12266_14112,,,1,35645,173,57,5343,779,95
10551,11028,Directed,10551_11028,,,51,109600,295,117,24769,2892,3447
15721,14856,Directed,15721_14856,,,5,20098,26,11,8811,333,126
14321,14685,Directed,14321_14685,,,2,66940,284,210,0,1982,361
14683,10693,Directed,14683_10693,,,677,24886000,92615,78141,198169,21372,72149
13487,14524,Directed,13487_14524,,,411,8888959,33338,26008,215,20370,50344
15581,11643,Directed,15581_11643,,,1,3000,9,9,0,155,56
13930,12953,Directed,13930_12953,,,13702,441209231,1667788,1306133,363692,80630,1364627
10581,14574,Directed,10581_14574,,,1,36000,168,89,0,777,102
14492,14635,Directed,14492_14635,,,18,225000,900,658,0,3335,1976
15376,15370,Directed,15376_15370,,,1,44360,174,141,0,906,122
13930,11278,Directed,13930_11278,,,7238,234223094,903911,702130,30785,56916,596232
11535,15478,Directed,11535_15478,,,139,487555,734,239,44552,3685,3630
10154,12250,Directed,10154_12250,,,14905,32460702,134145,82931,19279,1311,198340
10551,10245,Directed,10551_10245,,,6,193340,16,13,659,928,326
11292,12758,Directed,11292_12758,,,60,4341320,14145,12687,18521,46606,24755
11057,13422,Directed,11057_13422,,,1216,15690612,60909,39363,11691,10520,101045
11931,10155,Directed,11931_10155,,,1,29700,154,141,0,387,55
10620,11879,Directed,10620_11879,,,111,498980,2109,335,0,1005,4939
11193,10434,Directed,11193_10434,,,3,65874,165,148,2,1497,426
