Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
33038,32600,Directed,33038_32600,,,38,761500,0,0,502004,16365,3573
30980,30431,Directed,30980_30431,,,1,8650,37,27,0,153,108
30436,30590,Directed,30436_30590,,,9,282754,1266,1003,0,2664,431
35472,30073,Directed,35472_30073,,,4,7450,27,3,0,210,177
33195,35096,Directed,33195_35096,,,1,39800,199,149,0,1104,131
32211,30928,Directed,32211_30928,,,259,8813579,38851,35810,0,13811,31780
31135,34027,Directed,31135_34027,,,21,759200,3121,1305,0,2435,1576
34713,35167,Directed,34713_35167,,,1,2000,9,8,0,138,32
33873,31845,Directed,33873_31845,,,801,3695570,6873,2721,226666,21079,42051
30529,34082,Directed,30529_34082,,,1,37000,155,139,0,1162,165
33244,30990,Directed,33244_30990,,,1,36199,68,23,0,675,84
30423,31703,Directed,30423_31703,,,1997,62817545,251247,199090,263100,107292,387029
31603,34057,Directed,31603_34057,,,3517,32544881,119260,83201,1394627,5512,114859
31295,30868,Directed,31295_30868,,,497,6306444,25013,17682,0,18656,43920
30349,32370,Directed,30349_32370,,,1,1600,8,4,165,165,56
32448,33195,Directed,32448_33195,,,1,5300,7,2,0,541,78
30849,30466,Directed,30849_30466,,,105,3570000,15750,14344,0,10332,12738
30325,30476,Directed,30325_30476,,,1,39100,140,139,0,792,122
34273,32631,Directed,34273_32631,,,154,510534,1334,640,22818,2066,3552
30184,34559,Directed,30184_34559,,,3,3797,19,4,37,304,136
30208,35502,Directed,30208_35502,,,1,24000,76,30,0,489,76
35774,31336,Directed,35774_31336,,,12,14400,72,1,0,17,84
31703,30189,Directed,31703_30189,,,6,219762,902,824,77,9798,1444
30562,35249,Directed,30562_35249,,,1,12240,50,40,0,233,45
30257,30852,Directed,30257_30852,,,4273,112814553,416090,316701,274765,37521,266787
33211,30977,Directed,33211_30977,,,1,5300,7,5,0,300,60
34477,33055,Directed,34477_33055,,,141,369950,1132,517,118,299,2646
31637,30325,Directed,31637_30325,,,1217,15958297,61186,47193,0,18810,116256
33264,30930,Directed,33264_30930,,,2,15086,60,37,0,162,55
34804,31411,Directed,34804_31411,,,1,1750,9,2,0,165,56
30466,30279,Directed,30466_30279,,,1,36700,137,135,0,602,94
31638,33851,Directed,31638_33851,,,1,12646,50,28,0,1239,150
30779,34614,Directed,30779_34614,,,663,8950500,33150,23719,91,4290,37256
31150,31973,Directed,31150_31973,,,4,154416,600,554,0,568,202
32457,31650,Directed,32457_31650,,,3247,133877070,516092,435597,1350617,228367,609808
33342,33277,Directed,33342_33277,,,1,34054,126,124,0,739,150
30581,34231,Directed,30581_34231,,,8,28000,0,0,5136,810,392
33894,33710,Directed,33894_33710,,,363,706565,2509,822,12608,1148,4080
30257,30792,Directed,30257_30792,,,2,130675,50,1,74266,502,94
