Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
30627,30559,Directed,30627_30559,,,2,43154,172,154,380,2029,305
33304,30590,Directed,33304_30590,,,11,441057,1687,1333,0,12452,1710
30140,33244,Directed,30140_33244,,,355,42458495,128,97,13121151,30144,41174
32467,33832,Directed,32467_33832,,,25,3125000,4446,2134,0,3927,4314
31274,33485,Directed,31274_33485,,,1,10090,44,34,0,86,60
35041,32457,Directed,35041_32457,,,155,2855120,10747,6690,0,5856,14987
31503,30325,Directed,31503_30325,,,643,11734710,45512,30149,0,2280,21228
32575,33851,Directed,32575_33851,,,1061,21196434,79690,51681,64311,46167,154036
33105,30194,Directed,33105_30194,,,3152,91121518,192501,165521,21238256,97434,388345
33667,32223,Directed,33667_32223,,,1,38700,150,135,0,363,54
35412,33495,Directed,35412_33495,,,2,43004,152,122,0,1082,170
32457,31165,Directed,32457_31165,,,1,2000,14,1,0,2470,289
32769,35478,Directed,32769_35478,,,36,75350,181,31,1762,1648,1920
30397,31641,Directed,30397_31641,,,1681,32599820,127443,102240,18093,16542,86717
33495,30436,Directed,33495_30436,,,1,43400,175,167,1283,1233,230
30559,32134,Directed,30559_32134,,,1759,105125527,360572,326597,8183661,165974,605499
33667,30990,Directed,33667_30990,,,1,13500,50,50,0,151,31
31650,30849,Directed,31650_30849,,,852,29812502,115356,101030,62970,39330,107001
33121,35356,Directed,33121_35356,,,1,3450,8,3,0,344,72
32195,32831,Directed,32195_32831,,,2,6400,18,9,0,258,98
30247,30299,Directed,30247_30299,,,2,50000,9,7,279,970,211
32467,34492,Directed,32467_34492,,,2168,72103306,280752,236683,82303,77140,218028
33570,30852,Directed,33570_30852,,,1827,76694616,308492,271764,332313,154296,475348
33214,30255,Directed,33214_30255,,,1,49760,198,195,0,770,156
33195,31871,Directed,33195_31871,,,154,13125165,26069,20123,67026,12517,11123
33767,34102,Directed,33767_34102,,,1,4500,19,9,0,407,104
31267,30135,Directed,31267_30135,,,3,35966,150,70,250,1401,302
30216,32474,Directed,30216_32474,,,2,59800,220,159,0,598,180
30977,35249,Directed,30977_35249,,,1,19092,70,70,0,823,177
33809,33195,Directed,33809_33195,,,1,29700,154,25,0,82,20
30599,31834,Directed,30599_31834,,,2,62607,226,182,0,936,161
30325,35843,Directed,30325_35843,,,9,40500,171,43,0,1650,740
32467,30255,Directed,32467_30255,,,2,68470,277,250,1,1444,257
30194,31931,Directed,30194_31931,,,304,671000,2459,1966,0,4236,24385
32457,33198,Directed,32457_33198,,,1055,24526757,108914,90161,159866,65684,191616
30559,31895,Directed,30559_31895,,,597,10626600,45372,33251,64674,6144,47543
31728,30613,Directed,31728_30613,,,1,3450,8,2,0,59,18
30324,32785,Directed,30324_32785,,,1,1384,5,4,101,44,28
30683,31703,Directed,30683_31703,,,1,40528,166,149,2940,669,104
30590,31122,Directed,30590_31122,,,6,242981,936,496,0,3445,722
30540,35096,Directed,30540_35096,,,3,80630,186,122,0,498,135
30397,30852,Directed,30397_30852,,,18207,637669996,2603803,2170258,1826331,213716,1448508
33316,33029,Directed,33316_33029,,,4,48740,220,138,0,220,73
30590,31603,Directed,30590_31603,,,6,375653,960,723,0,4626,753
33667,33244,Directed,33667_33244,,,486,39056034,190,155,17638619,21868,55732
31973,30868,Directed,31973_30868,,,8,249217,915,625,0,4200,559
