Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
10279,14107,Directed,10279_14107,,,1,51700,187,187,12,602,79
12266,12951,Directed,12266_12951,,,1953,22921618,102130,70114,40722,13065,70215
13931,10821,Directed,13931_10821,,,1601,57133560,236123,185897,633020,6042,59383
13930,13342,Directed,13930_13342,,,4885,67555540,252412,196613,513284,3551,94950
11057,11986,Directed,11057_11986,,,734,14878170,53229,42320,3342,13992,63363
14880,10304,Directed,14880_10304,,,134,192300,797,188,174,2054,5335
11097,12094,Directed,11097_12094,,,1,3500,0,0,592,294,109
13342,10424,Directed,13342_10424,,,1,3500,0,0,1404,162,57
14683,13232,Directed,14683_13232,,,732,25669600,105956,85170,104758,22792,97128
12264,13303,Directed,12264_13303,,,663,26694014,103554,83346,210120,26709,90354
13930,12278,Directed,13930_12278,,,2673,41092988,166418,130876,27760,57624,240803
10819,12448,Directed,10819_12448,,,1,34195,0,0,2512,382,65
13342,15304,Directed,13342_15304,,,640,23090400,96222,67942,34883,34400,88843
12892,10721,Directed,12892_10721,,,4612,182751164,720906,641484,1037910,245434,1378493
13196,13676,Directed,13196_13676,,,303,428400,1633,245,5007,1800,5814
14895,13873,Directed,14895_13873,,,203,640000,1684,557,19122,10168,8492
13341,12953,Directed,13341_12953,,,2,68016,316,111,18898,2208,281
11003,13342,Directed,11003_13342,,,2,168140,0,0,46355,208,74
12339,14683,Directed,12339_14683,,,11,448565,1070,705,65684,10835,1764
13198,14307,Directed,13198_14307,,,2,130584,385,293,15751,2468,303
12831,12807,Directed,12831_12807,,,7,19700,57,11,52,344,214
13244,12884,Directed,13244_12884,,,2,45100,186,181,47,1214,262
14282,12853,Directed,14282_12853,,,117,153225,672,187,8213,969,3422
14679,12889,Directed,14679_12889,,,4498,170381611,680109,513325,439763,17544,221534
16218,10397,Directed,16218_10397,,,6,1224000,0,0,82356,5235,1211
15041,14747,Directed,15041_14747,,,220,3915640,16674,12995,2,5225,19416
11066,13198,Directed,11066_13198,,,9,211995,100,84,57492,3792,874
14120,14457,Directed,14120_14457,,,2,25584,0,0,10456,280,76
12719,10313,Directed,12719_10313,,,1,5600,1,0,528,77,29
15721,14856,Directed,15721_14856,,,5,13200,39,12,1,268,174
14683,10693,Directed,14683_10693,,,675,23057544,96297,81290,192004,20550,70934
14275,12478,Directed,14275_12478,,,1,57000,0,0,21951,518,78
11986,15380,Directed,11986_15380,,,408,1428000,0,0,494378,1548,19643
14492,14635,Directed,14492_14635,,,12,312500,1142,1009,4,3335,1346
12889,10874,Directed,12889_10874,,,103,3827800,15689,12770,25,12922,21939
13930,11278,Directed,13930_11278,,,7520,235579070,921130,760441,55264,76500,628613
11535,15478,Directed,11535_15478,,,120,479100,708,304,16614,2747,2888
10551,10245,Directed,10551_10245,,,47,1389495,87,60,19023,2784,2202
11292,12758,Directed,11292_12758,,,90,3919165,15342,13623,14674,49935,38396
11057,13422,Directed,11057_13422,,,1215,15084160,61350,48842,12228,11046,99679
13121,14307,Directed,13121_14307,,,1,56543,213,152,8221,546,75
10396,13767,Directed,10396_13767,,,6,24870,104,57,250,755,214
11367,12252,Directed,11367_12252,,,9,16050,54,2,733,192,165
11292,13295,Directed,11292_13295,,,20,1559728,0,0,500230,1790,2682
14843,13487,Directed,14843_13487,,,89,4196777,15218,12891,1057,28848,29084
12892,13871,Directed,12892_13871,,,274,9839500,36155,26080,35904,21280,43889
11292,14908,Directed,11292_14908,,,3662,128080343,533308,469223,51174,83754,429902
12003,11637,Directed,12003_11637,,,1,104153,0,0,25164,685,89
12709,10551,Directed,12709_10551,,,1158,1537500,6500,2849,1507,1305,14477
