Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
28,54,Directed,28_54,,,3,53400,210,200,0,1662,255
24,4,Directed,24_4,,,1789,71554433,285914,256264,563440,123902,486133
56,55,Directed,56_55,,,1,23005,150,101,0,1075,145
31,31,Directed,31_31,,,3548,11476460,14939,6048,2874720,28330,160252
25,40,Directed,25_40,,,10,438276,1471,1385,3428,14593,2310
17,12,Directed,17_12,,,28606,1218990721,4503745,3948367,12082077,1180709,3897016
10,23,Directed,10_23,,,1,34000,166,98,0,496,66
12,20,Directed,12_20,,,30,1869853,4893,4184,4204,13674,4627
40,33,Directed,40_33,,,1,213390,102,99,37401,1523,184
38,39,Directed,38_39,,,6,286946,422,290,25890,5392,690
37,10,Directed,37_10,,,10,685426,1683,1081,0,2297,657
38,24,Directed,38_24,,,1,2127,9,1,0,1079,0
29,20,Directed,29_20,,,704,35521965,70821,53899,4167823,12309,39568
48,24,Directed,48_24,,,6697,255015171,1019613,888292,2760435,341950,1030427
38,4,Directed,38_4,,,683,54474973,108230,94163,0,155114,108906
42,21,Directed,42_21,,,6331,298301772,247245,172794,127149404,137916,533485
27,78,Directed,27_78,,,16,689663,2556,1976,0,14694,4466
2,13,Directed,2_13,,,863,201715645,26330,24687,160782886,314364,42284
40,54,Directed,40_54,,,10,323330,1227,774,10907,7756,1168
9,32,Directed,9_32,,,299,11111000,45541,41602,81372,45940,93024
56,49,Directed,56_49,,,3270,55592784,205584,144430,305461,28382,168056
37,41,Directed,37_41,,,313,16046800,58117,50155,19305,36512,94574
5,13,Directed,5_13,,,4995,125283702,521606,403703,131519,95355,366083
4,12,Directed,4_12,,,3705,169073945,639937,566222,664948,289525,808271
40,42,Directed,40_42,,,3,149720,325,223,0,2222,407
38,40,Directed,38_40,,,2,124790,79,56,21234,1611,239
25,49,Directed,25_49,,,1017,40803505,158928,138299,232210,115662,297582
24,47,Directed,24_47,,,3039,165574704,353899,269075,43126394,76902,295821
2,1,Directed,2_1,,,100,34201058,0,0,23835211,72226,35717
1,29,Directed,1_29,,,10,264426,866,543,5224,4789,997
8,56,Directed,8_56,,,5851,79597085,309195,204495,206073,49265,282021
12,29,Directed,12_29,,,7867,304233897,1196156,993981,865971,455284,1093929
47,33,Directed,47_33,,,534,67328547,8,3,41246120,28104,70281
4,39,Directed,4_39,,,2068,108296899,255567,218547,13645597,240357,407470
38,30,Directed,38_30,,,3,41850,176,155,1300,1289,299
53,22,Directed,53_22,,,384,17362762,67556,60398,26304,61560,93980
24,1,Directed,24_1,,,385,12978100,54905,40536,48521,19150,38783
25,18,Directed,25_18,,,2083,108525922,160420,116253,38121258,105753,258482
20,39,Directed,20_39,,,3,98648,341,266,2045,2328,304
8,46,Directed,8_46,,,3548,59060047,240761,192884,2604,70220,210070
45,28,Directed,45_28,,,41,1041628,3818,2801,3178,21118,3494
42,39,Directed,42_39,,,7317,178060429,419713,289867,26216592,91350,488767
21,42,Directed,21_42,,,6343,307528138,247463,172232,141609290,143230,478966
37,48,Directed,37_48,,,15566,556274551,2088966,1726182,643699,506258,2208249
5,18,Directed,5_18,,,15,310105,1103,919,20173,7361,1373
39,41,Directed,39_41,,,57,2075320,10184,8104,0,16349,15547
51,33,Directed,51_33,,,1185,21036340,77619,54900,3510,21894,76496
49,6,Directed,49_6,,,26990,821494604,2928449,2454009,29402957,684475,2390264
42,46,Directed,42_46,,,1,10841,50,27,0,874,123
