Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
30627,30559,Directed,30627_30559,,,1,40770,160,147,0,1015,152
33304,30590,Directed,33304_30590,,,11,422642,1614,1265,0,12452,1673
33535,31615,Directed,33535_31615,,,1,3450,9,2,0,214,60
35041,32457,Directed,35041_32457,,,152,2710260,10640,6795,0,4696,14473
31503,30325,Directed,31503_30325,,,706,12498773,50783,32211,39,1920,25288
30559,30397,Directed,30559_30397,,,2937,152018910,556218,514251,4166636,218201,732232
33105,30194,Directed,33105_30194,,,3318,100405460,209991,177429,17804565,80381,410816
31977,33367,Directed,31977_33367,,,2,20000,100,82,0,242,199
34057,31898,Directed,34057_31898,,,1,34700,149,111,0,1212,151
32252,31367,Directed,32252_31367,,,3,5550,18,3,27,24,50
35412,33495,Directed,35412_33495,,,1,10000,50,44,0,541,100
34025,30852,Directed,34025_30852,,,4,30100,120,120,0,1236,419
32769,35478,Directed,32769_35478,,,20,47800,78,44,1418,1339,1042
30397,31641,Directed,30397_31641,,,1773,33296570,126825,100307,15452,15226,90625
30245,32631,Directed,30245_32631,,,66,178400,592,168,26234,4845,4833
30559,32134,Directed,30559_32134,,,1887,111330380,382955,330526,7269126,171328,644758
33667,30990,Directed,33667_30990,,,1,8650,37,19,0,128,40
33244,30599,Directed,33244_30599,,,480,20569908,519,399,11516233,6330,19951
32448,31205,Directed,32448_31205,,,3,30000,150,130,0,480,215
31650,30849,Directed,31650_30849,,,858,29637646,114557,102578,79737,43700,107152
32195,32831,Directed,32195_32831,,,2,5600,17,2,0,258,104
30247,30299,Directed,30247_30299,,,4,65480,67,25,343,1940,417
32467,34492,Directed,32467_34492,,,2159,72791930,285036,241632,96040,66760,216073
33570,30852,Directed,33570_30852,,,2000,78777346,325088,291534,388351,201567,522782
31447,34457,Directed,31447_34457,,,2,27000,100,24,0,690,106
33195,31871,Directed,33195_31871,,,163,14724885,27515,21860,73602,12050,11720
33486,30620,Directed,33486_30620,,,1,17800,76,76,940,276,48
30666,31588,Directed,30666_31588,,,124,426746,9,6,162272,450,5497
30599,32448,Directed,30599_32448,,,2,25740,100,78,0,424,90
30977,35249,Directed,30977_35249,,,1,21803,76,70,0,823,199
30599,31834,Directed,30599_31834,,,1,34000,166,136,0,468,72
30325,35843,Directed,30325_35843,,,6,27000,114,40,0,1320,559
30977,32441,Directed,30977_32441,,,387,14220994,55548,45396,2439,33698,62214
30194,31931,Directed,30194_31931,,,43,68800,344,165,0,706,3272
32457,33198,Directed,32457_33198,,,964,21746404,96887,85302,175334,62728,176437
30590,31122,Directed,30590_31122,,,4,137138,522,373,0,2756,362
30977,30427,Directed,30977_30427,,,1,34700,149,1,0,33,13
30540,35096,Directed,30540_35096,,,3,105000,450,91,0,747,165
31537,30852,Directed,31537_30852,,,1,36000,124,119,0,228,45
30397,30852,Directed,30397_30852,,,17029,602464626,2448550,2014650,1957759,186767,1342195
33244,32474,Directed,33244_32474,,,1,42500,173,143,0,288,53
30590,31603,Directed,30590_31603,,,6,253244,972,854,0,4626,672
34696,31995,Directed,34696_31995,,,2,77624,320,232,0,1034,150
34102,34125,Directed,34102_34125,,,89,358500,910,355,3493,3886,3631
31227,32709,Directed,31227_32709,,,1,1350,6,6,0,109,51
30928,33198,Directed,30928_33198,,,55,4226595,1356,830,596747,4464,1844
30599,34653,Directed,30599_34653,,,1,20210,76,50,0,550,181
31714,30325,Directed,31714_30325,,,407,21112641,63898,56175,904,56245,90800
30158,30994,Directed,30158_30994,,,7,206618,771,498,0,3815,562
33987,32244,Directed,33987_32244,,,1,3450,8,1,0,20,6
30590,30693,Directed,30590_30693,,,5,157172,582,498,0,7825,938
34952,30852,Directed,34952_30852,,,6,264026,972,958,0,4080,512
32457,30423,Directed,32457_30423,,,3228,107925305,443134,357592,644252,228992,588715
