Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1208,41486506,174546,134629,374141,72150,150094
30,56,Directed,30_56,,,26,870009,1011,765,121597,7647,1844
21,17,Directed,21_17,,,14850,358633579,878475,672123,87432389,137082,807278
8,51,Directed,8_51,,,4891,237184773,775591,676065,669270,237414,827605
25,13,Directed,25_13,,,5426,216795355,851281,748843,1740401,142030,748507
47,24,Directed,47_24,,,2945,154529081,346745,260200,44970794,71519,254440
20,32,Directed,20_32,,,504,17332266,75189,66667,19626,35418,69157
45,21,Directed,45_21,,,617,63906937,15459,12372,32052550,28101,36470
49,51,Directed,49_51,,,687,31480608,116730,106450,12998,62949,144888
26,8,Directed,26_8,,,4223,149828179,577971,517385,375431,286839,663287
32,35,Directed,32_35,,,1395,47999200,201405,156598,193678,18885,89766
39,48,Directed,39_48,,,8006,231117717,887601,702663,2564668,351466,1161572
2,48,Directed,2_48,,,1281,287472852,40230,36785,209400259,349335,77836
42,49,Directed,42_49,,,672,28566122,97310,79592,413735,90302,178862
45,47,Directed,45_47,,,1027,55270028,54370,44198,18675966,32389,72813
24,49,Directed,24_49,,,1072,41860575,165142,151216,465475,80195,276888
13,44,Directed,13_44,,,1024,33386010,149318,131649,137295,26187,117345
33,47,Directed,33_47,,,524,66246632,338,183,35303736,29500,85461
24,27,Directed,24_27,,,1227,45687623,185706,148242,54631,73008,165334
23,18,Directed,23_18,,,3,93409,109,43,26374,2645,308
37,72,Directed,37_72,,,821,56593777,143851,130379,4364891,78247,152094
33,37,Directed,33_37,,,705,14421320,52328,47110,1678,38844,85482
26,6,Directed,26_6,,,4426,243265245,875771,778968,2602941,402595,1171420
41,17,Directed,41_17,,,3074,121396820,491755,456760,850329,261047,634193
40,12,Directed,40_12,,,272,15040708,44786,37377,57600,69327,35628
26,15,Directed,26_15,,,1,250000,0,0,47193,4457,517
44,18,Directed,44_18,,,204,12916243,522,306,5191710,12564,21436
37,33,Directed,37_33,,,709,14390534,52254,45239,1014,38817,72076
17,47,Directed,17_47,,,14364,402326550,1015653,841032,87571143,196008,973869
36,26,Directed,36_26,,,16511,357676372,1388389,1103639,2448413,341492,1205875
29,34,Directed,29_34,,,3414,58073048,248923,198277,243578,98496,428935
49,16,Directed,49_16,,,8784,173293867,448562,357429,20937916,75898,403940
2,41,Directed,2_41,,,973,39035469,156417,127641,825137,89657,186050
26,9,Directed,26_9,,,1629,49413805,199667,170564,52622,47763,118755
21,19,Directed,21_19,,,377,33695508,535,433,21969231,21253,25143
27,38,Directed,27_38,,,10522,179810049,687429,517485,420507,119096,640491
19,42,Directed,19_42,,,154,18986569,360,201,9445760,17753,18442
23,17,Directed,23_17,,,1171,19149306,76907,67996,185028,43887,161336
27,13,Directed,27_13,,,5557,238601739,897979,772643,1130115,168357,655357
39,22,Directed,39_22,,,62,1861259,4245,2616,436608,36237,7884
29,9,Directed,29_9,,,12,343148,1299,908,4622,11024,1707
