Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
14711,14100,Directed,14711_14100,,,1532,18208438,67212,50290,1075,3825,59250
11298,10980,Directed,11298_10980,,,680,8826310,33916,29969,224,13205,63767
13487,13230,Directed,13487_13230,,,2,74879,274,186,0,1796,437
14831,15383,Directed,14831_15383,,,1,2266,9,6,0,149,0
12889,11423,Directed,12889_11423,,,592,21267397,93616,84146,9867,52288,85172
13891,11109,Directed,13891_11109,,,2,31440,120,107,0,1578,290
10590,15919,Directed,10590_15919,,,3,119135,453,267,0,3417,518
15412,13809,Directed,15412_13809,,,1,51860,180,169,0,469,66
14802,15096,Directed,14802_15096,,,1,35000,150,104,0,365,60
14122,12878,Directed,14122_12878,,,1,42500,173,38,0,353,65
12266,13871,Directed,12266_13871,,,1458,18174110,82264,71160,868,48422,159159
12855,14234,Directed,12855_14234,,,3,2700,9,3,54,186,164
10279,14107,Directed,10279_14107,,,3,107600,426,396,14,1806,368
12807,12769,Directed,12807_12769,,,304,711750,2253,849,18559,2652,9779
13871,13930,Directed,13871_13930,,,3532,67543689,263675,221343,24689,64064,231536
10732,12197,Directed,10732_12197,,,1,5300,8,2,0,1603,258
10590,11140,Directed,10590_11140,,,10,330399,1230,1095,0,11260,1396
13264,11921,Directed,13264_11921,,,1,13500,50,49,0,785,140
10785,10434,Directed,10785_10434,,,1,12240,50,50,0,253,65
12278,13502,Directed,12278_13502,,,1,17500,71,71,0,573,114
12992,11049,Directed,12992_11049,,,2,66660,309,177,0,748,118
15278,14805,Directed,15278_14805,,,1,3500,9,6,0,70,29
10135,12324,Directed,10135_12324,,,141,15137180,0,0,5439962,3608,10231
14709,11833,Directed,14709_11833,,,1,4500,9,4,0,264,79
16428,10011,Directed,16428_10011,,,8,25600,1,1,0,134,471
12185,14120,Directed,12185_14120,,,580,3111000,13762,1956,1535,1326,15950
11298,14685,Directed,11298_14685,,,936,13502300,53264,42879,456,25900,108481
10241,12719,Directed,10241_12719,,,13,19650,65,26,1087,424,367
10551,13369,Directed,10551_13369,,,1148,2201025,7165,2485,96105,7575,44154
15502,13076,Directed,15502_13076,,,1,28603,99,95,0,636,90
11921,11292,Directed,11921_11292,,,1552,24583678,99677,72703,44493,13144,69264
15624,14683,Directed,15624_14683,,,1,10000,50,37,0,719,140
10783,10247,Directed,10783_10247,,,221,539216,1955,619,22498,2210,7555
10781,11778,Directed,10781_11778,,,1,13500,50,42,0,380,73
11643,13196,Directed,11643_13196,,,4,14700,46,16,2118,828,404
10721,15024,Directed,10721_15024,,,206,7704400,30900,27651,36953,16930,43189
12544,10194,Directed,12544_10194,,,14,566400,2257,1551,0,5784,2083
12758,10397,Directed,12758_10397,,,2,376316,0,0,38178,4447,933
14524,14098,Directed,14524_14098,,,1,12240,50,27,0,52,18
11003,10990,Directed,11003_10990,,,1,42500,173,35,0,748,95
14493,13196,Directed,14493_13196,,,3,10200,27,14,3350,196,122
11865,12389,Directed,11865_12389,,,1,13500,50,25,0,280,45
14730,11995,Directed,14730_11995,,,210,20141247,628,349,16246166,6650,10057
13930,10926,Directed,13930_10926,,,1,40580,163,162,3,2693,365
11292,10409,Directed,11292_10409,,,1,4500,19,2,0,519,144
14107,13476,Directed,14107_13476,,,1063,16062920,63876,53214,1789,19136,97334
11259,11531,Directed,11259_11531,,,328,984000,2952,1753,0,2124,26689
12266,11726,Directed,12266_11726,,,2,324000,700,0,10227,618,166
15589,11869,Directed,15589_11869,,,518,1813000,9842,8189,0,1368,25592
12451,10868,Directed,12451_10868,,,1,51560,181,181,0,240,105
13931,10821,Directed,13931_10821,,,1284,44757499,187752,155281,781649,6519,49031
10466,13502,Directed,10466_13502,,,25,850000,4150,1855,0,1248,1692
15016,10423,Directed,15016_10423,,,193,6557267,27203,20726,25003,12978,19472
10154,16353,Directed,10154_16353,,,1,3450,8,2,0,74,24
12992,10693,Directed,12992_10693,,,2,78000,318,315,445,654,94
14100,10868,Directed,14100_10868,,,829,13618093,40449,33053,833020,8891,67389
11470,14747,Directed,11470_14747,,,1039,18436800,78660,62317,12018,1584,35769
12451,10397,Directed,12451_10397,,,5608,236026830,917802,788174,387616,28890,260688
11697,10599,Directed,11697_10599,,,5,206512,785,759,896,3250,651
14314,13796,Directed,14314_13796,,,103,9640800,16088,13668,0,8274,8850
10408,12889,Directed,10408_12889,,,103,3539600,17294,15839,0,21140,21012
12896,15376,Directed,12896_15376,,,1,34700,150,35,0,541,79
14107,10792,Directed,14107_10792,,,364,13944134,56923,51153,40993,45888,79149
12982,14107,Directed,12982_14107,,,366,18268200,69087,58048,1026,35748,121230
10590,11898,Directed,10590_11898,,,4,173628,648,459,0,5024,702
13347,13034,Directed,13347_13034,,,217,2278500,10368,2024,816,324,13
12197,10135,Directed,12197_10135,,,1,10000,50,8,0,95,36
12394,12197,Directed,12394_12197,,,1,6000,9,2,0,285,72
13377,12266,Directed,13377_12266,,,861,7785940,38910,27190,0,6550,42682
14574,12953,Directed,14574_12953,,,277,4087646,13850,8267,164,4860,18745
13232,10590,Directed,13232_10590,,,5,176217,648,513,0,7585,1001
14100,10299,Directed,14100_10299,,,1,118154,0,0,69342,3379,443
12892,11921,Directed,12892_11921,,,69,1620201,7071,5600,485,13755,7630
11057,11986,Directed,11057_11986,,,704,11148222,37058,31578,3055,8745,61565
12892,13198,Directed,12892_13198,,,1772,53949139,214639,165186,1112945,91321,293706
