Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
14711,14100,Directed,14711_14100,,,1532,18208438,67212,50290,1075,3825,59250
11298,10980,Directed,11298_10980,,,680,8826310,33916,29969,224,13205,63767
12889,11423,Directed,12889_11423,,,592,21267397,93616,84146,9867,52288,85172
12266,13871,Directed,12266_13871,,,1458,18174110,82264,71160,868,48422,159159
12855,14234,Directed,12855_14234,,,3,2700,9,3,54,186,164
10279,14107,Directed,10279_14107,,,3,107600,426,396,14,1806,368
12807,12769,Directed,12807_12769,,,304,711750,2253,849,18559,2652,9779
13871,13930,Directed,13871_13930,,,3532,67543689,263675,221343,24689,64064,231536
10135,12324,Directed,10135_12324,,,141,15137180,0,0,5439962,3608,10231
12185,14120,Directed,12185_14120,,,580,3111000,13762,1956,1535,1326,15950
11298,14685,Directed,11298_14685,,,936,13502300,53264,42879,456,25900,108481
10241,12719,Directed,10241_12719,,,13,19650,65,26,1087,424,367
10551,13369,Directed,10551_13369,,,1148,2201025,7165,2485,96105,7575,44154
11921,11292,Directed,11921_11292,,,1552,24583678,99677,72703,44493,13144,69264
10783,10247,Directed,10783_10247,,,221,539216,1955,619,22498,2210,7555
11643,13196,Directed,11643_13196,,,4,14700,46,16,2118,828,404
10721,15024,Directed,10721_15024,,,206,7704400,30900,27651,36953,16930,43189
12758,10397,Directed,12758_10397,,,2,376316,0,0,38178,4447,933
14493,13196,Directed,14493_13196,,,3,10200,27,14,3350,196,122
14730,11995,Directed,14730_11995,,,210,20141247,628,349,16246166,6650,10057
13930,10926,Directed,13930_10926,,,1,40580,163,162,3,2693,365
14107,13476,Directed,14107_13476,,,1063,16062920,63876,53214,1789,19136,97334
12266,11726,Directed,12266_11726,,,2,324000,700,0,10227,618,166
13931,10821,Directed,13931_10821,,,1284,44757499,187752,155281,781649,6519,49031
15016,10423,Directed,15016_10423,,,193,6557267,27203,20726,25003,12978,19472
12992,10693,Directed,12992_10693,,,2,78000,318,315,445,654,94
14100,10868,Directed,14100_10868,,,829,13618093,40449,33053,833020,8891,67389
11470,14747,Directed,11470_14747,,,1039,18436800,78660,62317,12018,1584,35769
12451,10397,Directed,12451_10397,,,5608,236026830,917802,788174,387616,28890,260688
11697,10599,Directed,11697_10599,,,5,206512,785,759,896,3250,651
14107,10792,Directed,14107_10792,,,364,13944134,56923,51153,40993,45888,79149
12982,14107,Directed,12982_14107,,,366,18268200,69087,58048,1026,35748,121230
13347,13034,Directed,13347_13034,,,217,2278500,10368,2024,816,324,13
14574,12953,Directed,14574_12953,,,277,4087646,13850,8267,164,4860,18745
14100,10299,Directed,14100_10299,,,1,118154,0,0,69342,3379,443
12892,11921,Directed,12892_11921,,,69,1620201,7071,5600,485,13755,7630
11057,11986,Directed,11057_11986,,,704,11148222,37058,31578,3055,8745,61565
12892,13198,Directed,12892_13198,,,1772,53949139,214639,165186,1112945,91321,293706
14880,10304,Directed,14880_10304,,,125,196700,771,180,742,2370,5067
10721,11996,Directed,10721_11996,,,5,200660,793,764,980,3975,766
10693,11697,Directed,10693_11697,,,843,30408866,126498,106869,205266,32513,91253
12992,11659,Directed,12992_11659,,,1,5600,0,0,2619,637,105
11423,13295,Directed,11423_13295,,,55,5473590,0,0,2780399,20623,10507
12892,13871,Directed,12892_13871,,,69,2332086,9697,9086,10001,11970,11044
13577,10397,Directed,13577_10397,,,1671,41031583,160507,126774,16882,20922,93692
12391,10721,Directed,12391_10721,,,1,34600,143,139,2354,153,35
12889,12217,Directed,12889_12217,,,1,51860,184,181,235,1600,233
10155,11823,Directed,10155_11823,,,5,107115,0,0,55334,930,568
13970,12676,Directed,13970_12676,,,1,47000,0,0,194,286,66
12266,15370,Directed,12266_15370,,,2713,33859753,156055,123057,18948,24024,179633
11066,11042,Directed,11066_11042,,,12,201374,909,600,407,784,342
10194,10800,Directed,10194_10800,,,42,4447537,0,0,1085531,13354,8495
14683,13232,Directed,14683_13232,,,734,26607734,109417,88164,207595,26936,97476
10397,11697,Directed,10397_11697,,,8074,362059596,1385672,1214989,640640,81921,683291
13930,12278,Directed,13930_12278,,,2558,33892984,142273,116516,1274,47040,230103
11638,13244,Directed,11638_13244,,,8,478700,150,132,94541,9996,1564
11433,13487,Directed,11433_13487,,,2980,126227565,471584,394284,1413228,80256,259445
13347,12173,Directed,13347_12173,,,4815,26979200,85095,52608,131283,1890,141401
12094,12266,Directed,12094_12266,,,193,4653980,21674,14038,469,16745,24848
10754,10247,Directed,10754_10247,,,20,87400,369,162,2760,1992,1308
12278,12055,Directed,12278_12055,,,1,5600,0,0,894,600,90
15016,11540,Directed,15016_11540,,,1,23340,0,0,6255,1022,260
12705,15091,Directed,12705_15091,,,44,61248,181,60,7738,168,745
12478,11298,Directed,12478_11298,,,928,32968620,122762,101134,467118,58422,181609
12889,14831,Directed,12889_14831,,,3052,104537480,438252,348681,346289,16984,187883
13422,10599,Directed,13422_10599,,,1,29900,110,94,5,216,102
12819,15741,Directed,12819_15741,,,376,771780,3012,84,4720,20,752
10599,10423,Directed,10599_10423,,,6,147770,584,523,942,4092,744
14057,11648,Directed,14057_11648,,,147,2616600,11172,9233,874,2622,10478
13830,14747,Directed,13830_14747,,,1344,81708080,272350,235762,480591,113520,414680
13806,10139,Directed,13806_10139,,,236,683300,2021,761,18226,1484,2692
12953,11618,Directed,12953_11618,,,2,66150,284,281,2,34,53
