Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
30140,33244,Directed,30140_33244,,,292,33844412,0,0,11315871,29202,33665
31503,30325,Directed,31503_30325,,,706,12498773,50783,32211,39,1920,25288
30559,30397,Directed,30559_30397,,,2937,152018910,556218,514251,4166636,218201,732232
33105,30194,Directed,33105_30194,,,3318,100405460,209991,177429,17804565,80381,410816
32223,32951,Directed,32223_32951,,,1,62965,0,0,15306,779,117
32252,31367,Directed,32252_31367,,,3,5550,18,3,27,24,50
32769,35478,Directed,32769_35478,,,20,47800,78,44,1418,1339,1042
30397,31641,Directed,30397_31641,,,1773,33296570,126825,100307,15452,15226,90625
30245,32631,Directed,30245_32631,,,66,178400,592,168,26234,4845,4833
30559,32134,Directed,30559_32134,,,1887,111330380,382955,330526,7269126,171328,644758
33244,30599,Directed,33244_30599,,,480,20569908,519,399,11516233,6330,19951
31650,30849,Directed,31650_30849,,,858,29637646,114557,102578,79737,43700,107152
30247,30299,Directed,30247_30299,,,4,65480,67,25,343,1940,417
32467,34492,Directed,32467_34492,,,2159,72791930,285036,241632,96040,66760,216073
33570,30852,Directed,33570_30852,,,2000,78777346,325088,291534,388351,201567,522782
33195,31871,Directed,33195_31871,,,163,14724885,27515,21860,73602,12050,11720
33486,30620,Directed,33486_30620,,,1,17800,76,76,940,276,48
30666,31588,Directed,30666_31588,,,124,426746,9,6,162272,450,5497
31066,32134,Directed,31066_32134,,,1,250000,0,0,125350,4518,533
30977,32441,Directed,30977_32441,,,387,14220994,55548,45396,2439,33698,62214
32457,33198,Directed,32457_33198,,,964,21746404,96887,85302,175334,62728,176437
31517,31555,Directed,31517_31555,,,2,38230,0,0,3726,626,292
30397,30852,Directed,30397_30852,,,17029,602464626,2448550,2014650,1957759,186767,1342195
30599,32119,Directed,30599_32119,,,1,18500,0,0,9557,656,114
30640,30923,Directed,30640_30923,,,5,28000,0,0,7615,115,55
34102,34125,Directed,34102_34125,,,89,358500,910,355,3493,3886,3631
30928,33198,Directed,30928_33198,,,55,4226595,1356,830,596747,4464,1844
31714,30325,Directed,31714_30325,,,407,21112641,63898,56175,904,56245,90800
30299,31512,Directed,30299_31512,,,3,101000,0,0,55537,1362,330
31871,33256,Directed,31871_33256,,,1,21500,0,0,4242,1126,178
30397,34512,Directed,30397_34512,,,17,1365217,0,0,817199,1929,1581
32457,30423,Directed,32457_30423,,,3228,107925305,443134,357592,644252,228992,588715
31588,31646,Directed,31588_31646,,,1137,3189432,5865,2535,340136,560,10849
31986,32337,Directed,31986_32337,,,205,21408296,213,176,11247748,3774,8825
30325,31267,Directed,30325_31267,,,864,20637521,84825,74023,49441,62930,111161
30317,33198,Directed,30317_33198,,,1,5600,0,0,2638,575,105
31650,33486,Directed,31650_33486,,,588,19311288,72149,60702,17980,37481,85427
30721,32457,Directed,30721_32457,,,4468,180084640,742003,650875,1194751,232344,1615253
34057,30423,Directed,34057_30423,,,104,2508756,11139,9836,9996,20580,21816
30466,31454,Directed,30466_31454,,,1384,67637645,251280,220751,464865,77658,302516
30299,33105,Directed,30299_33105,,,1194,330388042,24,0,290851869,199040,398243
30852,30581,Directed,30852_30581,,,741,10643153,38364,31042,1085,13540,60360
31517,30559,Directed,31517_30559,,,1546,61803527,245837,194834,203875,99645,291278
30559,34614,Directed,30559_34614,,,3911,149950796,559912,470937,1104177,119239,353511
30299,35478,Directed,30299_35478,,,1047,11566500,16059,8638,1460682,45195,92118
34614,31066,Directed,34614_31066,,,10,826111,0,0,72065,3058,1838
34474,32214,Directed,34474_32214,,,7,18500,60,19,985,504,183
31295,34057,Directed,31295_34057,,,251,12090233,44487,40605,18884,60534,64933
31123,31057,Directed,31123_31057,,,2058,59872109,207187,180040,17246,32775,170139
34102,30073,Directed,34102_30073,,,2,94000,0,0,22926,466,192
30113,35257,Directed,30113_35257,,,773,1123600,4375,1603,98494,3071,17691
35412,30693,Directed,35412_30693,,,4,138673,325,177,7919,608,160
35165,34027,Directed,35165_34027,,,2,255890,427,293,56987,2098,283
31007,31517,Directed,31007_31517,,,69,243594,554,106,23435,4146,3812
32784,34273,Directed,32784_34273,,,30,84200,270,90,1537,760,920
31454,31295,Directed,31454_31295,,,2874,148245274,568505,494767,221185,97614,371807
31703,33198,Directed,31703_33198,,,2527,46650558,185562,149157,38145,134429,407397
30466,32523,Directed,30466_32523,,,1,39680,163,143,18,2015,302
30194,34524,Directed,30194_34524,,,881,32835660,123222,98413,42870,24291,124735
32945,31267,Directed,32945_31267,,,1,21500,0,0,4497,130,30
30852,35412,Directed,30852_35412,,,1667,20471078,84412,58427,20102,22066,116255
34100,30146,Directed,34100_30146,,,17,1247783,0,0,615182,1526,1961
30245,34464,Directed,30245_34464,,,14,17500,93,12,2448,420,628
32467,30198,Directed,32467_30198,,,1519,44518259,172630,139258,84492,64053,203830
33198,30397,Directed,33198_30397,,,3790,150908517,601079,504845,393802,69892,350401
35709,33873,Directed,35709_33873,,,455,1426070,3908,1186,12088,11663,17853
34100,32467,Directed,34100_32467,,,4901,247569227,820850,674028,4244493,187751,688028
32575,33195,Directed,32575_33195,,,646,26377023,100143,86383,191103,90621,160669
34627,35257,Directed,34627_35257,,,9,19600,48,15,685,392,221
35887,33710,Directed,35887_33710,,,216,405975,1513,485,8223,2013,4047
30721,31267,Directed,30721_31267,,,4,97388,412,360,625,2836,516
30693,30852,Directed,30693_30852,,,5544,140831175,574926,428106,578643,78253,434956
30928,30693,Directed,30928_30693,,,1,32870,149,142,16,605,114
34574,30599,Directed,34574_30599,,,1,63254,0,0,28272,462,83
33949,32467,Directed,33949_32467,,,1,23000,0,0,2800,1337,180
33244,33277,Directed,33244_33277,,,1,13500,0,0,50,280,55
30397,31517,Directed,30397_31517,,,1,268400,0,0,154970,3372,0
34711,32070,Directed,34711_32070,,,4,26330,74,59,3881,292,316
34696,33244,Directed,34696_33244,,,247,15542405,0,0,7164286,6012,19230
30325,30194,Directed,30325_30194,,,8761,344761232,1204833,1076886,8220433,168788,784991
32896,34842,Directed,32896_34842,,,2,38230,0,0,10552,354,418
31884,33044,Directed,31884_33044,,,46,4880085,0,0,1564936,22425,8995
30436,30397,Directed,30436_30397,,,677,26705210,109389,99221,61866,30820,123870
31550,31517,Directed,31550_31517,,,4,108000,0,0,4528,1054,520
32855,35798,Directed,32855_35798,,,8,17500,31,18,3510,133,97
31823,30298,Directed,31823_30298,,,1,34195,5,0,897,511,79
32365,34100,Directed,32365_34100,,,844,7300600,30964,21858,840,1560,34195
36553,30299,Directed,36553_30299,,,6,33000,96,80,3623,1506,929
30620,33316,Directed,30620_33316,,,97,9794133,0,0,3007944,9178,8550
33970,33806,Directed,33970_33806,,,264,902625,1980,744,116982,9455,14553
36133,30476,Directed,36133_30476,,,1,23340,0,0,10979,947,66
31895,30299,Directed,31895_30299,,,1,47000,0,0,4038,1788,318
34100,35412,Directed,34100_35412,,,636,7928988,32152,21787,3078,12742,55731
31511,31053,Directed,31511_31053,,,2,5200,18,5,2,122,60
31612,31057,Directed,31612_31057,,,917,11389780,46364,32720,6963,7452,63537
