Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,weight,FREIGHT,DISTANCE,AIR_TIME
33304,30590,Directed,33304_30590,,,7,278872,1114,922,0,7924,1049
31503,30325,Directed,31503_30325,,,923,19935315,76734,39221,60,3388,28681
32575,33851,Directed,32575_33851,,,1183,20576953,76851,54375,75985,51939,169017
33105,30194,Directed,33105_30194,,,3239,64208774,163241,110410,12676314,79569,394936
34057,31898,Directed,34057_31898,,,1,35000,156,109,0,1212,158
31066,30590,Directed,31066_30590,,,1,27000,130,51,0,1760,216
35412,33495,Directed,35412_33495,,,1,33870,142,118,0,541,80
32769,35478,Directed,32769_35478,,,15,23675,30,9,974,618,773
30397,31641,Directed,30397_31641,,,2994,45634607,172772,134191,6961,10592,151244
32945,31995,Directed,32945_31995,,,2,62906,186,40,0,580,147
30416,32779,Directed,30416_32779,,,1,900,3,1,0,191,126
30559,32134,Directed,30559_32134,,,1562,91101505,307468,276665,5758214,112434,528755
35793,32253,Directed,35793_32253,,,1,1200,6,1,0,24,16
30423,34492,Directed,30423_34492,,,3,87134,328,319,1112,3486,510
34601,33676,Directed,34601_33676,,,11,14300,50,16,0,448,347
31650,30849,Directed,31650_30849,,,862,26287958,100442,85348,40121,41952,110192
31295,31067,Directed,31295_31067,,,3,81100,346,213,0,870,157
32467,34492,Directed,32467_34492,,,1816,65083432,259376,213509,114428,50180,183346
33570,30852,Directed,33570_30852,,,1982,78611520,307436,272755,339222,181329,524620
31844,30304,Directed,31844_30304,,,1,3450,19,10,69,233,51
33214,30255,Directed,33214_30255,,,1,13500,50,49,0,770,149
33195,31871,Directed,33195_31871,,,166,5667200,25077,23282,189,6738,11542
31603,31986,Directed,31603_31986,,,1,40330,162,124,0,1879,212
30590,31140,Directed,30590_31140,,,10,318645,1416,1308,0,11260,1405
31267,30135,Directed,31267_30135,,,5,58960,250,216,250,2335,497
30666,31588,Directed,30666_31588,,,2044,3579300,7696,450,330519,666,23219
30599,32448,Directed,30599_32448,,,2,67470,286,211,1141,424,91
33667,33987,Directed,33667_33987,,,1,5300,7,4,0,350,60
33809,33195,Directed,33809_33195,,,1,30518,58,42,0,85,0
30599,31834,Directed,30599_31834,,,3,61500,237,209,0,1404,209
30325,35843,Directed,30325_35843,,,12,54000,228,82,0,2310,1077
30977,32441,Directed,30977_32441,,,318,14603850,54828,43536,2351,25564,50202
31136,32575,Directed,31136_32575,,,1,34600,137,125,0,2106,297
