Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
32,40,Directed,32_40,,,1098,36740987,149374,120807,342411,60881,137527
30,56,Directed,30_56,,,9,280276,200,173,41479,2914,652
21,17,Directed,21_17,,,15640,345827508,892791,602670,76989383,126227,836581
55,30,Directed,55_30,,,2,228085,0,0,83696,2076,282
8,51,Directed,8_51,,,5592,214895888,848408,722107,897159,248887,963664
24,28,Directed,24_28,,,367,11985620,49548,28976,64013,29162,47469
18,44,Directed,18_44,,,4,212335,552,391,34493,3195,410
4,30,Directed,4_30,,,494,16837963,80648,72574,0,54787,60763
25,13,Directed,25_13,,,5540,210738664,833654,723670,1819173,123972,760409
47,24,Directed,47_24,,,2721,141834925,293828,218388,47011398,46103,232899
20,32,Directed,20_32,,,237,8058000,37982,34365,0,11832,32958
45,21,Directed,45_21,,,866,54083877,23340,14411,26667765,29515,50959
16,22,Directed,16_22,,,2,84449,324,224,0,3323,382
23,29,Directed,23_29,,,2,60000,0,0,11856,1297,347
49,51,Directed,49_51,,,1020,41976302,160525,136253,89985,145270,218649
26,8,Directed,26_8,,,4148,123148566,507621,452173,544513,230325,650901
32,35,Directed,32_35,,,2103,65437919,265463,198541,642275,29078,141070
39,48,Directed,39_48,,,7976,232919533,895249,691002,269668,214944,1156886
2,48,Directed,2_48,,,1584,348760771,50719,46283,282783512,351047,95843
42,49,Directed,42_49,,,369,15084674,58934,53043,39824,40467,96979
45,47,Directed,45_47,,,1471,79473507,103270,75685,24246006,48470,94843
24,49,Directed,24_49,,,1001,38391481,151433,135113,206702,83925,258216
13,44,Directed,13_44,,,1023,33508430,149352,120212,131260,17157,118572
33,47,Directed,33_47,,,569,76593013,0,0,40806223,30591,90255
24,27,Directed,24_27,,,1415,43941152,171016,141870,39177,84240,192353
12,38,Directed,12_38,,,235,7990000,35906,29810,0,35464,49626
37,72,Directed,37_72,,,1147,75571256,161412,146815,12346035,104749,209363
44,33,Directed,44_33,,,2,67062,8,2,20884,185,53
33,37,Directed,33_37,,,367,8200827,29598,26028,49057,16012,44534
26,6,Directed,26_6,,,4350,215570207,788393,708729,2535599,356436,1150214
36,35,Directed,36_35,,,3,155000,519,505,0,5473,799
41,17,Directed,41_17,,,2598,99728725,388752,360226,1124387,207105,533807
40,12,Directed,40_12,,,34,1324439,4926,3369,1151,20254,4751
44,18,Directed,44_18,,,237,14825592,689,369,4423147,15609,24389
37,33,Directed,37_33,,,369,8158570,30058,25301,0,19090,37536
17,47,Directed,17_47,,,15128,352384108,934913,743267,89251623,178880,1020100
36,26,Directed,36_26,,,19831,357736720,1444706,1147322,666865,278804,1419541
29,34,Directed,29_34,,,4031,60594901,270213,201568,237472,68274,514721
26,5,Directed,26_5,,,574,9760120,37398,24261,64493,40332,58807
19,54,Directed,19_54,,,1,52760,184,152,0,724,86
2,41,Directed,2_41,,,791,31810589,121801,106215,825320,74322,153318
45,40,Directed,45_40,,,1,29592,56,56,0,943,141
17,37,Directed,17_37,,,13303,336865254,1291053,1064464,905383,247164,1134082
21,19,Directed,21_19,,,363,33987703,323,193,21273205,23775,23723
27,38,Directed,27_38,,,11249,170064637,648251,467715,469428,124475,677255
19,42,Directed,19_42,,,151,17714112,437,297,9409963,20121,18204
23,17,Directed,23_17,,,1097,14699160,62750,55870,14533,37368,146629
10,33,Directed,10_33,,,2,74800,300,216,0,684,106
46,22,Directed,46_22,,,1,40330,162,134,0,1044,125
23,27,Directed,23_27,,,2,91056,249,226,4232,2388,158
27,13,Directed,27_13,,,5497,222406511,870335,749519,944104,123352,651046
39,22,Directed,39_22,,,291,4085819,17730,13002,31849,45752,39453
29,9,Directed,29_9,,,3,88210,346,253,5,1914,503
39,33,Directed,39_33,,,744,7922074,37448,32798,0,17359,55712
36,34,Directed,36_34,,,8404,110952415,363250,278497,6922582,82794,446448
37,21,Directed,37_21,,,9942,281828756,513795,401533,62249112,106782,592119
25,54,Directed,25_54,,,1,1320,4,3,0,497,120
5,6,Directed,5_6,,,95,3141786,13442,12565,151957,30424,17322
10,42,Directed,10_42,,,1,246000,0,0,3104,53,18
29,40,Directed,29_40,,,2073,69087153,283627,189113,616176,35900,122147
27,33,Directed,27_33,,,1,44434,168,105,0,1120,134
35,42,Directed,35_42,,,2,69200,280,265,119,3233,416
39,13,Directed,39_13,,,12168,335055043,1447309,1174675,477824,177591,923581
26,1,Directed,26_1,,,1814,23404268,88988,66137,188476,62347,161212
46,29,Directed,46_29,,,1,34923,152,118,0,472,65
1,18,Directed,1_18,,,6,153630,591,421,0,2978,648
24,35,Directed,24_35,,,582,19955600,80036,70998,212292,33400,133448
18,27,Directed,18_27,,,3364,100387328,234795,184656,23430594,98290,269612
22,24,Directed,22_24,,,976,32149375,130386,111401,405530,45809,127329
39,25,Directed,39_25,,,2767,44750042,194957,149536,27850,72725,233550
35,17,Directed,35_17,,,1830,44196061,172625,147529,277538,63544,255297
39,38,Directed,39_38,,,5,118100,389,225,5708,4327,626
36,33,Directed,36_33,,,1932,17775153,57993,36475,1016273,15293,102284
1,53,Directed,1_53,,,1,286601,0,0,150527,2039,264
53,13,Directed,53_13,,,2730,142473045,496323,466039,5236606,172378,682995
19,18,Directed,19_18,,,222,5031980,1258,1048,2191887,10599,14471
26,35,Directed,26_35,,,2,77758,300,286,156,1347,392
15,2,Directed,15_2,,,441,26795895,63114,58940,1062512,83624,147788
35,51,Directed,35_51,,,363,12623312,49019,37670,186207,51914,68627
45,33,Directed,45_33,,,2,49136,173,121,0,1708,122
28,32,Directed,28_32,,,1,30016,138,79,0,1400,205
16,36,Directed,16_36,,,1,40070,160,125,33,2167,262
6,18,Directed,6_18,,,2542,349660866,27718,21438,196754623,408209,528740
21,5,Directed,21_5,,,566,27869718,15574,7791,16581986,26196,43712
29,49,Directed,29_49,,,2027,46798992,174201,153849,213400,114394,304925
48,56,Directed,48_56,,,327,12824582,48047,36767,248,20180,44074
17,6,Directed,17_6,,,31345,1356569024,4693812,4123815,68729603,1393448,7364385
34,23,Directed,34_23,,,1495,17338177,81933,69198,10648,11799,75059
18,20,Directed,18_20,,,6,143751,686,671,0,3108,585
37,1,Directed,37_1,,,6548,106689843,381670,286381,89452,51598,419081
48,49,Directed,48_49,,,7440,192760129,726704,620418,733599,387511,1126349
35,18,Directed,35_18,,,3,129067,63,60,3476,3456,456
38,38,Directed,38_38,,,3868,15340974,19375,5540,5020847,39313,275565
4,8,Directed,4_8,,,13141,374113295,1508734,1269410,1725758,262645,1062449
19,38,Directed,19_38,,,7,126104,126,112,14258,2265,740
6,6,Directed,6_6,,,310849,7588368559,26923372,19547829,406903202,1428170,16040739
13,8,Directed,13_8,,,6890,249873450,984626,852467,1688865,256295,1161533
53,53,Directed,53_53,,,66684,676304461,2402781,1681122,37125870,178295,2111600
9,25,Directed,9_25,,,59,1373562,1723,1253,220147,4973,2619
6,17,Directed,6_17,,,31297,1296347078,4703147,4111110,50360121,1371451,6606387
44,54,Directed,44_54,,,3,37500,150,71,0,984,249
48,18,Directed,48_18,,,5828,212655893,449476,371308,62074053,238653,623609
23,51,Directed,23_51,,,2652,47234264,163468,129480,4163,44852,236322
30,47,Directed,30_47,,,833,52843070,162,129,17866611,62249,132072
8,8,Directed,8_8,,,41975,643008937,2366747,1537626,9556765,127317,1394071
55,54,Directed,55_54,,,2,32085,98,76,0,946,129
34,50,Directed,34_50,,,1361,18050334,80833,65837,494,6265,67143
53,34,Directed,53_34,,,1987,78731924,307730,273170,1961397,194112,555317
36,55,Directed,36_55,,,3143,78089329,321508,237544,10672,100307,354227
25,24,Directed,25_24,,,5797,174291673,709184,546400,1025461,34451,387188
27,21,Directed,27_21,,,4285,138594816,214739,169788,42303198,113850,357533
25,39,Directed,25_39,,,2759,45784439,196077,150705,9160,76592,267228
18,29,Directed,18_29,,,1157,74197633,96406,72967,33642814,36378,74180
28,34,Directed,28_34,,,1,27000,130,90,0,977,132
13,35,Directed,13_35,,,928,39818969,154787,128908,145554,49491,158351
21,1,Directed,21_1,,,297,28643390,1653,1012,19126214,11610,14682
51,50,Directed,51_50,,,2006,35530436,135513,108325,0,30317,141936
19,31,Directed,19_31,,,22,1011915,1306,828,90881,3038,951
29,1,Directed,29_1,,,379,12588610,51439,38800,52750,16720,23593
17,27,Directed,17_27,,,19727,472274412,1782199,1365811,10300285,181143,1186971
34,18,Directed,34_18,,,2830,123541199,121833,89215,56923069,80365,280580
28,19,Directed,28_19,,,4,108000,520,423,0,2024,294
50,34,Directed,50_34,,,1355,18091165,80471,67569,5450,6277,72397
55,39,Directed,55_39,,,3090,39904974,183806,124857,165682,39553,170143
20,53,Directed,20_53,,,51,12038147,563,295,2971550,23096,9853
26,42,Directed,26_42,,,12523,228777143,856232,663077,187646,173049,712390
42,31,Directed,42_31,,,9,173508,721,604,0,5743,1193
8,12,Directed,8_12,,,7561,278691113,1133362,998402,1176666,561193,1438644
5,26,Directed,5_26,,,636,11831228,36711,23166,1130942,56578,62897
35,23,Directed,35_23,,,1,264000,0,0,70620,2095,0
42,17,Directed,42_17,,,19480,509710135,1910789,1561732,16636740,309245,1802066
19,5,Directed,19_5,,,1,12350,50,48,2,429,110
78,9,Directed,78_9,,,2,85000,346,92,0,1688,435
45,1,Directed,45_1,,,16,408196,1240,1057,25096,4580,1039
46,13,Directed,46_13,,,38,641588,2587,2431,5962,5046,4514
22,45,Directed,22_45,,,13,262667,974,686,0,6257,1323
51,49,Directed,51_49,,,1020,43461372,163200,135987,101202,134042,258377
54,27,Directed,54_27,,,1,42500,174,104,0,750,107
31,34,Directed,31_34,,,835,8493250,42276,33709,120,18144,120144
